Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.383001820,1,0,0,1,1
2.383001860,0,0,0,1,1
2.383001880,1,0,0,1,1
2.383068740,1,0,0,0,1
2.383070080,1,0,0,0,0
2.383070560,1,0,0,1,0
2.383071460,1,0,0,1,1
2.383072760,1,0,0,1,0
2.383074160,1,0,0,1,1
2.383075460,1,0,0,1,0
2.383075920,1,0,0,0,0
2.383076840,1,0,0,0,1
2.383078160,1,0,0,0,0
2.383078640,1,0,0,1,0
2.383079540,1,0,0,1,1
2.383080840,1,0,0,1,0
2.383081280,1,0,0,0,0
2.383082240,1,0,0,0,1
2.383083540,1,0,0,0,0
2.383084020,1,0,0,1,0
2.383084920,1,0,0,1,1
2.383086220,1,0,0,1,0
2.383086680,1,0,0,0,0
2.383087620,1,0,0,0,1
2.383088920,1,0,0,0,0
2.383090320,1,0,0,0,1
2.383091600,1,0,0,0,0
2.383093000,1,0,0,0,1
2.383094280,1,0,0,0,0
2.383094500,1,0,0,1,0
2.383095180,1,0,0,0,0
2.383096600,1,0,0,0,1
2.383097880,1,0,0,0,0
2.383099280,1,0,0,0,1
2.383100580,1,0,0,0,0
2.383101980,1,0,0,0,1
2.383103260,1,0,0,0,0
2.383104660,1,0,0,0,1
2.383105960,1,0,0,0,0
2.383107360,1,0,0,0,1
2.383108640,1,0,0,0,0
2.383110060,1,0,0,0,1
2.383111340,1,0,0,0,0
2.383112740,1,0,0,0,1
2.383114020,1,0,0,0,0
2.383114560,1,0,0,1,0
2.383115440,1,0,0,1,1
2.383116720,1,0,0,1,0
2.383116800,1,0,0,0,0
2.383118120,1,0,0,0,1
2.383119400,1,0,0,0,0
2.383119620,1,0,0,1,0
2.383121720,1,0,0,1,1
2.383123000,1,0,0,1,0
2.383123440,1,0,0,0,0
2.383124400,1,0,0,0,1
2.383125680,1,0,0,0,0
2.383127100,1,0,0,0,1
2.383128380,1,0,0,0,0
2.383129780,1,0,0,0,1
2.383131080,1,0,0,0,0
2.383132480,1,0,0,0,1
2.383133760,1,0,0,0,0
2.383135180,1,0,0,0,1
2.383136460,1,0,0,0,0
2.383137860,1,0,0,0,1
2.383139140,1,0,0,0,0
2.383140560,1,0,0,0,1
2.383141840,1,0,0,0,0
2.383143240,1,0,0,0,1
2.383144520,1,0,0,0,0
2.383144760,1,0,0,1,0
2.383145420,1,0,0,0,0
2.383146840,1,0,0,0,1
2.383148640,1,0,0,1,1
2.383198900,1,0,0,0,1
2.383200260,1,0,0,0,0
2.383200720,1,0,0,1,0
2.383201620,1,0,0,1,1
2.383202940,1,0,0,1,0
2.383204320,1,0,0,1,1
2.383205640,1,0,0,1,0
2.383206080,1,0,0,0,0
2.383207020,1,0,0,0,1
2.383208320,1,0,0,0,0
2.383208800,1,0,0,1,0
2.383209720,1,0,0,1,1
2.383211020,1,0,0,1,0
2.383211460,1,0,0,0,0
2.383212400,1,0,0,0,1
