Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.836935620,0,1,0,1,1
0.847013540,0,0,0,1,1
2.383001820,1,0,0,1,1
2.383001860,0,0,0,1,1
2.383001880,1,0,0,1,1
2.383478560,1,1,0,1,1
2.383481840,1,0,0,1,1
2.392013100,0,0,0,1,1
8.739316820,1,0,0,0,0
8.740596600,1,1,0,1,1
8.740599660,1,0,0,1,1
8.748327180,0,0,0,1,1
12.270460160,1,0,0,1,1
12.271737920,1,1,0,1,1
12.271740940,1,0,0,1,1
12.279468360,0,0,0,1,1
18.625611120,1,0,0,0,0
18.626918400,1,1,0,1,1
18.626921620,1,0,0,1,1
18.634620480,0,0,0,1,1
22.863155320,1,0,1,1,1
22.864429320,1,1,0,1,1
22.864432660,1,0,0,1,1
22.872165500,0,0,0,0,0
28.512539420,1,0,0,1,1
28.513838600,1,1,0,1,1
28.513841520,1,0,0,1,1
28.521547720,0,0,0,1,1
32.749314260,1,0,0,1,0
32.750623460,1,1,1,1,1
32.750626800,1,0,1,1,1
32.758322440,0,0,0,1,1
38.398434680,1,0,0,0,0
38.399660520,1,1,0,1,1
38.399663860,1,0,0,1,1
38.407442480,0,0,0,1,1
42.635441120,1,0,0,1,1
42.636739100,1,1,0,1,1
42.636742280,1,0,0,1,1
42.644450060,0,0,0,1,0
48.990710700,1,0,1,1,1
48.990710840,0,0,1,1,1
48.990710860,1,0,1,1,1
48.991973080,1,1,0,1,1
48.991976140,1,0,0,1,1
48.999718380,0,0,0,0,0
52.521503280,1,0,0,1,0
52.522869900,1,1,0,1,1
52.522873140,1,0,0,1,1
52.530511920,0,0,1,0,1
58.876886000,1,0,0,0,0
58.878142020,1,1,0,1,1
58.878145140,1,0,0,1,1
58.885895520,0,0,0,1,1
62.407514900,1,0,0,1,1
62.408821920,1,1,0,1,1
62.408825200,1,0,0,1,1
62.416523860,0,0,0,0,1
68.762529060,1,0,0,1,1
68.762529100,0,0,0,1,1
68.762529120,1,0,0,1,1
68.763856600,1,1,0,1,1
68.763859840,1,0,0,1,1
68.771537500,0,0,0,1,0
72.293289220,1,0,0,1,1
72.294616240,1,1,0,1,1
72.294619100,1,0,0,1,1
72.302300000,0,0,0,1,1
78.648118140,1,0,0,1,1
78.649390240,1,1,0,1,1
78.649393360,1,0,0,1,1
78.657127840,0,0,1,0,1
82.884748680,1,0,1,0,1
82.886080760,1,1,1,1,1
82.886084080,1,0,1,1,1
82.893757560,0,0,0,0,1
88.533155500,1,0,0,1,1
88.534438260,1,1,0,1,1
88.534441700,1,0,0,1,1
