# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790299434430857,START,307
1790299434631636,MOTION_PHASE_START,0
1790299434631677,TO_MAX,511
1790299435632391,TO_MIN,102
1790299436633120,TO_MAX,511
1790299437633833,TO_MIN,102
1790299438634526,TO_MAX,511
1790299439635256,STILL_PHASE_START,307
1790299444635985,MOTION_PHASE_START,0
1790299444636017,TO_MAX,511
1790299445636703,TO_MIN,102
1790299446637417,TO_MAX,511
1790299447638118,TO_MIN,102
1790299448638817,TO_MAX,511
1790299449639512,STILL_PHASE_START,307
1790299454640211,MOTION_PHASE_START,0
1790299454640251,TO_MAX,511
1790299455640945,TO_MIN,102
1790299456641664,TO_MAX,511
1790299457642383,TO_MIN,102
1790299458643106,TO_MAX,511
1790299459643803,STILL_PHASE_START,307
1790299464644509,MOTION_PHASE_START,0
1790299464644540,TO_MAX,511
1790299465645224,TO_MIN,102
1790299466645932,TO_MAX,511
1790299467646638,TO_MIN,102
1790299468647333,TO_MAX,511
1790299469648040,STILL_PHASE_START,307
1790299474648739,MOTION_PHASE_START,0
1790299474648767,TO_MAX,511
1790299475649448,TO_MIN,102
1790299476650143,TO_MAX,511
1790299477650836,TO_MIN,102
1790299478651524,TO_MAX,511
1790299479652213,STILL_PHASE_START,307
1790299484652907,MOTION_PHASE_START,0
1790299484652933,TO_MAX,511
1790299485653621,TO_MIN,102
1790299486654325,TO_MAX,511
1790299487655028,TO_MIN,102
1790299488655730,TO_MAX,511
1790299489656440,STILL_PHASE_START,307
1790299494657148,MOTION_PHASE_START,0
1790299494657175,TO_MAX,511
1790299495657858,TO_MIN,102
1790299496658522,TO_MAX,511
1790299497659226,TO_MIN,102
1790299498659922,TO_MAX,511
1790299499660625,STILL_PHASE_START,307
1790299504661328,MOTION_PHASE_START,0
1790299504661359,TO_MAX,511
1790299505662045,TO_MIN,102
1790299506662755,TO_MAX,511
1790299507663454,TO_MIN,102
1790299508664160,TO_MAX,511
1790299509664860,STILL_PHASE_START,307
1790299514665580,MOTION_PHASE_START,0
1790299514665614,TO_MAX,511
1790299515666303,TO_MIN,102
1790299516667007,TO_MAX,511
1790299517667727,TO_MIN,102
1790299518668435,TO_MAX,511
1790299519669143,STILL_PHASE_START,307
1790299524669850,MOTION_PHASE_START,0
1790299524669883,TO_MAX,511
1790299525670585,TO_MIN,102
1790299526671293,TO_MAX,511
1790299527672010,TO_MIN,102
1790299528672724,TO_MAX,511
1790299529673425,STILL_PHASE_START,307
1790299534674128,MOTION_PHASE_START,0
1790299534674156,TO_MAX,511
1790299535674842,TO_MIN,102
1790299536675548,TO_MAX,511
1790299537676254,TO_MIN,102
1790299538676958,TO_MAX,511
1790299539677666,STILL_PHASE_START,307
1790299544678371,MOTION_PHASE_START,0
1790299544678404,TO_MAX,511
1790299545679096,TO_MIN,102
1790299546679804,TO_MAX,511
1790299547680517,TO_MIN,102
1790299548681227,TO_MAX,511
1790299549681939,STILL_PHASE_START,307
1790299554682652,MOTION_PHASE_START,0
1790299554682684,TO_MAX,511
1790299555683378,TO_MIN,102
1790299556684087,TO_MAX,511
1790299557684786,TO_MIN,102
1790299558685486,TO_MAX,511
1790299559686192,STILL_PHASE_START,307
1790299564686900,MOTION_PHASE_START,0
1790299564686925,TO_MAX,511
1790299565687612,TO_MIN,102
1790299566688323,TO_MAX,511
1790299567689030,TO_MIN,102
1790299568689746,TO_MAX,511
1790299569690461,STILL_PHASE_START,307
1790299574691180,MOTION_PHASE_START,0
1790299574691239,TO_MAX,511
1790299575691943,TO_MIN,102
1790299576692653,TO_MAX,511
1790299577693363,TO_MIN,102
1790299578694065,TO_MAX,511
1790299579694771,STILL_PHASE_START,307
1790299584695479,MOTION_PHASE_START,0
1790299584695507,TO_MAX,511
1790299585696194,TO_MIN,102
1790299586696896,TO_MAX,511
1790299587697603,TO_MIN,102
1790299588698305,TO_MAX,511
1790299589699004,STILL_PHASE_START,307
1790299594699709,MOTION_PHASE_START,0
1790299594699739,TO_MAX,511
1790299595700431,TO_MIN,102
1790299596701146,TO_MAX,511
1790299597701865,TO_MIN,102
1790299598702581,TO_MAX,511
1790299599703301,STILL_PHASE_START,307
1790299604704012,MOTION_PHASE_START,0
1790299604704046,TO_MAX,511
1790299605704745,TO_MIN,102
1790299606705486,TO_MAX,511
1790299607706201,TO_MIN,102
1790299608706908,TO_MAX,511
1790299609707615,STILL_PHASE_START,307
1790299614708326,MOTION_PHASE_START,0
1790299614708364,TO_MAX,511
1790299615709057,TO_MIN,102
1790299616709763,TO_MAX,511
1790299617710469,TO_MIN,102
1790299618711189,TO_MAX,511
1790299619711892,STILL_PHASE_START,307
1790299624712600,MOTION_PHASE_START,0
1790299624712636,TO_MAX,511
1790299625713325,TO_MIN,102
1790299626714037,TO_MAX,511
1790299627714738,TO_MIN,102
1790299628715443,TO_MAX,511
1790299629716151,STILL_PHASE_START,307
1790299634716876,MOTION_PHASE_START,0
1790299634716904,TO_MAX,511
1790299635717595,TO_MIN,102
1790299636718310,TO_MAX,511
1790299637719025,TO_MIN,102
1790299638719733,TO_MAX,511
1790299639720435,STILL_PHASE_START,307
1790299644721136,MOTION_PHASE_START,0
1790299644721166,TO_MAX,511
1790299645721860,TO_MIN,102
1790299646722576,TO_MAX,511
1790299647723279,TO_MIN,102
1790299648723982,TO_MAX,511
1790299649725017,STILL_PHASE_START,307
1790299654725736,MOTION_PHASE_START,0
1790299654725769,TO_MAX,511
1790299655726463,TO_MIN,102
1790299656727201,TO_MAX,511
1790299657727921,TO_MIN,102
1790299658728633,TO_MAX,511
1790299659729339,STILL_PHASE_START,307
1790299664730042,MOTION_PHASE_START,0
1790299664730077,TO_MAX,511
1790299665730764,TO_MIN,102
1790299666731461,TO_MAX,511
1790299667732164,TO_MIN,102
1790299668732867,TO_MAX,511
1790299669733572,STILL_PHASE_START,307
1790299674734273,MOTION_PHASE_START,0
1790299674734302,TO_MAX,511
1790299675734994,TO_MIN,102
1790299676735691,TO_MAX,511
1790299677736397,TO_MIN,102
1790299678737101,TO_MAX,511
1790299679737807,STILL_PHASE_START,307
1790299684738521,MOTION_PHASE_START,0
1790299684738574,TO_MAX,511
1790299685739261,TO_MIN,102
1790299686739977,TO_MAX,511
1790299687740679,TO_MIN,102
1790299688741384,TO_MAX,511
1790299689742092,STILL_PHASE_START,307
1790299694742805,MOTION_PHASE_START,0
1790299694742841,TO_MAX,511
1790299695743543,TO_MIN,102
1790299696744255,TO_MAX,511
1790299697744971,TO_MIN,102
1790299698745684,TO_MAX,511
1790299699746393,STILL_PHASE_START,307
1790299704747097,MOTION_PHASE_START,0
1790299704747133,TO_MAX,511
1790299705747823,TO_MIN,102
1790299706748528,TO_MAX,511
1790299707749236,TO_MIN,102
1790299708749940,TO_MAX,511
1790299709750645,STILL_PHASE_START,307
1790299714751364,MOTION_PHASE_START,0
1790299714751398,TO_MAX,511
1790299715752087,TO_MIN,102
1790299716752787,TO_MAX,511
1790299717753488,TO_MIN,102
1790299718754193,TO_MAX,511
1790299719754896,STILL_PHASE_START,307
1790299724755607,MOTION_PHASE_START,0
1790299724755754,TO_MAX,511
1790299725756444,TO_MIN,102
1790299726757149,TO_MAX,511
1790299727757849,TO_MIN,102
1790299728758519,TO_MAX,511
1790299729759220,STILL_PHASE_START,307
1790299734759937,END,307
