# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790299749377572,START,307
1790299749578326,MOTION_PHASE_START,0
1790299749578358,TO_MAX,511
1790299750579074,TO_MIN,102
1790299751579781,TO_MAX,511
1790299752580500,TO_MIN,102
1790299753581230,TO_MAX,511
1790299754581986,STILL_PHASE_START,307
1790299759582750,MOTION_PHASE_START,0
1790299759582825,TO_MAX,511
1790299760583554,TO_MIN,102
1790299761584316,TO_MAX,511
1790299762585061,TO_MIN,102
1790299763585809,TO_MAX,511
1790299764586526,STILL_PHASE_START,307
1790299769587279,MOTION_PHASE_START,0
1790299769587328,TO_MAX,511
1790299770588056,TO_MIN,102
1790299771588807,TO_MAX,511
1790299772589555,TO_MIN,102
1790299773590306,TO_MAX,511
1790299774591052,STILL_PHASE_START,307
1790299779591803,MOTION_PHASE_START,0
1790299779591846,TO_MAX,511
1790299780592569,TO_MIN,102
1790299781593311,TO_MAX,511
1790299782594064,TO_MIN,102
1790299783594809,TO_MAX,511
1790299784595550,STILL_PHASE_START,307
1790299789596288,MOTION_PHASE_START,0
1790299789596329,TO_MAX,511
1790299790597040,TO_MIN,102
1790299791597778,TO_MAX,511
1790299792598520,TO_MIN,102
1790299793599257,TO_MAX,511
1790299794600042,STILL_PHASE_START,307
1790299799600788,MOTION_PHASE_START,0
1790299799600826,TO_MAX,511
1790299800601537,TO_MIN,102
1790299801602292,TO_MAX,511
1790299802603046,TO_MIN,102
1790299803603793,TO_MAX,511
1790299804604554,STILL_PHASE_START,307
1790299809605305,MOTION_PHASE_START,0
1790299809605345,TO_MAX,511
1790299810606060,TO_MIN,102
1790299811606815,TO_MAX,511
1790299812607564,TO_MIN,102
1790299813608306,TO_MAX,511
1790299814609053,STILL_PHASE_START,307
1790299819609792,MOTION_PHASE_START,0
1790299819609834,TO_MAX,511
1790299820610526,TO_MIN,102
1790299821611281,TO_MAX,511
1790299822612036,TO_MIN,102
1790299823612784,TO_MAX,511
1790299824613525,STILL_PHASE_START,307
1790299829614270,MOTION_PHASE_START,0
1790299829614314,TO_MAX,511
1790299830615035,TO_MIN,102
1790299831615777,TO_MAX,511
1790299832616523,TO_MIN,102
1790299833617269,TO_MAX,511
1790299834618015,STILL_PHASE_START,307
1790299839618763,MOTION_PHASE_START,0
1790299839618798,TO_MAX,511
1790299840619509,TO_MIN,102
1790299841620221,TO_MAX,511
1790299842620974,TO_MIN,102
1790299843621727,TO_MAX,511
1790299844622478,STILL_PHASE_START,307
1790299849626623,MOTION_PHASE_START,0
1790299849630285,TO_MAX,511
1790299850631003,TO_MIN,102
1790299851631758,TO_MAX,511
1790299852632508,TO_MIN,102
1790299853633257,TO_MAX,511
1790299854633997,STILL_PHASE_START,307
1790299859638339,MOTION_PHASE_START,0
1790299859641642,TO_MAX,511
1790299860642361,TO_MIN,102
1790299861643115,TO_MAX,511
1790299862643864,TO_MIN,102
1790299863644607,TO_MAX,511
1790299864645349,STILL_PHASE_START,307
1790299869646277,MOTION_PHASE_START,0
1790299869677399,TO_MAX,511
1790299870678131,TO_MIN,102
1790299871678898,TO_MAX,511
1790299872679644,TO_MIN,102
1790299873680393,TO_MAX,511
1790299874681143,STILL_PHASE_START,307
1790299879713127,MOTION_PHASE_START,0
1790299879744397,TO_MAX,511
1790299880745126,TO_MIN,102
1790299881745872,TO_MAX,511
1790299882746628,TO_MIN,102
1790299883747379,TO_MAX,511
1790299884748133,STILL_PHASE_START,307
1790299889779807,MOTION_PHASE_START,0
1790299889811067,TO_MAX,511
1790299890811798,TO_MIN,102
1790299891812543,TO_MAX,511
1790299892813287,TO_MIN,102
1790299893814040,TO_MAX,511
1790299894814785,STILL_PHASE_START,307
1790299899815707,MOTION_PHASE_START,0
1790299899818960,TO_MAX,511
1790299900819683,TO_MIN,102
1790299901820412,TO_MAX,511
1790299902821128,TO_MIN,102
1790299903821889,TO_MAX,511
1790299904822646,STILL_PHASE_START,307
1790299909826761,MOTION_PHASE_START,0
1790299909830202,TO_MAX,511
1790299910830927,TO_MIN,102
1790299911831684,TO_MAX,511
1790299912832440,TO_MIN,102
1790299913833192,TO_MAX,511
1790299914833953,STILL_PHASE_START,307
1790299919838032,MOTION_PHASE_START,0
1790299919838077,TO_MAX,511
1790299920838790,TO_MIN,102
1790299921839574,TO_MAX,511
1790299922840318,TO_MIN,102
1790299923841054,TO_MAX,511
1790299924841794,STILL_PHASE_START,307
1790299929842528,MOTION_PHASE_START,0
1790299929873315,TO_MAX,511
1790299930874050,TO_MIN,102
1790299931874814,TO_MAX,511
1790299932875575,TO_MIN,102
1790299933876334,TO_MAX,511
1790299934877093,STILL_PHASE_START,307
1790299939908706,MOTION_PHASE_START,0
1790299939939802,TO_MAX,511
1790299940940530,TO_MIN,102
1790299941941270,TO_MAX,511
1790299942942016,TO_MIN,102
1790299943942761,TO_MAX,511
1790299944943514,STILL_PHASE_START,307
1790299949947558,MOTION_PHASE_START,0
1790299949978732,TO_MAX,511
1790299950979459,TO_MIN,102
1790299951980206,TO_MAX,511
1790299952980949,TO_MIN,102
1790299953981691,TO_MAX,511
1790299954982433,STILL_PHASE_START,307
1790299959994222,MOTION_PHASE_START,0
1790299960025098,TO_MAX,511
1790299961025813,TO_MIN,102
1790299962026528,TO_MAX,511
1790299963027241,TO_MIN,102
1790299964027995,TO_MAX,511
1790299965028753,STILL_PHASE_START,307
1790299970032844,MOTION_PHASE_START,0
1790299970037673,TO_MAX,511
1790299971038401,TO_MIN,102
1790299972039133,TO_MAX,511
1790299973039877,TO_MIN,102
1790299974040611,TO_MAX,511
1790299975041357,STILL_PHASE_START,307
1790299980045235,MOTION_PHASE_START,0
1790299980048304,TO_MAX,511
1790299981049031,TO_MIN,102
1790299982049777,TO_MAX,511
1790299983050528,TO_MIN,102
1790299984051269,TO_MAX,511
1790299985052006,STILL_PHASE_START,307
1790299990056229,MOTION_PHASE_START,0
1790299990059560,TO_MAX,511
1790299991060419,TO_MIN,102
1790299992061181,TO_MAX,511
1790299993061925,TO_MIN,102
1790299994062667,TO_MAX,511
1790299995063410,STILL_PHASE_START,307
1790300000095003,MOTION_PHASE_START,0
1790300000125792,TO_MAX,511
1790300001126524,TO_MIN,102
1790300002127260,TO_MAX,511
1790300003128006,TO_MIN,102
1790300004128757,TO_MAX,511
1790300005129511,STILL_PHASE_START,307
1790300010161084,MOTION_PHASE_START,0
1790300010192371,TO_MAX,511
1790300011193106,TO_MIN,102
