# servo_sweep log
# mode=burst duration=65 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790300062878910,START,307
1790300063079665,MOTION_PHASE_START,0
1790300063079700,TO_MAX,511
1790300064080409,TO_MIN,102
1790300065081112,TO_MAX,511
1790300066081826,TO_MIN,102
1790300067082527,TO_MAX,511
1790300068083283,STILL_PHASE_START,307
1790300073083994,MOTION_PHASE_START,0
1790300073084026,TO_MAX,511
1790300074084725,TO_MIN,102
1790300075085437,TO_MAX,511
1790300076086144,TO_MIN,102
1790300077086853,TO_MAX,511
1790300078087562,STILL_PHASE_START,307
1790300083088272,MOTION_PHASE_START,0
1790300083088301,TO_MAX,511
1790300084088996,TO_MIN,102
1790300085089714,TO_MAX,511
1790300086090432,TO_MIN,102
1790300087091153,TO_MAX,511
1790300088091863,STILL_PHASE_START,307
1790300093092585,MOTION_PHASE_START,0
1790300093092623,TO_MAX,511
1790300094093322,TO_MIN,102
1790300095094042,TO_MAX,511
1790300096094754,TO_MIN,102
1790300097095463,TO_MAX,511
1790300098096178,STILL_PHASE_START,307
1790300103096902,MOTION_PHASE_START,0
1790300103096955,TO_MAX,511
1790300104097645,TO_MIN,102
1790300105098346,TO_MAX,511
1790300106099051,TO_MIN,102
1790300107099756,TO_MAX,511
1790300108100461,STILL_PHASE_START,307
1790300113101170,MOTION_PHASE_START,0
1790300113101206,TO_MAX,511
1790300114101902,TO_MIN,102
1790300115102614,TO_MAX,511
1790300116103319,TO_MIN,102
1790300117104026,TO_MAX,511
1790300118104725,STILL_PHASE_START,307
1790300123105433,MOTION_PHASE_START,0
1790300123105465,TO_MAX,511
1790300124106154,TO_MIN,102
1790300125106860,TO_MAX,511
1790300126107568,TO_MIN,102
1790300127108270,TO_MAX,511
1790300128108982,END,307
