09-24-2026 18:34:20 RAM 1108/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [19%@1728,7%@1728,5%@1728,1%@1728,3%@1728,5%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.75C soc2@53.187C soc0@53.531C gpu@54.218C tj@54.75C soc1@54.718C VDD_IN 6417mW/6417mW VDD_CPU_GPU_CV 1186mW/1186mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:21 RAM 1108/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.687C soc2@53.156C soc0@53.5C gpu@54.531C tj@54.687C soc1@54.687C VDD_IN 6100mW/6259mW VDD_CPU_GPU_CV 949mW/1068mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:21 RAM 1108/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [9%@1728,2%@1728,2%@1728,7%@1728,0%@1728,2%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.312C soc2@53C soc0@53.437C gpu@54.156C tj@55.312C soc1@54.656C VDD_IN 6180mW/6232mW VDD_CPU_GPU_CV 1028mW/1054mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:22 RAM 1107/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [23%@1728,20%@1728,24%@1728,27%@1728,12%@1728,11%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.281C soc2@53.093C soc0@53.468C gpu@54.468C tj@55.281C soc1@54.718C VDD_IN 6655mW/6338mW VDD_CPU_GPU_CV 1384mW/1137mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:22 RAM 1109/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [12%@1728,19%@1728,26%@1728,34%@1728,14%@1728,18%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.031C soc0@53.531C gpu@54.156C tj@54.687C soc1@54.687C VDD_IN 6893mW/6449mW VDD_CPU_GPU_CV 1542mW/1218mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:23 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [7%@1728,11%@1728,7%@1728,7%@1728,8%@1728,27%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@52.968C soc0@53.5C gpu@54.125C tj@54.625C soc1@54.625C VDD_IN 6536mW/6464mW VDD_CPU_GPU_CV 1305mW/1232mW VDD_SOC 2376mW/2376mW
09-24-2026 18:34:23 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.75C soc2@52.906C soc0@53.406C gpu@54.093C tj@54.562C soc1@54.562C VDD_IN 6100mW/6412mW VDD_CPU_GPU_CV 988mW/1197mW VDD_SOC 2337mW/2370mW
09-24-2026 18:34:24 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@52.875C soc0@53.437C gpu@54.031C tj@54.625C soc1@54.625C VDD_IN 5982mW/6358mW VDD_CPU_GPU_CV 909mW/1161mW VDD_SOC 2337mW/2366mW
09-24-2026 18:34:24 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@52.843C soc0@53.406C gpu@54.062C tj@54.531C soc1@54.531C VDD_IN 5942mW/6312mW VDD_CPU_GPU_CV 870mW/1129mW VDD_SOC 2337mW/2363mW
09-24-2026 18:34:25 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@52.781C soc0@53.281C gpu@54.125C tj@54.562C soc1@54.562C VDD_IN 5942mW/6275mW VDD_CPU_GPU_CV 870mW/1103mW VDD_SOC 2337mW/2360mW
09-24-2026 18:34:25 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1728,3%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@52.812C soc0@53.468C gpu@54.218C tj@54.531C soc1@54.531C VDD_IN 5942mW/6244mW VDD_CPU_GPU_CV 870mW/1082mW VDD_SOC 2337mW/2358mW
