# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779826820149928,START,307
1779826820350709,MOTION_PHASE_START,0
1779826820350734,TO_MAX,511
1779826821351419,TO_MIN,102
1779826822352126,TO_MAX,511
1779826823352833,TO_MIN,102
1779826824353590,TO_MAX,511
1779826825354318,STILL_PHASE_START,307
1779826830355072,MOTION_PHASE_START,0
1779826830355132,TO_MAX,511
1779826831355828,TO_MIN,102
1779826832356548,TO_MAX,511
1779826833357261,TO_MIN,102
1779826834357983,TO_MAX,511
1779826835358709,STILL_PHASE_START,307
1779826840359427,MOTION_PHASE_START,0
1779826840359472,TO_MAX,511
1779826841360160,TO_MIN,102
1779826842360876,TO_MAX,511
1779826843361580,TO_MIN,102
1779826844362292,TO_MAX,511
1779826845363005,STILL_PHASE_START,307
1779826850363722,MOTION_PHASE_START,0
1779826850363765,TO_MAX,511
1779826851364448,TO_MIN,102
1779826852365165,TO_MAX,511
1779826853365881,TO_MIN,102
1779826854366594,TO_MAX,511
1779826855367308,STILL_PHASE_START,307
1779826860368024,MOTION_PHASE_START,0
1779826860368069,TO_MAX,511
1779826861368755,TO_MIN,102
1779826862369477,TO_MAX,511
1779826863370198,TO_MIN,102
1779826864370920,TO_MAX,511
1779826865371624,STILL_PHASE_START,307
1779826870372348,MOTION_PHASE_START,0
1779826870372392,TO_MAX,511
1779826871373084,TO_MIN,102
1779826872373804,TO_MAX,511
1779826873374524,TO_MIN,102
1779826874375232,TO_MAX,511
1779826875375935,STILL_PHASE_START,307
1779826880376634,MOTION_PHASE_START,0
1779826880376681,TO_MAX,511
1779826881377380,TO_MIN,102
1779826882378086,TO_MAX,511
1779826883378802,TO_MIN,102
1779826884379520,TO_MAX,511
1779826885380235,STILL_PHASE_START,307
1779826890380953,MOTION_PHASE_START,0
1779826890380996,TO_MAX,511
1779826891381684,TO_MIN,102
1779826892382400,TO_MAX,511
1779826893383118,TO_MIN,102
1779826894383827,TO_MAX,511
1779826895384539,STILL_PHASE_START,307
1779826900385259,MOTION_PHASE_START,0
1779826900385303,TO_MAX,511
1779826901385991,TO_MIN,102
1779826902386712,TO_MAX,511
1779826903387427,TO_MIN,102
1779826904388143,TO_MAX,511
1779826905388863,STILL_PHASE_START,307
1779826910389595,MOTION_PHASE_START,0
1779826910389644,TO_MAX,511
1779826911390336,TO_MIN,102
1779826912391069,TO_MAX,511
1779826913391789,TO_MIN,102
1779826914392517,TO_MAX,511
1779826915393230,STILL_PHASE_START,307
1779826920393944,MOTION_PHASE_START,0
1779826920393985,TO_MAX,511
1779826921394680,TO_MIN,102
1779826922395389,TO_MAX,511
1779826923396100,TO_MIN,102
1779826924396814,TO_MAX,511
1779826925397527,STILL_PHASE_START,307
1779826930398250,MOTION_PHASE_START,0
1779826930398294,TO_MAX,511
1779826931398982,TO_MIN,102
1779826932399693,TO_MAX,511
1779826933400407,TO_MIN,102
1779826934401117,TO_MAX,511
1779826935401832,STILL_PHASE_START,307
1779826940402553,MOTION_PHASE_START,0
1779826940402586,TO_MAX,511
1779826941403271,TO_MIN,102
1779826942403976,TO_MAX,511
1779826943404683,TO_MIN,102
1779826944405393,TO_MAX,511
1779826945406090,STILL_PHASE_START,307
1779826950406794,MOTION_PHASE_START,0
1779826950406825,TO_MAX,511
1779826951407729,TO_MIN,102
1779826952408439,TO_MAX,511
1779826953409148,TO_MIN,102
1779826954409853,TO_MAX,511
1779826955410558,STILL_PHASE_START,307
1779826960411273,MOTION_PHASE_START,0
1779826960411313,TO_MAX,511
1779826961412006,TO_MIN,102
1779826962412720,TO_MAX,511
1779826963413439,TO_MIN,102
1779826964414148,TO_MAX,511
1779826965414857,STILL_PHASE_START,307
1779826970415564,MOTION_PHASE_START,0
1779826970415601,TO_MAX,511
1779826971416286,TO_MIN,102
1779826972416994,TO_MAX,511
1779826973417707,TO_MIN,102
1779826974418418,TO_MAX,511
1779826975419132,STILL_PHASE_START,307
1779826980419849,MOTION_PHASE_START,0
1779826980419883,TO_MAX,511
1779826981420577,TO_MIN,102
1779826982421292,TO_MAX,511
1779826983422000,TO_MIN,102
1779826984422716,TO_MAX,511
1779826985423428,STILL_PHASE_START,307
1779826990424143,MOTION_PHASE_START,0
1779826990424178,TO_MAX,511
1779826991424865,TO_MIN,102
1779826992425604,TO_MAX,511
1779826993426308,TO_MIN,102
1779826994427011,TO_MAX,511
1779826995427719,STILL_PHASE_START,307
1779827000428435,MOTION_PHASE_START,0
1779827000428474,TO_MAX,511
1779827001429164,TO_MIN,102
1779827002429876,TO_MAX,511
1779827003430586,TO_MIN,102
1779827004431296,TO_MAX,511
1779827005432018,STILL_PHASE_START,307
1779827010432723,MOTION_PHASE_START,0
1779827010432759,TO_MAX,511
1779827011433448,TO_MIN,102
1779827012434155,TO_MAX,511
1779827013434867,TO_MIN,102
1779827014435582,TO_MAX,511
1779827015436294,STILL_PHASE_START,307
1779827020437019,MOTION_PHASE_START,0
1779827020437053,TO_MAX,511
1779827021437752,TO_MIN,102
1779827022438476,TO_MAX,511
1779827023439196,TO_MIN,102
1779827024439909,TO_MAX,511
1779827025440628,STILL_PHASE_START,307
1779827030441342,MOTION_PHASE_START,0
1779827030441376,TO_MAX,511
1779827031442069,TO_MIN,102
1779827032442780,TO_MAX,511
1779827033443484,TO_MIN,102
1779827034444186,TO_MAX,511
1779827035444905,STILL_PHASE_START,307
1779827040445637,MOTION_PHASE_START,0
1779827040445684,TO_MAX,511
1779827041446370,TO_MIN,102
1779827042447087,TO_MAX,511
1779827043447807,TO_MIN,102
1779827044448535,TO_MAX,511
1779827045449287,STILL_PHASE_START,307
1779827050450020,MOTION_PHASE_START,0
1779827050450059,TO_MAX,511
1779827051450746,TO_MIN,102
1779827052451450,TO_MAX,511
1779827053452161,TO_MIN,102
1779827054452872,TO_MAX,511
1779827055453586,STILL_PHASE_START,307
1779827060454301,MOTION_PHASE_START,0
1779827060454351,TO_MAX,511
1779827061455564,TO_MIN,102
1779827062456272,TO_MAX,511
1779827063456988,TO_MIN,102
1779827064457705,TO_MAX,511
1779827065458413,STILL_PHASE_START,307
1779827070459141,MOTION_PHASE_START,0
1779827070459185,TO_MAX,511
1779827071459877,TO_MIN,102
1779827072460592,TO_MAX,511
1779827073461303,TO_MIN,102
1779827074462012,TO_MAX,511
1779827075462724,STILL_PHASE_START,307
1779827080463445,MOTION_PHASE_START,0
1779827080463481,TO_MAX,511
1779827081464171,TO_MIN,102
1779827082464886,TO_MAX,511
1779827083465594,TO_MIN,102
1779827084466296,TO_MAX,511
1779827085467006,STILL_PHASE_START,307
1779827090467730,MOTION_PHASE_START,0
1779827090467774,TO_MAX,511
1779827091468468,TO_MIN,102
1779827092469182,TO_MAX,511
1779827093469900,TO_MIN,102
1779827094470614,TO_MAX,511
1779827095471333,STILL_PHASE_START,307
1779827100472080,MOTION_PHASE_START,0
1779827100472134,TO_MAX,511
1779827101472824,TO_MIN,102
1779827102473540,TO_MAX,511
1779827103474258,TO_MIN,102
1779827104474973,TO_MAX,511
1779827105475688,STILL_PHASE_START,307
1779827110476442,MOTION_PHASE_START,0
1779827110476481,TO_MAX,511
1779827111477181,TO_MIN,102
1779827112477900,TO_MAX,511
1779827113478611,TO_MIN,102
1779827114479316,TO_MAX,511
1779827115480037,STILL_PHASE_START,307
1779827120480759,END,307
