05-26-2026 13:25:29 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,3%@1728,11%@1728,5%@1728,10%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.406C soc0@46.281C gpu@47.375C tj@48.25C soc1@48.25C VDD_IN 5665mW/5665mW VDD_CPU_GPU_CV 1186mW/1186mW VDD_SOC 1505mW/1505mW
05-26-2026 13:25:29 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,1%@1728,3%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.437C soc0@46.156C gpu@47.687C tj@48.25C soc1@48.25C VDD_IN 5348mW/5507mW VDD_CPU_GPU_CV 909mW/1048mW VDD_SOC 1505mW/1505mW
05-26-2026 13:25:30 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.406C soc0@46.156C gpu@47.406C tj@48.25C soc1@48.25C VDD_IN 5268mW/5427mW VDD_CPU_GPU_CV 830mW/975mW VDD_SOC 1465mW/1492mW
05-26-2026 13:25:30 RAM 1624/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [21%@1728,22%@1728,16%@1728,26%@1728,10%@1728,2%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@46.468C soc0@46.187C gpu@47.656C tj@48.25C soc1@48.25C VDD_IN 5823mW/5526mW VDD_CPU_GPU_CV 1307mW/1058mW VDD_SOC 1505mW/1495mW
05-26-2026 13:25:31 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [22%@1728,33%@1728,26%@1728,40%@1728,18%@1728,30%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@46.531C soc0@46.031C gpu@47.5C tj@48.375C soc1@48.375C VDD_IN 6388mW/5698mW VDD_CPU_GPU_CV 1743mW/1195mW VDD_SOC 1547mW/1505mW
05-26-2026 13:25:31 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1728,8%@1728,11%@1728,20%@1728,9%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.406C soc0@46.187C gpu@47.343C tj@48.218C soc1@48.218C VDD_IN 5823mW/5719mW VDD_CPU_GPU_CV 1307mW/1214mW VDD_SOC 1505mW/1505mW
05-26-2026 13:25:32 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.406C soc0@46.125C gpu@47.437C tj@48.25C soc1@48.25C VDD_IN 5387mW/5672mW VDD_CPU_GPU_CV 950mW/1176mW VDD_SOC 1505mW/1505mW
05-26-2026 13:25:32 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@46.343C soc0@46.156C gpu@47.437C tj@48.25C soc1@48.25C VDD_IN 5268mW/5621mW VDD_CPU_GPU_CV 831mW/1133mW VDD_SOC 1465mW/1500mW
05-26-2026 13:25:33 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.375C soc0@46.312C gpu@47.5C tj@48.281C soc1@48.281C VDD_IN 5189mW/5573mW VDD_CPU_GPU_CV 792mW/1095mW VDD_SOC 1465mW/1496mW
05-26-2026 13:25:33 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.187C soc0@46.156C gpu@47.375C tj@48.187C soc1@48.187C VDD_IN 5189mW/5535mW VDD_CPU_GPU_CV 792mW/1065mW VDD_SOC 1465mW/1493mW
05-26-2026 13:25:34 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@46.312C soc0@46.093C gpu@47.218C tj@48.156C soc1@48.156C VDD_IN 5189mW/5503mW VDD_CPU_GPU_CV 792mW/1040mW VDD_SOC 1465mW/1491mW
