# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779828068561078,START,307
1779828068761825,MOTION_PHASE_START,0
1779828068761870,TO_MAX,511
1779828069762792,TO_MIN,102
1779828070764091,TO_MAX,511
1779828071764999,TO_MIN,102
1779828072765777,TO_MAX,511
1779828073766895,STILL_PHASE_START,307
1779828078768075,MOTION_PHASE_START,0
1779828078768102,TO_MAX,511
1779828079768988,TO_MIN,102
1779828080769715,TO_MAX,511
1779828081770617,TO_MIN,102
1779828082771331,TO_MAX,511
1779828083772039,STILL_PHASE_START,307
1779828088772847,MOTION_PHASE_START,0
1779828088772901,TO_MAX,511
1779828089773788,TO_MIN,102
1779828090774530,TO_MAX,511
1779828091775265,TO_MIN,102
1779828092776172,TO_MAX,511
1779828093777076,STILL_PHASE_START,307
1779828098777984,MOTION_PHASE_START,0
1779828098778026,TO_MAX,511
1779828099778725,TO_MIN,102
1779828100779437,TO_MAX,511
1779828101780245,TO_MIN,102
1779828102781133,TO_MAX,511
1779828103782038,STILL_PHASE_START,307
1779828108782936,MOTION_PHASE_START,0
1779828108782975,TO_MAX,511
1779828109783675,TO_MIN,102
1779828110784422,TO_MAX,511
1779828111785322,TO_MIN,102
1779828112786047,TO_MAX,511
1779828113786945,STILL_PHASE_START,307
1779828118787855,MOTION_PHASE_START,0
1779828118787898,TO_MAX,511
1779828119788777,TO_MIN,102
1779828120789501,TO_MAX,511
1779828121790416,TO_MIN,102
1779828122791320,TO_MAX,511
1779828123792218,STILL_PHASE_START,307
1779828128793111,MOTION_PHASE_START,0
1779828128793151,TO_MAX,511
1779828129793856,TO_MIN,102
1779828130794581,TO_MAX,511
1779828131795303,TO_MIN,102
1779828132796018,TO_MAX,511
1779828133796736,STILL_PHASE_START,307
1779828138797636,MOTION_PHASE_START,0
1779828138797679,TO_MAX,511
1779828139798385,TO_MIN,102
1779828140799109,TO_MAX,511
1779828141799841,TO_MIN,102
1779828142800560,TO_MAX,511
1779828143801453,STILL_PHASE_START,307
1779828148802348,MOTION_PHASE_START,0
1779828148802385,TO_MAX,511
1779828149803083,TO_MIN,102
1779828150803983,TO_MAX,511
1779828151804880,TO_MIN,102
1779828152805782,TO_MAX,511
1779828153806497,STILL_PHASE_START,307
1779828158807207,MOTION_PHASE_START,0
1779828158807253,TO_MAX,511
1779828159807961,TO_MIN,102
1779828160808691,TO_MAX,511
1779828161809416,TO_MIN,102
1779828162810321,TO_MAX,511
1779828163811233,STILL_PHASE_START,307
1779828168812142,MOTION_PHASE_START,0
1779828168812179,TO_MAX,511
1779828169813061,TO_MIN,102
1779828170813790,TO_MAX,511
1779828171814529,TO_MIN,102
1779828172815259,TO_MAX,511
1779828173815986,STILL_PHASE_START,307
1779828178816889,MOTION_PHASE_START,0
1779828178816932,TO_MAX,511
1779828179817626,TO_MIN,102
1779828180818350,TO_MAX,511
1779828181819065,TO_MIN,102
1779828182819789,TO_MAX,511
1779828183820506,STILL_PHASE_START,307
1779828188821240,MOTION_PHASE_START,0
1779828188821285,TO_MAX,511
1779828189821982,TO_MIN,102
1779828190822718,TO_MAX,511
1779828191823445,TO_MIN,102
1779828192824166,TO_MAX,511
1779828193824890,STILL_PHASE_START,307
1779828198825610,MOTION_PHASE_START,0
1779828198825650,TO_MAX,511
1779828199826348,TO_MIN,102
1779828200827058,TO_MAX,511
1779828201827762,TO_MIN,102
1779828202828469,TO_MAX,511
1779828203829178,STILL_PHASE_START,307
1779828208829897,MOTION_PHASE_START,0
1779828208829945,TO_MAX,511
1779828209830823,TO_MIN,102
1779828210831558,TO_MAX,511
1779828211832278,TO_MIN,102
1779828212833002,TO_MAX,511
1779828213833718,STILL_PHASE_START,307
1779828218834457,MOTION_PHASE_START,0
1779828218834500,TO_MAX,511
1779828219835199,TO_MIN,102
1779828220835919,TO_MAX,511
1779828221836643,TO_MIN,102
1779828222837367,TO_MAX,511
1779828223838083,STILL_PHASE_START,307
1779828228838983,MOTION_PHASE_START,0
1779828228839014,TO_MAX,511
1779828229839711,TO_MIN,102
1779828230840424,TO_MAX,511
1779828231841131,TO_MIN,102
1779828232841868,TO_MAX,511
1779828233842776,STILL_PHASE_START,307
1779828238843687,MOTION_PHASE_START,0
1779828238843732,TO_MAX,511
1779828239844614,TO_MIN,102
1779828240845566,TO_MAX,511
1779828241846469,TO_MIN,102
1779828242847361,TO_MAX,511
1779828243848269,STILL_PHASE_START,307
1779828248848980,MOTION_PHASE_START,0
1779828248849019,TO_MAX,511
1779828249849911,TO_MIN,102
1779828250850863,TO_MAX,511
1779828251851766,TO_MIN,102
1779828252852666,TO_MAX,511
1779828253853369,STILL_PHASE_START,307
1779828258854094,MOTION_PHASE_START,0
1779828258854141,TO_MAX,511
1779828259854846,TO_MIN,102
1779828260855572,TO_MAX,511
1779828261856298,TO_MIN,102
1779828262857029,TO_MAX,511
1779828263857928,STILL_PHASE_START,307
1779828268858647,MOTION_PHASE_START,0
1779828268858683,TO_MAX,511
1779828269859386,TO_MIN,102
1779828270860115,TO_MAX,511
1779828271860829,TO_MIN,102
1779828272861556,TO_MAX,511
1779828273862277,STILL_PHASE_START,307
1779828278862994,MOTION_PHASE_START,0
1779828278863027,TO_MAX,511
1779828279863717,TO_MIN,102
1779828280865210,TO_MAX,511
1779828281866314,TO_MIN,102
1779828282867608,TO_MAX,511
1779828283868954,STILL_PHASE_START,307
1779828288870050,MOTION_PHASE_START,0
1779828288870092,TO_MAX,511
1779828289871153,TO_MIN,102
1779828290872249,TO_MAX,511
1779828291872986,TO_MIN,102
1779828292873715,TO_MAX,511
1779828293874640,STILL_PHASE_START,307
1779828298875563,MOTION_PHASE_START,0
1779828298875602,TO_MAX,511
1779828299876481,TO_MIN,102
1779828300877389,TO_MAX,511
1779828301878305,TO_MIN,102
1779828302879027,TO_MAX,511
1779828303879759,STILL_PHASE_START,307
1779828308880476,MOTION_PHASE_START,0
1779828308880518,TO_MAX,511
1779828309881232,TO_MIN,102
1779828310882368,TO_MAX,511
1779828311883100,TO_MIN,102
1779828312883830,TO_MAX,511
1779828313884726,STILL_PHASE_START,307
1779828318885464,MOTION_PHASE_START,0
1779828318885525,TO_MAX,511
1779828319886406,TO_MIN,102
1779828320887131,TO_MAX,511
1779828321887850,TO_MIN,102
1779828322888740,TO_MAX,511
1779828323889460,STILL_PHASE_START,307
1779828328890185,MOTION_PHASE_START,0
1779828328890226,TO_MAX,511
1779828329890936,TO_MIN,102
1779828330891667,TO_MAX,511
1779828331892392,TO_MIN,102
1779828332893120,TO_MAX,511
1779828333893853,STILL_PHASE_START,307
1779828338894586,MOTION_PHASE_START,0
1779828338894631,TO_MAX,511
1779828339895340,TO_MIN,102
1779828340896066,TO_MAX,511
1779828341896803,TO_MIN,102
1779828342897530,TO_MAX,511
1779828343898258,STILL_PHASE_START,307
1779828348898981,MOTION_PHASE_START,0
1779828348899018,TO_MAX,511
1779828349899722,TO_MIN,102
1779828350900448,TO_MAX,511
1779828351901171,TO_MIN,102
1779828352901897,TO_MAX,511
1779828353902626,STILL_PHASE_START,307
1779828358903358,MOTION_PHASE_START,0
1779828358903548,TO_MAX,511
1779828359904441,TO_MIN,102
1779828360905356,TO_MAX,511
1779828361906088,TO_MIN,102
1779828362906987,TO_MAX,511
1779828363907891,STILL_PHASE_START,307
1779828368908795,END,307
