05-26-2026 14:17:33 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [5%@1728,16%@1728,9%@1728,0%@1728,4%@1728,5%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@46.125C soc0@46C gpu@47.25C tj@48.031C soc1@48.031C VDD_IN 5665mW/5665mW VDD_CPU_GPU_CV 1188mW/1188mW VDD_SOC 1505mW/1505mW
05-26-2026 14:17:34 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.468C soc2@46.125C soc0@45.937C gpu@47.25C tj@48.031C soc1@48.031C VDD_IN 5348mW/5507mW VDD_CPU_GPU_CV 909mW/1049mW VDD_SOC 1465mW/1485mW
05-26-2026 14:17:34 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@46.093C soc0@45.937C gpu@47.312C tj@48.093C soc1@48.093C VDD_IN 5229mW/5414mW VDD_CPU_GPU_CV 830mW/976mW VDD_SOC 1465mW/1478mW
05-26-2026 14:17:35 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [15%@1728,12%@1728,11%@1728,8%@1728,9%@1728,39%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.781C soc2@46.218C soc0@45.875C gpu@47.093C tj@48.125C soc1@48.125C VDD_IN 5863mW/5526mW VDD_CPU_GPU_CV 1346mW/1068mW VDD_SOC 1505mW/1485mW
05-26-2026 14:17:35 RAM 1621/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1728,14%@1728,19%@1728,24%@1728,34%@1728,50%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@46.218C soc0@45.968C gpu@47.156C tj@48.25C soc1@48.031C VDD_IN 6348mW/5691mW VDD_CPU_GPU_CV 1743mW/1203mW VDD_SOC 1507mW/1489mW
05-26-2026 14:17:36 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,44%@1728,10%@1728,15%@1728,14%@1728,8%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.312C soc0@45.875C gpu@47.156C tj@48.031C soc1@48.031C VDD_IN 6061mW/5752mW VDD_CPU_GPU_CV 1505mW/1254mW VDD_SOC 1507mW/1492mW
05-26-2026 14:17:36 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,1%@1728,0%@1728,0%@1728,1%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.531C soc2@46.125C soc0@46.031C gpu@47.343C tj@48.031C soc1@48.031C VDD_IN 5467mW/5712mW VDD_CPU_GPU_CV 1028mW/1221mW VDD_SOC 1505mW/1494mW
05-26-2026 14:17:37 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@46.093C soc0@45.968C gpu@47.562C tj@48.031C soc1@48.031C VDD_IN 5268mW/5656mW VDD_CPU_GPU_CV 870mW/1177mW VDD_SOC 1465mW/1491mW
05-26-2026 14:17:37 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.468C soc2@46.093C soc0@45.937C gpu@47.281C tj@48.062C soc1@48.062C VDD_IN 5229mW/5609mW VDD_CPU_GPU_CV 830mW/1139mW VDD_SOC 1465mW/1488mW
05-26-2026 14:17:38 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@46.093C soc0@45.937C gpu@47.343C tj@48C soc1@48C VDD_IN 5229mW/5571mW VDD_CPU_GPU_CV 830mW/1108mW VDD_SOC 1465mW/1485mW
05-26-2026 14:17:38 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,1%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.187C soc0@46.031C gpu@47.093C tj@48.156C soc1@48.156C VDD_IN 5189mW/5536mW VDD_CPU_GPU_CV 831mW/1083mW VDD_SOC 1465mW/1484mW
05-26-2026 14:17:39 RAM 1622/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,3%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.187C soc0@45.843C gpu@47.312C tj@48.187C soc1@48.187C VDD_IN 5229mW/5510mW VDD_CPU_GPU_CV 831mW/1062mW VDD_SOC 1465mW/1482mW
05-26-2026 14:17:39 RAM 1624/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1728,12%@1728,36%@1728,9%@1728,21%@1728,37%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.281C soc0@45.906C gpu@47.093C tj@48.125C soc1@48.125C VDD_IN 5942mW/5544mW VDD_CPU_GPU_CV 1426mW/1090mW VDD_SOC 1507mW/1484mW
05-26-2026 14:17:40 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [6%@1728,12%@1728,11%@1728,9%@1728,20%@1728,56%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.218C soc0@45.937C gpu@47.343C tj@48C soc1@48C VDD_IN 6021mW/5578mW VDD_CPU_GPU_CV 1505mW/1119mW VDD_SOC 1505mW/1485mW
05-26-2026 14:17:41 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,14%@1728,15%@1728,15%@1728,21%@1728,39%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.25C soc0@46C gpu@47.5C tj@48.031C soc1@48C VDD_IN 6100mW/5613mW VDD_CPU_GPU_CV 1584mW/1150mW VDD_SOC 1505mW/1487mW
05-26-2026 14:17:41 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@1728,6%@1728,10%@1728,8%@1728,26%@1728,10%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.218C soc0@45.937C gpu@47.312C tj@48.031C soc1@48.031C VDD_IN 5863mW/5628mW VDD_CPU_GPU_CV 1386mW/1165mW VDD_SOC 1505mW/1488mW
