# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779830881108075,START,307
1779830881308833,MOTION_PHASE_START,0
1779830881308884,TO_MAX,511
1779830882309608,TO_MIN,102
1779830883310367,TO_MAX,511
1779830884311094,TO_MIN,102
1779830885311853,TO_MAX,511
1779830886312651,STILL_PHASE_START,307
1779830891313429,MOTION_PHASE_START,0
1779830891313469,TO_MAX,511
1779830892314188,TO_MIN,102
1779830893314942,TO_MAX,511
1779830894315692,TO_MIN,102
1779830895316452,TO_MAX,511
1779830896317206,STILL_PHASE_START,307
1779830901317950,MOTION_PHASE_START,0
1779830901318002,TO_MAX,511
1779830902318730,TO_MIN,102
1779830903319493,TO_MAX,511
1779830904320252,TO_MIN,102
1779830905321005,TO_MAX,511
1779830906321763,STILL_PHASE_START,307
1779830911322523,MOTION_PHASE_START,0
1779830911322592,TO_MAX,511
1779830912323315,TO_MIN,102
1779830913324075,TO_MAX,511
1779830914324834,TO_MIN,102
1779830915325598,TO_MAX,511
1779830916326361,STILL_PHASE_START,307
1779830921330500,MOTION_PHASE_START,0
1779830921361780,TO_MAX,511
1779830922362523,TO_MIN,102
1779830923363262,TO_MAX,511
1779830924364002,TO_MIN,102
1779830925364790,TO_MAX,511
1779830926365567,STILL_PHASE_START,307
1779830931366344,MOTION_PHASE_START,0
1779830931397628,TO_MAX,511
1779830932398368,TO_MIN,102
1779830933399129,TO_MAX,511
1779830934399891,TO_MIN,102
1779830935400664,TO_MAX,511
1779830936401442,STILL_PHASE_START,307
1779830941433088,MOTION_PHASE_START,0
1779830941464347,TO_MAX,511
1779830942465088,TO_MIN,102
1779830943465853,TO_MAX,511
1779830944466616,TO_MIN,102
1779830945467383,TO_MAX,511
1779830946468154,STILL_PHASE_START,307
1779830951500053,MOTION_PHASE_START,0
1779830951531416,TO_MAX,511
1779830952532157,TO_MIN,102
1779830953532917,TO_MAX,511
1779830954533669,TO_MIN,102
1779830955534407,TO_MAX,511
1779830956535229,STILL_PHASE_START,307
1779830961567339,MOTION_PHASE_START,0
1779830961598604,TO_MAX,511
1779830962599350,TO_MIN,102
1779830963600126,TO_MAX,511
1779830964600892,TO_MIN,102
1779830965601660,TO_MAX,511
1779830966602433,STILL_PHASE_START,307
1779830971634208,MOTION_PHASE_START,0
1779830971665262,TO_MAX,511
1779830972666001,TO_MIN,102
1779830973666765,TO_MAX,511
1779830974667534,TO_MIN,102
1779830975668306,TO_MAX,511
1779830976669088,STILL_PHASE_START,307
1779830981700898,MOTION_PHASE_START,0
1779830981731906,TO_MAX,511
