trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,1.7222825,2.07175982,2.07225008,490.25999999985356,True,
1,motion_to_still,6.73100592,8.42718166,8.42773972,558.0599999994718,True,
2,still_to_motion,11.73982722,11.95784886,11.95838448,535.6199999990707,True,
3,motion_to_still,16.7487065,18.31366956,18.31419314,523.5799999994128,True,
4,still_to_motion,21.73956812,21.84471342,21.84523196,518.5399999980689,True,
5,motion_to_still,26.74883422,28.9066516,28.90720736,555.7600000010154,True,
6,still_to_motion,31.75834236,32.4374013,32.43795088,549.5800000048234,True,
7,motion_to_still,36.74949132,38.08704314,38.08759908,555.9399999981451,True,
8,still_to_motion,41.75907388,42.32443998,42.32500274,562.7600000011057,True,
9,motion_to_still,46.7505482,47.9741971,47.9747189,521.800000001349,True,
10,still_to_motion,51.76034358,52.21134052,52.21187544,534.9199999997722,True,
11,motion_to_still,56.77015798,58.56671392,58.56725742,543.4999999991419,True,
12,still_to_motion,61.76169076,62.09843382,62.09897338,539.5599999999945,True,
13,motion_to_still,66.7716845,68.45493,68.45546166,531.6599999929394,True,
14,still_to_motion,71.76321354,71.98580402,71.98635834,554.3199999920034,True,
15,motion_to_still,76.77314118,78.34142294,78.34198154,558.6000000050717,True,
16,still_to_motion,81.78298378,81.872043,81.87258016,537.1599999932641,True,
17,motion_to_still,86.77460596,88.22732898,88.22788418,555.2000000079715,True,
18,still_to_motion,91.7846898,92.46408638,92.46464118,554.8000000032971,True,
19,motion_to_still,96.7762371,98.81930258,98.81986898,566.3999999967473,True,
20,still_to_motion,101.7862964,102.35048722,102.35103774,550.5199999902288,True,
21,motion_to_still,106.81467664,108.70603128,108.70658058,549.2999999887616,True,
22,still_to_motion,111.8426903,112.23673524,112.23728292,547.6799999968307,True,
23,motion_to_still,116.87071224,118.59227476,118.59281928,544.5200000053774,True,
24,still_to_motion,121.91669842,122.12308444,122.12361532,530.8799999994562,True,
25,motion_to_still,126.94449884,128.47878518,128.47933536,550.1800000047297,True,
26,still_to_motion,131.972234,132.00978914,132.010315,525.8599999820035,True,
27,motion_to_still,137.01822772,138.36503234,138.3656017,569.3600000142851,True,
28,still_to_motion,142.04593296,142.60197656,142.60251782,541.26000000565,True,
29,motion_to_still,147.07375302,148.95704442,148.95759096,546.5400000161935,True,
30,still_to_motion,152.08306552,152.48750336,152.4880412,537.8399999926842,True,
31,motion_to_still,157.09219604,158.84268698,158.84324634,559.360000011111,True,
32,still_to_motion,162.1012583,162.37307638,162.37363038,554.0000000223699,True,
33,motion_to_still,167.12885366,168.7281688,168.72872192,553.1200000064018,True,
34,still_to_motion,172.15639898,172.2587688,172.2593284,559.5999999741252,True,
35,motion_to_still,177.20208674,178.61418868,178.61473568,546.9999999831998,True,
36,still_to_motion,182.22911042,182.85109638,182.85165184,555.4599999868515,True,
37,motion_to_still,187.27457036,189.20710452,189.20766206,557.5399999884212,True,
38,still_to_motion,192.30176008,192.73737362,192.73793682,563.1999999877735,True,
39,motion_to_still,197.32901024,199.09232418,199.09288188,557.7000000016596,True,
40,still_to_motion,202.37476688,202.6227829,202.62331206,529.1599999850405,True,
41,motion_to_still,207.40210642,208.97851112,208.97906246,551.3399999870217,True,
42,still_to_motion,212.42913456,212.50925046,212.50976646,516.0000000046239,True,
43,motion_to_still,217.47440292,219.57158622,219.57213228,546.0600000048998,True,
44,still_to_motion,222.50117732,223.10230798,223.10284436,536.3799999997809,True,
45,motion_to_still,227.52805368,229.45765442,229.45820718,552.7599999766153,True,
46,still_to_motion,232.53671078,232.98813574,232.98866498,529.2400000200814,True,
47,motion_to_still,237.54543854,239.34314924,239.34370908,559.8399999939829,True,
48,still_to_motion,242.55394358,242.87409532,242.8746531,557.7799999798572,True,
49,motion_to_still,247.59931138,249.22975742,249.23031204,554.6200000026147,True,
50,still_to_motion,252.62634864,252.75999114,252.76057468,583.5399999796209,True,
51,motion_to_still,257.6533767,259.11541468,259.11595222,537.5399999820729,True,
52,still_to_motion,262.68048384,263.3520285,263.35258762,559.1199999912533,True,
53,motion_to_still,267.7263021,269.70691918,269.707452,532.8199999894423,True,
54,still_to_motion,272.75327594,273.23736776,273.23790598,538.2200000099147,True,
55,motion_to_still,277.79879326,279.59289666,279.59346234,565.6799999655959,True,
56,still_to_motion,282.82602268,283.12336552,283.12392134,555.8199999882163,True,
57,motion_to_still,287.8530922,289.4797766,289.48033164,555.0399999947331,True,
58,still_to_motion,292.89823572,293.01097424,293.01152908,554.8400000066067,True,
59,motion_to_still,297.92515464,300.07277556,300.07331982,544.259999969654,True,
