trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,1.7667083,2.1137349,2.11426636,531.4599999999281,True,
1,motion_to_still,6.77649542,8.46953848,8.47005854,520.0599999994893,True,
2,still_to_motion,11.78651166,11.99995878,12.0004646,505.8200000007673,True,
3,motion_to_still,16.77821442,18.35622794,18.35672372,495.780000001389,True,
4,still_to_motion,21.78811562,21.88713148,21.88779928,667.7999999986639,True,
5,motion_to_still,26.79805232,28.24296464,28.24381806,853.4199999985503,True,
6,still_to_motion,31.78956854,32.47984134,32.48031108,469.7399999997742,True,
7,motion_to_still,36.79938346,38.12919402,38.12968702,492.99999999874444,True,
8,still_to_motion,41.79077928,42.36613792,42.36678332,645.4000000033489,True,
9,motion_to_still,46.80048032,48.72118394,48.72225994,1075.9999999976344,True,
10,still_to_motion,51.79175986,52.25191536,52.25240418,488.82000000105563,True,
11,motion_to_still,56.80150302,58.6075988,58.60825706,658.2600000015759,True,
12,still_to_motion,61.81124112,62.13797728,62.13862346,646.1799999968321,True,
13,motion_to_still,66.80286808,68.49320896,68.4940503,841.3399999938065,True,
14,still_to_motion,71.81251798,72.02399644,72.02485134,854.8999999931084,True,
15,motion_to_still,76.80417366,78.37975302,78.38041828,665.2600000052189,True,
16,still_to_motion,81.8138805,81.91110524,81.9115934,488.1600000032904,True,
17,motion_to_still,86.82366492,88.26654662,88.26721994,673.3200000041961,True,
18,still_to_motion,91.81513108,92.50334132,92.50442416,1082.8399999951444,True,
19,motion_to_still,96.82495386,98.15271566,98.15338444,668.779999998037,True,
20,still_to_motion,101.81646228,102.38967606,102.390758,1081.9400000059431,True,
21,motion_to_still,106.82631676,108.03936406,108.04044034,1076.2800000065909,True,
22,still_to_motion,111.83637936,112.27641106,112.27708034,669.2799999967747,True,
23,motion_to_still,116.82818284,118.63239156,118.63288762,496.06000000324,True,
24,still_to_motion,121.83824804,122.1631858,122.16472108,1535.2800000130173,True,
25,motion_to_still,126.82996326,128.51898312,128.52056692,1583.7999999916974,True,
26,still_to_motion,131.8396981,132.04956888,132.05005646,487.57999999793356,True,
27,motion_to_still,136.84948692,138.4052518,138.40573072,478.92000000615553,True,
28,still_to_motion,141.84100362,141.93594558,141.9364147,469.11999999110776,True,
29,motion_to_still,146.85106894,148.29148038,148.29253372,1053.3399999985704,True,
30,still_to_motion,151.8425585,152.52863502,152.52929042,655.3999999994176,True,
31,motion_to_still,156.85222198,158.88409846,158.88493244,833.980000010115,True,
32,still_to_motion,161.8618337,162.41495308,162.41561736,664.2799999951876,True,
33,motion_to_still,166.85322178,168.77103546,168.77169856,663.09999999703,True,
34,still_to_motion,171.86295658,172.30237964,172.30304132,661.6800000074363,True,
35,motion_to_still,176.85443514,178.65854924,178.65938774,838.4999999861975,True,
36,still_to_motion,181.86406024,182.18976428,182.19042408,659.8000000224147,True,
37,motion_to_still,186.87357448,188.54568032,188.54636292,682.6000000046406,True,
38,still_to_motion,191.8647413,192.07674292,192.07722736,484.44000000813503,True,
39,motion_to_still,196.8742369,198.43273372,198.43320042,466.7000000040389,True,
40,still_to_motion,201.86546384,201.96366148,201.96413996,478.4799999981715,True,
41,motion_to_still,206.87506554,208.31947196,208.31996278,490.820000010217,True,
42,still_to_motion,211.88497016,212.55603698,212.55652588,488.9000000218857,True,
43,motion_to_still,216.87651558,218.9110182,218.91233858,1320.3800000098909,True,
44,still_to_motion,221.88631238,222.44224998,222.44291668,666.6999999822565,True,
45,motion_to_still,226.87801006,228.79758786,228.79844748,859.6199999999499,True,
46,still_to_motion,231.88810412,232.32805468,232.3285386,483.91999999353175,True,
47,motion_to_still,236.89834368,237.97702726,237.97768946,662.1999999936179,True,
48,still_to_motion,241.89012806,242.21387084,242.21453428,663.4400000109508,True,
49,motion_to_still,246.9003702,248.56929308,248.56978326,490.18000001410655,True,
50,still_to_motion,251.8920706,252.09956096,252.10004846,487.50000001973604,True,
51,motion_to_still,256.9022161,258.45481344,258.455473,659.5599999741353,True,
52,still_to_motion,261.89421476,261.98523524,261.98607594,840.6999999692744,True,
53,motion_to_still,266.9045376,268.34018202,268.34068718,505.15999998879124,True,
54,still_to_motion,271.8965118,272.57665458,272.5772908,636.2199999898621,True,
55,motion_to_still,276.90691844,278.22522078,278.22569346,472.6800000298681,True,
56,still_to_motion,281.9172174,282.46292584,282.46358006,654.2200000012599,True,
57,motion_to_still,286.90928728,288.81851358,288.818991,477.41999998152096,True,
58,still_to_motion,291.9194165,292.34895068,292.34962168,671.0000000111904,True,
59,motion_to_still,296.91135984,298.70343596,298.70393666,500.700000031884,True,
