# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779833068435228,START,307
1779833068635978,MOTION_PHASE_START,0
1779833068636021,TO_MAX,511
1779833069636931,TO_MIN,102
1779833070637691,TO_MAX,511
1779833071638438,TO_MIN,102
1779833072639194,TO_MAX,511
1779833073639966,STILL_PHASE_START,307
1779833078640827,MOTION_PHASE_START,0
1779833078640874,TO_MAX,511
1779833079641612,TO_MIN,102
1779833080642392,TO_MAX,511
1779833081643157,TO_MIN,102
1779833082643923,TO_MAX,511
1779833083644686,STILL_PHASE_START,307
1779833088645450,MOTION_PHASE_START,0
1779833088645496,TO_MAX,511
1779833089646211,TO_MIN,102
1779833090646935,TO_MAX,511
1779833091647722,TO_MIN,102
1779833092648497,TO_MAX,511
1779833093649288,STILL_PHASE_START,307
1779833098650062,MOTION_PHASE_START,0
1779833098650119,TO_MAX,511
1779833099650850,TO_MIN,102
1779833100651623,TO_MAX,511
1779833101652349,TO_MIN,102
1779833102653112,TO_MAX,511
1779833103653883,STILL_PHASE_START,307
1779833108654653,MOTION_PHASE_START,0
1779833108654709,TO_MAX,511
1779833109655434,TO_MIN,102
1779833110656196,TO_MAX,511
1779833111656956,TO_MIN,102
1779833112657717,TO_MAX,511
1779833113658477,STILL_PHASE_START,307
1779833118659267,MOTION_PHASE_START,0
1779833118659316,TO_MAX,511
1779833119660042,TO_MIN,102
1779833120660805,TO_MAX,511
1779833121661568,TO_MIN,102
1779833122662336,TO_MAX,511
1779833123663102,STILL_PHASE_START,307
1779833128663875,MOTION_PHASE_START,0
1779833128663926,TO_MAX,511
1779833129664648,TO_MIN,102
1779833130665414,TO_MAX,511
1779833131666169,TO_MIN,102
1779833132666911,TO_MAX,511
1779833133667649,STILL_PHASE_START,307
1779833138668353,MOTION_PHASE_START,0
1779833138668413,TO_MAX,511
1779833139669147,TO_MIN,102
1779833140669918,TO_MAX,511
1779833141670686,TO_MIN,102
1779833142671455,TO_MAX,511
1779833143672222,STILL_PHASE_START,307
1779833148672991,MOTION_PHASE_START,0
1779833148673053,TO_MAX,511
1779833149673782,TO_MIN,102
1779833150674544,TO_MAX,511
1779833151675311,TO_MIN,102
1779833152676071,TO_MAX,511
1779833153676856,STILL_PHASE_START,307
1779833158677611,MOTION_PHASE_START,0
1779833158677676,TO_MAX,511
1779833159678408,TO_MIN,102
1779833160679185,TO_MAX,511
1779833161679964,TO_MIN,102
1779833162684349,TO_MAX,511
1779833163685120,STILL_PHASE_START,307
1779833168685896,MOTION_PHASE_START,0
1779833168685957,TO_MAX,511
1779833169686687,TO_MIN,102
1779833170687459,TO_MAX,511
1779833171688240,TO_MIN,102
1779833172689010,TO_MAX,511
1779833173689788,STILL_PHASE_START,307
1779833178690565,MOTION_PHASE_START,0
1779833178690620,TO_MAX,511
1779833179691343,TO_MIN,102
1779833180692107,TO_MAX,511
1779833181692847,TO_MIN,102
1779833182693577,TO_MAX,511
1779833183694369,STILL_PHASE_START,307
1779833188695152,MOTION_PHASE_START,0
1779833188695217,TO_MAX,511
1779833189695952,TO_MIN,102
1779833190696732,TO_MAX,511
1779833191697515,TO_MIN,102
1779833192698288,TO_MAX,511
1779833193699072,STILL_PHASE_START,307
1779833198699854,MOTION_PHASE_START,0
1779833198699913,TO_MAX,511
1779833199700634,TO_MIN,102
1779833200701403,TO_MAX,511
1779833201702166,TO_MIN,102
1779833202702913,TO_MAX,511
1779833203703657,STILL_PHASE_START,307
1779833208704406,MOTION_PHASE_START,0
1779833208707938,TO_MAX,511
1779833209708677,TO_MIN,102
1779833210709451,TO_MAX,511
1779833211710222,TO_MIN,102
1779833212710995,TO_MAX,511
1779833213711765,STILL_PHASE_START,307
1779833218716157,MOTION_PHASE_START,0
1779833218719393,TO_MAX,511
1779833219720131,TO_MIN,102
1779833220720890,TO_MAX,511
1779833221721660,TO_MIN,102
1779833222722417,TO_MAX,511
1779833223723175,STILL_PHASE_START,307
1779833228727363,MOTION_PHASE_START,0
1779833228730752,TO_MAX,511
1779833229731497,TO_MIN,102
1779833230732272,TO_MAX,511
1779833231733073,TO_MIN,102
1779833232733852,TO_MAX,511
1779833233734631,STILL_PHASE_START,307
1779833238738892,MOTION_PHASE_START,0
1779833238742445,TO_MAX,511
1779833239743184,TO_MIN,102
1779833240744007,TO_MAX,511
1779833241744779,TO_MIN,102
1779833242745554,TO_MAX,511
1779833243746329,STILL_PHASE_START,307
1779833248752789,MOTION_PHASE_START,0
1779833248756326,TO_MAX,511
1779833249757519,TO_MIN,102
1779833250758317,TO_MAX,511
1779833251759099,TO_MIN,102
1779833252759871,TO_MAX,511
1779833253760646,STILL_PHASE_START,307
1779833258764469,MOTION_PHASE_START,0
1779833258767946,TO_MAX,511
1779833259768679,TO_MIN,102
1779833260769457,TO_MAX,511
1779833261770231,TO_MIN,102
1779833262771004,TO_MAX,511
1779833263771777,STILL_PHASE_START,307
1779833268775725,MOTION_PHASE_START,0
1779833268777133,TO_MAX,511
1779833269777866,TO_MIN,102
1779833270778609,TO_MAX,511
1779833271779332,TO_MIN,102
1779833272780108,TO_MAX,511
1779833273780911,STILL_PHASE_START,307
1779833278800574,MOTION_PHASE_START,0
1779833278831751,TO_MAX,511
1779833279832491,TO_MIN,102
1779833280833266,TO_MAX,511
1779833281834045,TO_MIN,102
1779833282834822,TO_MAX,511
1779833283835602,STILL_PHASE_START,307
1779833288867271,MOTION_PHASE_START,0
1779833288898582,TO_MAX,511
