05-26-2026 15:04:26 RAM 1617/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [7%@1728,7%@1728,9%@1728,0%@1728,8%@1728,28%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@45.625C soc0@45.437C gpu@46.687C tj@47.531C soc1@47.625C VDD_IN 5744mW/5744mW VDD_CPU_GPU_CV 1267mW/1267mW VDD_SOC 1505mW/1505mW
05-26-2026 15:04:26 RAM 1617/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,1%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.093C soc2@45.656C soc0@45.437C gpu@46.75C tj@47.531C soc1@47.531C VDD_IN 5387mW/5566mW VDD_CPU_GPU_CV 950mW/1109mW VDD_SOC 1465mW/1485mW
05-26-2026 15:04:27 RAM 1617/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.937C soc2@45.625C soc0@45.468C gpu@46.625C tj@47.593C soc1@47.593C VDD_IN 5229mW/5453mW VDD_CPU_GPU_CV 830mW/1016mW VDD_SOC 1465mW/1478mW
05-26-2026 15:04:27 RAM 1620/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [7%@1728,4%@1728,11%@1728,9%@1728,8%@1728,17%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.437C soc2@45.656C soc0@45.562C gpu@46.718C tj@47.593C soc1@47.593C VDD_IN 5625mW/5496mW VDD_CPU_GPU_CV 1148mW/1049mW VDD_SOC 1505mW/1485mW
05-26-2026 15:04:28 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@1728,15%@1728,19%@1728,18%@1728,53%@1728,38%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.718C soc2@45.781C soc0@45.5C gpu@46.656C tj@47.718C soc1@47.656C VDD_IN 6259mW/5649mW VDD_CPU_GPU_CV 1663mW/1172mW VDD_SOC 1507mW/1489mW
05-26-2026 15:04:28 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@1728,21%@1728,31%@1728,19%@1728,29%@1728,24%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@45.843C soc0@45.625C gpu@46.687C tj@47.718C soc1@47.718C VDD_IN 6229mW/5746mW VDD_CPU_GPU_CV 1624mW/1247mW VDD_SOC 1507mW/1492mW
05-26-2026 15:04:29 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.187C soc2@45.718C soc0@45.468C gpu@46.781C tj@47.625C soc1@47.625C VDD_IN 5467mW/5706mW VDD_CPU_GPU_CV 1030mW/1216mW VDD_SOC 1505mW/1494mW
05-26-2026 15:04:29 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.062C soc2@45.625C soc0@45.562C gpu@46.812C tj@47.625C soc1@47.625C VDD_IN 5268mW/5651mW VDD_CPU_GPU_CV 871mW/1173mW VDD_SOC 1465mW/1491mW
05-26-2026 15:04:30 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.062C soc2@45.656C soc0@45.5C gpu@46.687C tj@47.593C soc1@47.593C VDD_IN 5189mW/5600mW VDD_CPU_GPU_CV 792mW/1131mW VDD_SOC 1465mW/1488mW
05-26-2026 15:04:30 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.062C soc2@45.625C soc0@45.531C gpu@46.562C tj@47.593C soc1@47.593C VDD_IN 5189mW/5559mW VDD_CPU_GPU_CV 791mW/1097mW VDD_SOC 1465mW/1485mW
05-26-2026 15:04:31 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.031C soc2@45.687C soc0@45.5C gpu@46.593C tj@47.531C soc1@47.531C VDD_IN 5150mW/5521mW VDD_CPU_GPU_CV 791mW/1069mW VDD_SOC 1465mW/1484mW
05-26-2026 15:04:31 RAM 1618/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.125C soc2@45.625C soc0@45.625C gpu@46.593C tj@47.718C soc1@47.718C VDD_IN 5189mW/5494mW VDD_CPU_GPU_CV 831mW/1049mW VDD_SOC 1465mW/1482mW
05-26-2026 15:04:32 RAM 1619/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,13%@1728,15%@1728,15%@1728,22%@1728,16%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@45.625C soc0@45.468C gpu@46.625C tj@47.5C soc1@47.5C VDD_IN 5704mW/5510mW VDD_CPU_GPU_CV 1228mW/1063mW VDD_SOC 1505mW/1484mW
05-26-2026 15:04:32 RAM 1621/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,33%@1728,12%@1728,14%@1728,8%@1728,33%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.218C soc2@45.718C soc0@45.5C gpu@46.718C tj@47.562C soc1@47.562C VDD_IN 5982mW/5544mW VDD_CPU_GPU_CV 1465mW/1092mW VDD_SOC 1505mW/1485mW
