# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779833693447422,START,307
1779833693648178,MOTION_PHASE_START,0
1779833693648222,TO_MAX,511
1779833694648941,TO_MIN,102
1779833695649695,TO_MAX,511
1779833696650591,TO_MIN,102
1779833697651357,TO_MAX,511
1779833698652131,STILL_PHASE_START,307
1779833703652857,MOTION_PHASE_START,0
1779833703652886,TO_MAX,511
1779833704653578,TO_MIN,102
1779833705654481,TO_MAX,511
1779833706655198,TO_MIN,102
1779833707656093,TO_MAX,511
1779833708656986,STILL_PHASE_START,307
1779833713657692,MOTION_PHASE_START,0
1779833713657739,TO_MAX,511
1779833714658448,TO_MIN,102
1779833715659173,TO_MAX,511
1779833716659894,TO_MIN,102
1779833717660621,TO_MAX,511
1779833718661346,STILL_PHASE_START,307
1779833723662248,MOTION_PHASE_START,0
1779833723662291,TO_MAX,511
1779833724662984,TO_MIN,102
1779833725663702,TO_MAX,511
1779833726664597,TO_MIN,102
1779833727665493,TO_MAX,511
1779833728666393,STILL_PHASE_START,307
1779833733667286,MOTION_PHASE_START,0
1779833733667320,TO_MAX,511
1779833734668191,TO_MIN,102
1779833735668892,TO_MAX,511
1779833736669593,TO_MIN,102
1779833737670567,TO_MAX,511
1779833738671472,STILL_PHASE_START,307
1779833743672347,MOTION_PHASE_START,0
1779833743672391,TO_MAX,511
1779833744673088,TO_MIN,102
1779833745673805,TO_MAX,511
1779833746674518,TO_MIN,102
1779833747675228,TO_MAX,511
1779833748676125,STILL_PHASE_START,307
1779833753677022,MOTION_PHASE_START,0
1779833753677070,TO_MAX,511
1779833754677771,TO_MIN,102
1779833755678494,TO_MAX,511
1779833756679209,TO_MIN,102
1779833757679915,TO_MAX,511
1779833758680636,STILL_PHASE_START,307
1779833763681530,MOTION_PHASE_START,0
1779833763681586,TO_MAX,511
1779833764682460,TO_MIN,102
1779833765683358,TO_MAX,511
1779833766684084,TO_MIN,102
1779833767684794,TO_MAX,511
1779833768685690,STILL_PHASE_START,307
1779833773686410,MOTION_PHASE_START,0
1779833773686451,TO_MAX,511
1779833774687329,TO_MIN,102
1779833775688052,TO_MAX,511
1779833776688941,TO_MIN,102
1779833777689835,TO_MAX,511
1779833778690538,STILL_PHASE_START,307
1779833783691244,MOTION_PHASE_START,0
1779833783691298,TO_MAX,511
1779833784692143,TO_MIN,102
1779833785693048,TO_MAX,511
1779833786693944,TO_MIN,102
1779833787694843,TO_MAX,511
1779833788695741,STILL_PHASE_START,307
1779833793696460,MOTION_PHASE_START,0
1779833793696515,TO_MAX,511
1779833794697226,TO_MIN,102
1779833795698140,TO_MAX,511
1779833796699043,TO_MIN,102
1779833797699946,TO_MAX,511
1779833798700841,STILL_PHASE_START,307
1779833803701576,MOTION_PHASE_START,0
1779833803701625,TO_MAX,511
1779833804702494,TO_MIN,102
1779833805703394,TO_MAX,511
1779833806704282,TO_MIN,102
1779833807704991,TO_MAX,511
1779833808705695,STILL_PHASE_START,307
1779833813706407,MOTION_PHASE_START,0
1779833813706455,TO_MAX,511
1779833814707333,TO_MIN,102
1779833815708248,TO_MAX,511
1779833816709160,TO_MIN,102
1779833817710060,TO_MAX,511
1779833818710954,STILL_PHASE_START,307
1779833823711860,MOTION_PHASE_START,0
1779833823711906,TO_MAX,511
1779833824712781,TO_MIN,102
1779833825713691,TO_MAX,511
1779833826714596,TO_MIN,102
1779833827715503,TO_MAX,511
1779833828716415,STILL_PHASE_START,307
1779833833717328,MOTION_PHASE_START,0
1779833833717365,TO_MAX,511
1779833834718053,TO_MIN,102
1779833835718958,TO_MAX,511
