05-26-2026 15:35:41 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,1%@1728,0%@1728,8%@1728,5%@1728,3%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.343C soc2@50C soc0@50.062C gpu@51.312C tj@51.656C soc1@51.656C VDD_IN 5665mW/5665mW VDD_CPU_GPU_CV 1186mW/1186mW VDD_SOC 1505mW/1505mW
05-26-2026 15:35:42 RAM 1626/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,1%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@50C soc0@50.062C gpu@51.375C tj@51.718C soc1@51.718C VDD_IN 5387mW/5526mW VDD_CPU_GPU_CV 909mW/1048mW VDD_SOC 1505mW/1505mW
05-26-2026 15:35:42 RAM 1626/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.468C soc2@49.75C soc0@49.843C gpu@50.968C tj@51.5C soc1@51.5C VDD_IN 5268mW/5440mW VDD_CPU_GPU_CV 830mW/975mW VDD_SOC 1505mW/1505mW
05-26-2026 15:35:43 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@1728,25%@1728,25%@1728,15%@1728,2%@1728,4%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@49.968C soc0@49.937C gpu@51.281C tj@51.687C soc1@51.5C VDD_IN 5823mW/5536mW VDD_CPU_GPU_CV 1305mW/1058mW VDD_SOC 1505mW/1505mW
05-26-2026 15:35:43 RAM 1630/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [22%@1728,30%@1728,32%@1728,22%@1728,36%@1728,30%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@49.937C soc0@49.875C gpu@51.062C tj@51.812C soc1@51.531C VDD_IN 6417mW/5712mW VDD_CPU_GPU_CV 1743mW/1195mW VDD_SOC 1545mW/1513mW
05-26-2026 15:35:44 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1728,16%@1728,19%@1728,10%@1728,64%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@49.843C soc0@49.875C gpu@51.187C tj@51.531C soc1@51.531C VDD_IN 6180mW/5790mW VDD_CPU_GPU_CV 1582mW/1259mW VDD_SOC 1545mW/1518mW
05-26-2026 15:35:44 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.156C soc2@49.906C soc0@49.968C gpu@50.937C tj@51.5C soc1@51.5C VDD_IN 5506mW/5749mW VDD_CPU_GPU_CV 1028mW/1226mW VDD_SOC 1505mW/1516mW
05-26-2026 15:35:45 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@49.812C soc0@49.968C gpu@50.937C tj@51.531C soc1@51.531C VDD_IN 5308mW/5694mW VDD_CPU_GPU_CV 909mW/1187mW VDD_SOC 1505mW/1515mW
05-26-2026 15:35:45 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,3%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.125C soc2@49.718C soc0@49.937C gpu@50.906C tj@51.531C soc1@51.531C VDD_IN 5268mW/5647mW VDD_CPU_GPU_CV 870mW/1151mW VDD_SOC 1505mW/1514mW
05-26-2026 15:35:46 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,1%@1728,0%@1728,1%@1728,0%@1728,1%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@49.718C soc0@49.75C gpu@50.937C tj@51.593C soc1@51.593C VDD_IN 5268mW/5609mW VDD_CPU_GPU_CV 830mW/1119mW VDD_SOC 1505mW/1513mW
05-26-2026 15:35:46 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@49.593C soc0@49.687C gpu@51C tj@51.218C soc1@51.218C VDD_IN 5229mW/5574mW VDD_CPU_GPU_CV 830mW/1093mW VDD_SOC 1505mW/1512mW
