trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.2049197,2.55842216,2.55865796,235.80000000000823,True,
1,motion_to_still,7.21727136,8.91346908,8.9135423,73.21999999909679,True,
2,still_to_motion,12.2114396,12.4439759,12.44404696,71.05999999978962,True,
3,motion_to_still,17.22402852,18.80068228,18.80074962,67.34000000108153,True,
4,still_to_motion,22.21829884,22.33181578,22.33187988,64.09999999945626,True,
5,motion_to_still,27.23103474,28.68663702,28.68671172,74.70000000253663,True,
6,still_to_motion,32.22551002,32.923382,32.92345336,71.36000000684817,True,
7,motion_to_still,37.2383434,38.57252638,38.5726033,76.91999999792642,True,
8,still_to_motion,42.23280908,42.8092319,42.80929312,61.21999999919581,True,
9,motion_to_still,47.22733678,49.16398772,49.16405522,67.50000000010914,True,
10,still_to_motion,52.24000244,52.69441218,52.69448684,74.66000000277973,True,
11,motion_to_still,57.23440818,59.0493256,59.04939038,64.77999999532358,True,
12,still_to_motion,62.26546044,62.57979458,62.5798623,67.72000000410117,True,
13,motion_to_still,67.31509318,68.93548586,68.93554498,59.12000000307671,True,
14,still_to_motion,72.34639824,72.46605968,72.46612916,69.47999999340482,True,
15,motion_to_still,77.3591431,78.82159744,78.82166632,68.88000000060401,True,
16,still_to_motion,82.39049088,83.05797978,83.05804434,64.55999999843698,True,
17,motion_to_still,87.4216731,89.41325502,89.41332646,71.43999999925654,True,
18,still_to_motion,92.41622682,92.94386244,92.94392758,65.13999998958298,True,
19,motion_to_still,97.44760326,99.29932424,99.29938966,65.41999999853942,True,
20,still_to_motion,102.44213558,102.83039992,102.83047196,72.03999999205735,True,
21,motion_to_still,107.45488286,108.47949006,108.47955836,68.29999999524716,True,
22,still_to_motion,112.44908808,112.71606184,112.71613008,68.2400000044936,True,
23,motion_to_still,117.46174784,119.07098972,119.07105936,69.64000000664328,True,
24,still_to_motion,122.45611454,122.6013847,122.60145462,69.92000000138887,True,
25,motion_to_still,127.46883936,128.95665126,128.9567153,64.0400000122554,True,
26,still_to_motion,132.46307204,132.48712052,132.48719124,70.7199999965269,True,
27,motion_to_still,137.47557006,138.84214252,138.84222174,79.22000000348817,True,
28,still_to_motion,142.47005676,143.07843616,143.07849886,62.70000000085929,True,
29,motion_to_still,147.4827764,149.43321664,149.43328916,72.5199999749293,True,
30,still_to_motion,152.47709782,152.963891,152.9639638,72.79999999809661,True,
31,motion_to_still,157.48971898,159.31852926,159.31858878,59.52000000775115,True,
32,still_to_motion,162.4840349,162.84979858,162.84987682,78.23999999345688,True,
33,motion_to_still,167.4784938,169.20527168,169.20534038,68.69999998571075,True,
34,still_to_motion,172.49137356,172.73562238,172.7356929,70.52000000840053,True,
35,motion_to_still,177.48582926,179.0903976,179.09046362,66.02000001976194,True,
36,still_to_motion,182.498613,182.62080322,182.62087058,67.36000000273634,True,
37,motion_to_still,187.49297336,189.68196152,189.68202688,65.36000000778586,True,
38,still_to_motion,192.48712166,193.21323738,193.21330104,63.65999999502492,True,
39,motion_to_still,197.49955964,199.56833952,199.56840822,68.70000001413246,True,
40,still_to_motion,202.49373296,203.09931372,203.09938434,70.62000000246371,True,
41,motion_to_still,207.50628496,209.45421536,209.45428022,64.85999998062653,True,
42,still_to_motion,212.50047214,212.9843122,212.98438604,73.83999999888147,True,
43,motion_to_still,217.51302612,219.33907148,219.33914112,69.63999999243242,True,
44,still_to_motion,222.50744332,222.86946868,222.86954266,73.97999999625426,True,
45,motion_to_still,227.5199877,,228.51832202,,False,multiple_d1_in_window
46,still_to_motion,232.51415228,,,,False,no_d1_in_window
47,motion_to_still,237.52643362,239.10986724,239.10992928,62.03999998888321,True,
48,still_to_motion,242.52052834,242.63997838,242.64004448,66.09999999795946,True,
49,motion_to_still,247.53292592,248.9947709,248.99484578,74.87999999966632,True,
50,still_to_motion,252.5268251,253.23140892,253.23148466,75.73999999976877,True,
51,motion_to_still,257.53925328,259.58587104,259.58593168,60.64000001515524,True,
52,still_to_motion,262.53322224,263.1163642,263.11643068,66.47999998676823,True,
53,motion_to_still,267.52737598,269.47070564,269.47077736,71.71999999400214,True,
54,still_to_motion,272.53981272,273.00100946,273.00107484,65.38000002365152,True,
55,motion_to_still,277.53395334,279.35560588,279.3556814,75.51999999577674,True,
56,still_to_motion,282.54646116,282.88594344,282.8860176,74.15999999693668,True,
57,motion_to_still,287.5407514,289.24040958,289.24047754,67.95999996711544,True,
58,still_to_motion,292.55336196,292.77064822,292.77071694,68.72000000157641,True,
59,motion_to_still,297.54760264,299.1260317,299.12610176,70.05999998455081,True,
