trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.11588812,2.49799098,2.49834566,354.6800000000516,True,
1,motion_to_still,7.12816022,8.14647584,8.14672922,253.37999999841543,True,
2,still_to_motion,12.12213702,12.3822402,12.3825613,321.10000000074024,True,
3,motion_to_still,17.13461146,18.02999592,18.03031926,323.33999999778484,True,
4,still_to_motion,22.128543,22.26590788,22.26622844,320.559999998693,True,
5,motion_to_still,27.14075946,28.62031326,28.62063298,319.72000000024536,True,
6,still_to_motion,32.1344421,32.8559529,32.85627472,321.8200000034699,True,
7,motion_to_still,37.14644114,38.50385578,38.50417576,319.9800000004416,True,
8,still_to_motion,42.140152,42.73987604,42.7402032,327.16000000476697,True,
9,motion_to_still,47.15207768,48.38796472,48.38830366,338.93999999889957,True,
10,still_to_motion,52.14554672,52.62415,52.62447062,320.619999996552,True,
11,motion_to_still,57.15736364,58.27235482,58.27267866,323.8400000000752,True,
12,still_to_motion,62.15050132,62.50832616,62.50864816,321.99999999704687,True,
13,motion_to_still,67.16184064,68.15592158,68.15629318,371.6000000082431,True,
14,still_to_motion,72.15481704,72.39176808,72.39208942,321.33999999928164,True,
15,motion_to_still,77.16606236,78.03984158,78.04017252,330.93999999778134,True,
16,still_to_motion,82.1589972,82.2757053,82.27602888,323.57999999987896,True,
17,motion_to_still,87.17023186,88.6291931,88.62951262,319.52000000501357,True,
18,still_to_motion,92.16270492,92.86521338,92.8655327,319.32000000267635,True,
19,motion_to_still,97.17343364,98.51372414,98.51404346,319.32000000267635,True,
20,still_to_motion,102.16565948,102.749594,102.74991494,320.9399999946072,True,
21,motion_to_still,107.17607568,108.39774078,108.39805922,318.43999998670824,True,
22,still_to_motion,112.1679477,112.63356278,112.6338821,319.3199999884655,True,
23,motion_to_still,117.17819234,118.28121982,118.2815424,322.5800000024037,True,
24,still_to_motion,122.16984372,122.51735404,122.51787424,520.1999999968621,True,
25,motion_to_still,127.17988574,128.16582276,128.16614174,318.98000000296634,True,
26,still_to_motion,132.17167664,132.40160006,132.40191924,319.1800000195144,True,
27,motion_to_still,137.18155708,138.7554036,138.75572336,319.75999999644955,True,
28,still_to_motion,142.19120512,142.2851291,142.2854511,321.999999982836,True,
29,motion_to_still,147.18251058,148.63846044,148.63878138,320.9400000230289,True,
30,still_to_motion,152.19213534,152.87436272,152.87468114,318.42000001347515,True,
31,motion_to_still,157.20143234,158.52221556,158.52254312,327.5599999881251,True,
32,still_to_motion,162.19186756,162.75784622,162.75818456,338.3399999847825,True,
33,motion_to_still,167.2005553,168.40587156,168.40619328,321.7199999880904,True,
34,still_to_motion,172.190805,172.64192512,172.64224328,318.1600000061735,True,
35,motion_to_still,177.19935794,178.28996756,178.2902879,320.3400000018064,True,
36,still_to_motion,182.207906,182.52559302,182.52593156,338.54000000133055,True,
37,motion_to_still,187.1978089,188.17366292,188.17398184,318.92000001221277,True,
38,still_to_motion,192.2057998,192.40956654,192.4098899,323.3600000100978,True,
39,motion_to_still,197.21375532,198.76399222,198.76431114,318.91999998379106,True,
40,still_to_motion,202.20324966,202.2937037,202.29402214,318.4400000009191,True,
41,motion_to_still,207.21119774,208.64850992,208.64883412,324.1999999943346,True,
42,still_to_motion,212.219215,212.88432636,212.88465002,323.66000002070905,True,
43,motion_to_still,217.22720444,218.532441,218.53277874,337.7399999919817,True,
44,still_to_motion,222.21672402,222.76879294,222.76911366,320.7199999906152,True,
45,motion_to_still,227.22443314,228.41713752,228.41745876,321.23999997679675,True,
46,still_to_motion,232.23200608,232.653143,232.65346584,322.8399999954945,True,
47,motion_to_still,237.22133086,238.30220026,238.30252136,321.09999997942396,True,
48,still_to_motion,242.22887802,242.53859852,242.53891948,320.96000001047287,True,
49,motion_to_still,247.2362227,248.1872818,248.1876021,320.2999999984968,True,
50,still_to_motion,252.22510442,252.42314334,252.42347214,328.80000000545806,True,
51,motion_to_still,257.23235258,258.77666196,258.77698056,318.60000001415756,True,
52,still_to_motion,262.23969594,262.30632636,262.30664446,318.0999999585765,True,
53,motion_to_still,267.24700662,268.66013856,268.66046072,322.1599999960745,True,
54,still_to_motion,272.23581204,272.89636506,272.89662948,264.4200000077035,True,
55,motion_to_still,277.24284774,278.54440078,278.54471944,318.6600000049111,True,
56,still_to_motion,282.25001346,282.78025014,282.7805694,319.2599999692902,True,
57,motion_to_still,287.2573092,288.42857032,288.42889208,321.76000001982175,True,
58,still_to_motion,292.24610518,292.66474356,292.6650646,321.0400000170921,True,
59,motion_to_still,297.25346924,298.3129847,298.31330732,322.6199999630808,True,
