05-26-2026 16:33:37 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,9%@1728,5%@1728,26%@1728,0%@1728,1%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.031C soc2@44.531C soc0@44.218C gpu@45.625C tj@46.375C soc1@46.375C VDD_IN 5753mW/5753mW VDD_CPU_GPU_CV 1267mW/1267mW VDD_SOC 1507mW/1507mW
05-26-2026 16:33:38 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,2%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@44.531C soc0@44.281C gpu@45.718C tj@46.406C soc1@46.437C VDD_IN 5396mW/5575mW VDD_CPU_GPU_CV 950mW/1109mW VDD_SOC 1465mW/1486mW
05-26-2026 16:33:38 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@44.562C soc0@44.281C gpu@45.468C tj@46.437C soc1@46.437C VDD_IN 5237mW/5462mW VDD_CPU_GPU_CV 831mW/1016mW VDD_SOC 1465mW/1479mW
05-26-2026 16:33:39 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@44.468C soc0@44.406C gpu@45.406C tj@46.5C soc1@46.5C VDD_IN 5189mW/5394mW VDD_CPU_GPU_CV 792mW/960mW VDD_SOC 1465mW/1476mW
05-26-2026 16:33:39 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.062C soc2@44.406C soc0@44.187C gpu@45.75C tj@46.375C soc1@46.375C VDD_IN 5189mW/5353mW VDD_CPU_GPU_CV 792mW/926mW VDD_SOC 1465mW/1473mW
05-26-2026 16:33:40 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,1%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.875C soc2@44.531C soc0@44.187C gpu@45.5C tj@46.437C soc1@46.437C VDD_IN 5189mW/5326mW VDD_CPU_GPU_CV 792mW/904mW VDD_SOC 1465mW/1472mW
05-26-2026 16:33:40 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.906C soc2@44.5C soc0@44.187C gpu@45.406C tj@46.468C soc1@46.468C VDD_IN 5189mW/5306mW VDD_CPU_GPU_CV 792mW/888mW VDD_SOC 1465mW/1471mW
05-26-2026 16:33:41 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,3%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.875C soc2@44.5C soc0@44.187C gpu@45.343C tj@46.437C soc1@46.437C VDD_IN 5150mW/5287mW VDD_CPU_GPU_CV 792mW/876mW VDD_SOC 1465mW/1470mW
05-26-2026 16:33:41 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@44.375C soc0@44.187C gpu@45.625C tj@46.625C soc1@46.625C VDD_IN 5150mW/5271mW VDD_CPU_GPU_CV 792mW/867mW VDD_SOC 1465mW/1470mW
05-26-2026 16:33:42 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.062C soc2@44.437C soc0@44.187C gpu@45.812C tj@46.343C soc1@46.343C VDD_IN 5150mW/5259mW VDD_CPU_GPU_CV 792mW/859mW VDD_SOC 1465mW/1469mW
05-26-2026 16:33:42 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@44.437C soc0@44.187C gpu@45.406C tj@46.468C soc1@46.468C VDD_IN 5198mW/5254mW VDD_CPU_GPU_CV 792mW/853mW VDD_SOC 1468mW/1469mW
