trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.62960952,2.98979818,2.99013286,334.6799999999206,True,
1,motion_to_still,7.65024424,8.63754148,8.63788556,344.08000000141215,True,
2,still_to_motion,12.6341675,12.87343772,12.8737833,345.57999999940137,True,
3,motion_to_still,17.65495866,19.22727806,19.22762768,349.62000000149374,True,
4,still_to_motion,22.63911782,22.75688352,22.75722718,343.6600000021883,True,
5,motion_to_still,27.65994298,29.11042634,29.11076822,341.8800000005717,True,
6,still_to_motion,32.64423248,33.34569902,33.34604372,344.69999999942047,True,
7,motion_to_still,37.64681808,38.99288236,38.99322726,344.89999999465226,True,
8,still_to_motion,42.6495418,43.2284032,43.22874256,339.3599999981234,True,
9,motion_to_still,47.65211646,48.87605724,48.8764079,350.65999999517317,True,
10,still_to_motion,52.65468362,53.11140292,53.11174502,342.0999999974583,True,
11,motion_to_still,57.65719026,58.75911142,58.75945188,340.45999999676724,True,
12,still_to_motion,62.65964852,62.99468514,62.9950298,344.65999999611086,True,
13,motion_to_still,67.6623622,68.64248354,68.64275228,268.7399999956597,True,
14,still_to_motion,72.66515156,72.87789068,72.87823254,341.86000000602235,True,
15,motion_to_still,77.66789476,79.23138934,79.23173468,345.3399999955309,True,
16,still_to_motion,82.67075096,82.76053668,82.76088076,344.08000000496486,True,
17,motion_to_still,87.67337962,89.11372694,89.11406208,335.13999999001953,True,
18,still_to_motion,92.67591636,93.34905126,93.3493944,343.1399999982432,True,
19,motion_to_still,97.67862118,98.99603914,98.99638422,345.0800000024401,True,
20,still_to_motion,102.68110242,103.23128746,103.2316327,345.2400000014677,True,
21,motion_to_still,107.68371638,108.8788071,108.87915198,344.8800000001029,True,
22,still_to_motion,112.68589836,113.1140481,113.1143889,340.7999999893718,True,
23,motion_to_still,117.68825732,118.76108876,118.7614261,337.33999998730724,True,
24,still_to_motion,122.69048624,122.99618056,122.99652448,343.92000000593725,True,
25,motion_to_still,127.69271316,128.64364008,128.6439085,268.41999999760446,True,
26,still_to_motion,132.69523832,132.87915404,132.87949208,338.04000000259293,True,
27,motion_to_still,137.69774724,139.23210786,139.23245736,349.4999999986703,True,
28,still_to_motion,142.70021644,142.76141404,142.76175448,340.44000000221786,True,
29,motion_to_still,147.73948574,149.114448,149.1148281,380.10000000099353,True,
30,still_to_motion,152.74194214,153.34960192,153.3499412,339.27999999150416,True,
31,motion_to_still,157.74453986,158.996482,158.9968254,343.4000000197557,True,
32,still_to_motion,162.74727986,163.2322126,163.23256262,350.0200000132736,True,
33,motion_to_still,167.7500288,168.87923144,168.87957932,347.8799999925286,True,
34,still_to_motion,172.7528181,173.1143776,173.1147243,346.69999999437096,True,
35,motion_to_still,177.75561654,178.76130416,178.76165456,350.4000000020824,True,
36,still_to_motion,182.75843084,182.9964246,182.99676662,342.01999997662824,True,
37,motion_to_still,187.77971952,188.64403132,188.64437904,347.71999997929015,True,
38,still_to_motion,192.80111568,192.87983386,192.88017924,345.3799999988405,True,
39,motion_to_still,197.84086236,199.23293388,199.23327854,344.65999999611086,True,
40,still_to_motion,202.86223436,203.46817832,203.46852154,343.22000001907327,True,
41,motion_to_still,207.90174188,209.11502954,209.11538426,354.72000001846027,True,
42,still_to_motion,212.90455222,213.35010786,213.3504487,340.8399999784706,True,
43,motion_to_still,217.9074273,218.99698872,218.99732682,338.1000000217682,True,
44,still_to_motion,222.91021668,223.23186106,223.23221234,351.2799999896288,True,
45,motion_to_still,227.91295402,228.87883248,228.87917874,346.2599999863869,True,
46,still_to_motion,232.9158396,233.1146386,233.11498612,347.5199999911638,True,
47,motion_to_still,237.93700978,239.46724952,239.46760422,354.7000000025946,True,
48,still_to_motion,242.92160552,242.99720096,242.9975463,345.3400000239526,True,
49,motion_to_still,247.96143116,249.35011936,249.35046536,345.99999997908526,True,
50,still_to_motion,253.0013237,253.58617106,253.58651632,345.25999998891166,True,
51,motion_to_still,258.00452288,259.23322426,259.23356488,340.620000031322,True,
52,still_to_motion,263.0077485,263.46820508,263.4685475,342.4199999813027,True,
53,motion_to_still,268.01090128,269.11546552,269.1158111,345.57999998696687,True,
54,still_to_motion,272.99577568,273.3504646,273.35081512,350.5199999835895,True,
55,motion_to_still,277.99890592,278.997374,278.99771688,342.8800000051524,True,
56,still_to_motion,283.00215118,283.23263554,283.2329827,347.15999998979896,True,
57,motion_to_still,288.00558496,289.5858968,289.58623664,339.83999998099534,True,
58,still_to_motion,293.0088573,293.11555852,293.11590574,347.22000003739595,True,
59,motion_to_still,298.04885878,299.46890928,299.46925326,343.98000002511253,True,
