trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.80466532,3.16527158,3.165601,329.41999999991367,True,
1,motion_to_still,7.80620078,8.81299892,8.81365314,654.2199999994835,True,
2,still_to_motion,12.80772838,13.04869152,13.04921664,525.1199999989353,True,
3,motion_to_still,17.80911498,18.69580654,18.69637098,564.4400000015537,True,
4,still_to_motion,22.8105977,22.93072664,22.93125674,530.0999999988676,True,
5,motion_to_still,27.8121946,29.28355904,29.28412642,567.3799999996731,True,
6,still_to_motion,32.81395132,33.51913242,33.51961766,485.24000000327305,True,
7,motion_to_still,37.81559966,39.16600918,39.16662264,613.459999996735,True,
8,still_to_motion,42.81725888,,43.40164806,,False,multiple_d1_in_window
9,motion_to_still,47.81899304,49.0482947,49.04885438,559.6800000020608,True,
10,still_to_motion,52.82080804,53.28319,53.28377592,585.9199999989073,True,
11,motion_to_still,57.82268398,58.9302527,58.93084436,591.6600000048788,True,
12,still_to_motion,62.82455864,63.16592844,63.1665196,591.1599999990358,True,
13,motion_to_still,67.82625396,68.81364596,68.81422748,581.5199999972265,True,
14,still_to_motion,72.82787436,73.04902276,73.0496564,633.6400000037656,True,
15,motion_to_still,77.82933176,78.69643646,78.69696314,526.6799999930072,True,
16,still_to_motion,82.8306648,82.93174908,82.93229516,546.0799999923438,True,
17,motion_to_still,87.83201642,89.28584684,89.28638264,535.7999999944241,True,
18,still_to_motion,92.83308992,93.52144772,93.52201294,565.2199999985896,True,
19,motion_to_still,97.83416094,99.16858894,99.16915398,565.0399999979072,True,
20,still_to_motion,102.83544398,103.40392184,103.4044565,534.659999999576,True,
21,motion_to_still,107.83637324,109.05120738,109.05173694,529.5600000039258,True,
22,still_to_motion,112.83740046,113.2862796,113.28688354,603.9400000048545,True,
23,motion_to_still,117.83836912,118.93311806,118.93371118,593.1200000048875,True,
24,still_to_motion,122.83932116,123.16800974,123.16860118,591.4399999937814,True,
25,motion_to_still,127.84036952,128.81522088,128.81583636,615.4799999933402,True,
26,still_to_motion,132.8413171,133.05010304,133.0505824,479.3599999857179,True,
27,motion_to_still,137.84206182,139.4045428,139.40502914,486.34000000902233,True,
28,still_to_motion,142.84285272,142.93375692,142.93440382,646.8999999924563,True,
29,motion_to_still,147.86194826,149.28664958,149.28723026,580.6800000129897,True,
30,still_to_motion,152.86233708,153.52112374,153.52171044,586.6999999852851,True,
31,motion_to_still,157.8624625,159.16813062,159.16869516,564.5399999991696,True,
32,still_to_motion,162.86273428,163.40324988,163.40387382,623.9399999969919,True,
33,motion_to_still,167.86319252,169.05035252,169.0509516,599.0800000006402,True,
34,still_to_motion,172.86365762,173.28584494,173.28642096,576.0199999826909,True,
35,motion_to_still,177.8641149,178.9329829,178.93355092,568.0199999744673,True,
36,still_to_motion,182.86454482,183.16805442,183.1686725,618.0800000095132,True,
37,motion_to_still,187.8649178,188.8151931,188.8157549,561.8000000140455,True,
38,still_to_motion,192.86524396,193.05078358,193.05133634,552.760000005037,True,
39,motion_to_still,197.86567194,199.40398492,199.40454284,557.9200000056517,True,
40,still_to_motion,202.86615018,202.93348306,202.93405046,567.4000000226442,True,
41,motion_to_still,207.88479632,209.28639138,209.28699936,607.9800000122759,True,
42,still_to_motion,212.8852771,213.52180884,213.52243896,630.1199999825258,True,
43,motion_to_still,217.88605522,219.16887228,219.1695297,657.4200000102337,True,
44,still_to_motion,222.88692642,223.40425628,223.40487974,623.4600000141199,True,
45,motion_to_still,227.88800554,229.05191396,229.05253974,625.7799999787039,True,
46,still_to_motion,232.8890937,233.28709968,233.2876424,542.7199999985532,True,
47,motion_to_still,237.88989378,238.93435104,238.93489178,540.7399999910467,True,
48,still_to_motion,242.8908943,243.16962358,243.17020398,580.3999999898224,True,
49,motion_to_still,247.89198646,248.81655902,248.81715056,591.5399999878446,True,
50,still_to_motion,252.89295866,253.0515534,253.0521823,628.9000000094802,True,
51,motion_to_still,257.89405544,259.4044639,259.40501622,552.319999997053,True,
52,still_to_motion,262.8952834,262.93403482,262.93458796,553.1399999654241,True,
53,motion_to_still,267.89664756,269.28788448,269.28838706,502.5799999884839,True,
54,still_to_motion,272.89793564,273.52298134,273.5235859,604.5599999993101,True,
55,motion_to_still,277.89934924,279.17010636,279.17076342,657.0600000372906,True,
56,still_to_motion,282.90082032,283.4052449,283.40581616,571.259999958329,True,
57,motion_to_still,287.9022436,289.05268392,289.05323802,554.0999999880114,True,
58,still_to_motion,292.90377426,293.28797554,293.28859888,623.3400000041911,True,
59,motion_to_still,297.90536146,298.93558814,298.93623104,642.9000000025553,True,
