05-26-2026 17:21:07 RAM 1634/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,2%@1728,1%@1728,4%@1728,21%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@44.468C soc0@44.125C gpu@45.375C tj@46.437C soc1@46.437C VDD_IN 5594mW/5594mW VDD_CPU_GPU_CV 1148mW/1148mW VDD_SOC 1507mW/1507mW
05-26-2026 17:21:08 RAM 1634/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,3%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@44.375C soc0@44.125C gpu@45.531C tj@46.5C soc1@46.5C VDD_IN 5317mW/5456mW VDD_CPU_GPU_CV 911mW/1030mW VDD_SOC 1468mW/1488mW
05-26-2026 17:21:08 RAM 1634/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@44.375C soc0@44.281C gpu@45.75C tj@46.437C soc1@46.437C VDD_IN 5198mW/5370mW VDD_CPU_GPU_CV 831mW/963mW VDD_SOC 1468mW/1481mW
05-26-2026 17:21:09 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [7%@1728,11%@1728,6%@1728,6%@1728,28%@1728,11%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.437C soc2@44.531C soc0@44.093C gpu@45.5C tj@46.468C soc1@46.468C VDD_IN 5753mW/5466mW VDD_CPU_GPU_CV 1228mW/1030mW VDD_SOC 1507mW/1488mW
05-26-2026 17:21:09 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1728,18%@1728,18%@1728,12%@1728,42%@1728,32%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.437C soc2@44.5C soc0@44.062C gpu@45.468C tj@46.437C soc1@46.312C VDD_IN 6229mW/5618mW VDD_CPU_GPU_CV 1663mW/1156mW VDD_SOC 1507mW/1491mW
05-26-2026 17:21:10 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@1728,24%@1728,28%@1728,28%@1728,35%@1728,13%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.125C soc2@44.5C soc0@44.187C gpu@45.562C tj@46.312C soc1@46.312C VDD_IN 6150mW/5707mW VDD_CPU_GPU_CV 1584mW/1228mW VDD_SOC 1507mW/1494mW
05-26-2026 17:21:10 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.75C soc2@44.468C soc0@44.218C gpu@45.468C tj@46.343C soc1@46.312C VDD_IN 5475mW/5674mW VDD_CPU_GPU_CV 1030mW/1199mW VDD_SOC 1468mW/1490mW
05-26-2026 17:21:11 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [5%@1728,0%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.781C soc2@44.437C soc0@44.218C gpu@45.5C tj@46.406C soc1@46.406C VDD_IN 5277mW/5624mW VDD_CPU_GPU_CV 871mW/1158mW VDD_SOC 1468mW/1488mW
05-26-2026 17:21:11 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.718C soc2@44.468C soc0@44.187C gpu@45.625C tj@46.343C soc1@46.343C VDD_IN 5198mW/5577mW VDD_CPU_GPU_CV 831mW/1122mW VDD_SOC 1468mW/1485mW
05-26-2026 17:21:12 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,1%@1728,0%@1728,1%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.812C soc2@44.343C soc0@44.25C gpu@45.5C tj@46.343C soc1@46.343C VDD_IN 5189mW/5538mW VDD_CPU_GPU_CV 792mW/1089mW VDD_SOC 1465mW/1483mW
05-26-2026 17:21:12 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,3%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.843C soc2@44.375C soc0@44.218C gpu@45.562C tj@46.343C soc1@46.343C VDD_IN 5198mW/5507mW VDD_CPU_GPU_CV 792mW/1062mW VDD_SOC 1468mW/1482mW
05-26-2026 17:21:13 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,2%@1728,3%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.968C soc2@44.375C soc0@44.375C gpu@45.687C tj@46.468C soc1@46.468C VDD_IN 5237mW/5485mW VDD_CPU_GPU_CV 831mW/1043mW VDD_SOC 1468mW/1481mW
05-26-2026 17:21:13 RAM 1632/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@1728,17%@1728,18%@1728,26%@1728,7%@1728,26%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@44.593C soc0@44.156C gpu@45.531C tj@46.437C soc1@46.437C VDD_IN 5872mW/5514mW VDD_CPU_GPU_CV 1346mW/1066mW VDD_SOC 1507mW/1483mW
05-26-2026 17:21:14 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [31%@1728,20%@1728,16%@1728,22%@1728,7%@1728,11%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.312C soc2@44.656C soc0@44.156C gpu@45.687C tj@46.531C soc1@46.531C VDD_IN 6031mW/5551mW VDD_CPU_GPU_CV 1505mW/1097mW VDD_SOC 1507mW/1484mW
05-26-2026 17:21:14 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [42%@1728,36%@1728,58%@1728,46%@1728,25%@1728,22%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.093C soc2@44.812C soc0@44.218C gpu@45.843C tj@47.093C soc1@46.343C VDD_IN 6785mW/5634mW VDD_CPU_GPU_CV 2139mW/1167mW VDD_SOC 1547mW/1489mW
05-26-2026 17:21:15 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.437C soc2@45.031C soc0@44.281C gpu@45.687C tj@47.437C soc1@46.562C VDD_IN 8147mW/5791mW VDD_CPU_GPU_CV 3571mW/1317mW VDD_SOC 1510mW/1490mW
05-26-2026 17:21:15 RAM 1651/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@45.156C soc0@44.437C gpu@46.187C tj@47.593C soc1@46.625C VDD_IN 8505mW/5950mW VDD_CPU_GPU_CV 4007mW/1475mW VDD_SOC 1470mW/1489mW
05-26-2026 17:21:16 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [98%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@45.312C soc0@44.468C gpu@45.937C tj@47.656C soc1@46.687C VDD_IN 8678mW/6102mW VDD_CPU_GPU_CV 4087mW/1620mW VDD_SOC 1512mW/1490mW
05-26-2026 17:21:16 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@45.343C soc0@44.593C gpu@46.218C tj@47.812C soc1@46.812C VDD_IN 8678mW/6237mW VDD_CPU_GPU_CV 4166mW/1754mW VDD_SOC 1472mW/1489mW
05-26-2026 17:21:17 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@45.5C soc0@44.531C gpu@46C tj@47.906C soc1@47C VDD_IN 8664mW/6359mW VDD_CPU_GPU_CV 4166mW/1875mW VDD_SOC 1470mW/1488mW
05-26-2026 17:21:17 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@45.406C soc0@44.5C gpu@46.343C tj@48.031C soc1@46.812C VDD_IN 8678mW/6469mW VDD_CPU_GPU_CV 4166mW/1984mW VDD_SOC 1472mW/1487mW
05-26-2026 17:21:18 RAM 1653/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@45.437C soc0@44.656C gpu@46.5C tj@48.031C soc1@46.906C VDD_IN 8664mW/6569mW VDD_CPU_GPU_CV 4166mW/2083mW VDD_SOC 1470mW/1487mW
05-26-2026 17:21:18 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,98%@1728,98%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@45.468C soc0@44.625C gpu@46.343C tj@47.875C soc1@46.875C VDD_IN 8743mW/6663mW VDD_CPU_GPU_CV 4126mW/2172mW VDD_SOC 1510mW/1488mW
05-26-2026 17:21:19 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@45.593C soc0@44.687C gpu@46.312C tj@47.906C soc1@46.906C VDD_IN 8703mW/6748mW VDD_CPU_GPU_CV 4166mW/2255mW VDD_SOC 1470mW/1487mW
05-26-2026 17:21:19 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@45.625C soc0@44.781C gpu@46.437C tj@48C soc1@47.062C VDD_IN 8664mW/6825mW VDD_CPU_GPU_CV 4166mW/2332mW VDD_SOC 1470mW/1486mW
05-26-2026 17:21:20 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@45.75C soc0@44.875C gpu@46.375C tj@48.281C soc1@47.187C VDD_IN 8678mW/6896mW VDD_CPU_GPU_CV 4166mW/2402mW VDD_SOC 1470mW/1486mW
05-26-2026 17:21:20 RAM 1655/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@45.812C soc0@44.687C gpu@46.5C tj@48.093C soc1@47.187C VDD_IN 8678mW/6962mW VDD_CPU_GPU_CV 4166mW/2467mW VDD_SOC 1472mW/1485mW
