05-26-2026 17:42:07 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,26%@1728,3%@1728,1%@1728,7%@1728,12%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.437C soc2@45.062C soc0@44.781C gpu@46.031C tj@47C soc1@47C VDD_IN 5704mW/5704mW VDD_CPU_GPU_CV 1228mW/1228mW VDD_SOC 1507mW/1507mW
05-26-2026 17:42:08 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.468C soc2@45.062C soc0@44.875C gpu@46.062C tj@46.937C soc1@46.937C VDD_IN 5387mW/5546mW VDD_CPU_GPU_CV 950mW/1089mW VDD_SOC 1465mW/1486mW
05-26-2026 17:42:08 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.468C soc2@44.843C soc0@44.687C gpu@45.875C tj@47.062C soc1@47.062C VDD_IN 5229mW/5440mW VDD_CPU_GPU_CV 831mW/1003mW VDD_SOC 1465mW/1479mW
05-26-2026 17:42:09 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@44.875C soc0@44.625C gpu@45.843C tj@46.812C soc1@46.812C VDD_IN 5189mW/5377mW VDD_CPU_GPU_CV 792mW/950mW VDD_SOC 1465mW/1476mW
05-26-2026 17:42:09 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.312C soc2@44.937C soc0@44.656C gpu@45.875C tj@46.906C soc1@46.906C VDD_IN 5150mW/5332mW VDD_CPU_GPU_CV 792mW/919mW VDD_SOC 1465mW/1473mW
05-26-2026 17:42:10 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@44.968C soc0@44.718C gpu@46.218C tj@46.812C soc1@46.812C VDD_IN 5150mW/5302mW VDD_CPU_GPU_CV 792mW/898mW VDD_SOC 1465mW/1472mW
05-26-2026 17:42:10 RAM 1632/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@44.906C soc0@44.718C gpu@45.843C tj@46.906C soc1@46.906C VDD_IN 5150mW/5280mW VDD_CPU_GPU_CV 752mW/877mW VDD_SOC 1465mW/1471mW
05-26-2026 17:42:11 RAM 1634/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,10%@1728,10%@1728,14%@1728,29%@1728,15%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@44.968C soc0@44.687C gpu@46.093C tj@46.906C soc1@46.906C VDD_IN 5753mW/5339mW VDD_CPU_GPU_CV 1228mW/921mW VDD_SOC 1507mW/1476mW
05-26-2026 17:42:11 RAM 1634/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@1728,12%@1728,22%@1728,25%@1728,15%@1728,26%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47C soc2@45.062C soc0@44.812C gpu@45.937C tj@47C soc1@46.875C VDD_IN 6071mW/5420mW VDD_CPU_GPU_CV 1505mW/986mW VDD_SOC 1507mW/1479mW
05-26-2026 17:42:12 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1728,18%@1728,12%@1728,28%@1728,9%@1728,3%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.593C soc2@45.125C soc0@44.687C gpu@46.218C tj@46.968C soc1@46.968C VDD_IN 5991mW/5477mW VDD_CPU_GPU_CV 1465mW/1034mW VDD_SOC 1507mW/1482mW
05-26-2026 17:42:12 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [17%@1728,12%@1728,14%@1728,12%@1728,22%@1728,54%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.875C soc2@45.125C soc0@44.625C gpu@45.968C tj@47.031C soc1@47.031C VDD_IN 6229mW/5546mW VDD_CPU_GPU_CV 1663mW/1091mW VDD_SOC 1507mW/1484mW
