# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779844115586105,START,307
1779844115786874,MOTION_PHASE_START,0
1779844115786925,TO_MAX,511
1779844116787875,TO_MIN,102
1779844117788803,TO_MAX,511
1779844118789717,TO_MIN,102
1779844119790488,TO_MAX,511
1779844120791234,STILL_PHASE_START,307
1779844125791976,MOTION_PHASE_START,0
1779844125792018,TO_MAX,511
1779844126792711,TO_MIN,102
1779844127793451,TO_MAX,511
1779844128794179,TO_MIN,102
1779844129794906,TO_MAX,511
1779844130795632,STILL_PHASE_START,307
1779844135796350,MOTION_PHASE_START,0
1779844135796393,TO_MAX,511
1779844136797094,TO_MIN,102
1779844137797837,TO_MAX,511
1779844138798567,TO_MIN,102
1779844139799284,TO_MAX,511
1779844140800011,STILL_PHASE_START,307
1779844145800738,MOTION_PHASE_START,0
1779844145800778,TO_MAX,511
1779844146801469,TO_MIN,102
1779844147802181,TO_MAX,511
1779844148802904,TO_MIN,102
1779844149803617,TO_MAX,511
1779844150804353,STILL_PHASE_START,307
1779844155805093,MOTION_PHASE_START,0
1779844155805141,TO_MAX,511
1779844156805841,TO_MIN,102
1779844157806558,TO_MAX,511
1779844158807269,TO_MIN,102
1779844159807975,TO_MAX,511
1779844160808691,STILL_PHASE_START,307
1779844165809418,MOTION_PHASE_START,0
1779844165809464,TO_MAX,511
1779844166810158,TO_MIN,102
1779844167810886,TO_MAX,511
1779844168811607,TO_MIN,102
1779844169812350,TO_MAX,511
1779844170813073,STILL_PHASE_START,307
1779844175813798,MOTION_PHASE_START,0
1779844175813835,TO_MAX,511
1779844176814537,TO_MIN,102
1779844177815268,TO_MAX,511
1779844178815983,TO_MIN,102
1779844179816702,TO_MAX,511
1779844180817429,STILL_PHASE_START,307
1779844185818146,MOTION_PHASE_START,0
1779844185818199,TO_MAX,511
1779844186818891,TO_MIN,102
1779844187819607,TO_MAX,511
1779844188820316,TO_MIN,102
1779844189821031,TO_MAX,511
1779844190821739,STILL_PHASE_START,307
1779844195822454,MOTION_PHASE_START,0
1779844195822489,TO_MAX,511
1779844196823183,TO_MIN,102
1779844197823896,TO_MAX,511
1779844198824614,TO_MIN,102
1779844199825331,TO_MAX,511
1779844200826071,STILL_PHASE_START,307
1779844205826790,MOTION_PHASE_START,0
1779844205826827,TO_MAX,511
1779844206827518,TO_MIN,102
1779844207828225,TO_MAX,511
1779844208828929,TO_MIN,102
1779844209829645,TO_MAX,511
1779844210830364,STILL_PHASE_START,307
1779844215831086,MOTION_PHASE_START,0
1779844215831132,TO_MAX,511
1779844216831822,TO_MIN,102
1779844217832549,TO_MAX,511
1779844218833265,TO_MIN,102
1779844219833972,TO_MAX,511
1779844220834680,STILL_PHASE_START,307
1779844225835407,MOTION_PHASE_START,0
1779844225835449,TO_MAX,511
1779844226836133,TO_MIN,102
1779844227836853,TO_MAX,511
1779844228837565,TO_MIN,102
1779844229838281,TO_MAX,511
1779844230838992,STILL_PHASE_START,307
1779844235839720,MOTION_PHASE_START,0
1779844235839759,TO_MAX,511
1779844236840456,TO_MIN,102
1779844237841174,TO_MAX,511
1779844238841890,TO_MIN,102
1779844239843130,TO_MAX,511
1779844240843860,STILL_PHASE_START,307
1779844245844574,MOTION_PHASE_START,0
1779844245844618,TO_MAX,511
1779844246845320,TO_MIN,102
1779844247846044,TO_MAX,511
1779844248846770,TO_MIN,102
1779844249847490,TO_MAX,511
1779844250848207,STILL_PHASE_START,307
1779844255848939,MOTION_PHASE_START,0
1779844255848987,TO_MAX,511
1779844256849691,TO_MIN,102
1779844257850424,TO_MAX,511
1779844258851144,TO_MIN,102
1779844259851863,TO_MAX,511
1779844260852580,STILL_PHASE_START,307
1779844265853310,MOTION_PHASE_START,0
1779844265853349,TO_MAX,511
1779844266854060,TO_MIN,102
1779844267854767,TO_MAX,511
1779844268855479,TO_MIN,102
1779844269856222,TO_MAX,511
1779844270856980,STILL_PHASE_START,307
1779844275857716,MOTION_PHASE_START,0
1779844275857761,TO_MAX,511
1779844276858460,TO_MIN,102
1779844277859183,TO_MAX,511
1779844278859893,TO_MIN,102
1779844279860601,TO_MAX,511
1779844280861313,STILL_PHASE_START,307
1779844285862027,MOTION_PHASE_START,0
1779844285862056,TO_MAX,511
1779844286862751,TO_MIN,102
1779844287863676,TO_MAX,511
1779844288864405,TO_MIN,102
1779844289865113,TO_MAX,511
1779844290874568,STILL_PHASE_START,307
1779844295875288,MOTION_PHASE_START,0
1779844295875331,TO_MAX,511
1779844296876220,TO_MIN,102
1779844297876943,TO_MAX,511
1779844298877874,TO_MIN,102
1779844299878614,TO_MAX,511
1779844300879345,STILL_PHASE_START,307
1779844305880266,MOTION_PHASE_START,0
1779844305880310,TO_MAX,511
1779844306881016,TO_MIN,102
1779844307881732,TO_MAX,511
1779844308882455,TO_MIN,102
1779844309883168,TO_MAX,511
1779844310883880,STILL_PHASE_START,307
1779844315884609,MOTION_PHASE_START,0
1779844315884643,TO_MAX,511
1779844316885341,TO_MIN,102
1779844317886052,TO_MAX,511
1779844318886763,TO_MIN,102
1779844319887489,TO_MAX,511
1779844320888244,STILL_PHASE_START,307
1779844325888985,MOTION_PHASE_START,0
1779844325889033,TO_MAX,511
1779844326889737,TO_MIN,102
1779844327890669,TO_MAX,511
1779844328891391,TO_MIN,102
1779844329892124,TO_MAX,511
1779844330892888,STILL_PHASE_START,307
1779844335893623,MOTION_PHASE_START,0
1779844335893658,TO_MAX,511
1779844336894349,TO_MIN,102
1779844337895056,TO_MAX,511
1779844338895763,TO_MIN,102
1779844339896473,TO_MAX,511
1779844340897177,STILL_PHASE_START,307
1779844345897896,MOTION_PHASE_START,0
1779844345897936,TO_MAX,511
1779844346898630,TO_MIN,102
1779844347899353,TO_MAX,511
1779844348900079,TO_MIN,102
1779844349900800,TO_MAX,511
1779844350901517,STILL_PHASE_START,307
1779844355902236,MOTION_PHASE_START,0
1779844355902280,TO_MAX,511
1779844356902990,TO_MIN,102
1779844357903704,TO_MAX,511
1779844358904418,TO_MIN,102
1779844359905130,TO_MAX,511
1779844360905850,STILL_PHASE_START,307
1779844365906575,MOTION_PHASE_START,0
1779844365906610,TO_MAX,511
1779844366907301,TO_MIN,102
1779844367908014,TO_MAX,511
1779844368908722,TO_MIN,102
1779844369909440,TO_MAX,511
1779844370910162,STILL_PHASE_START,307
1779844375910870,MOTION_PHASE_START,0
1779844375910910,TO_MAX,511
1779844376911605,TO_MIN,102
1779844377912320,TO_MAX,511
1779844378913053,TO_MIN,102
1779844379913776,TO_MAX,511
1779844380914501,STILL_PHASE_START,307
1779844385915220,MOTION_PHASE_START,0
1779844385915258,TO_MAX,511
1779844386915950,TO_MIN,102
1779844387916664,TO_MAX,511
1779844388917382,TO_MIN,102
1779844389918102,TO_MAX,511
1779844390918844,STILL_PHASE_START,307
1779844395919579,MOTION_PHASE_START,0
1779844395922374,TO_MAX,511
1779844396923072,TO_MIN,102
1779844397923776,TO_MAX,511
1779844398924489,TO_MIN,102
1779844399925208,TO_MAX,511
1779844400925947,STILL_PHASE_START,307
1779844405926682,MOTION_PHASE_START,0
1779844405926910,TO_MAX,511
1779844406927604,TO_MIN,102
1779844407928320,TO_MAX,511
1779844408929057,TO_MIN,102
1779844409929777,TO_MAX,511
1779844410930491,STILL_PHASE_START,307
1779844415931215,END,307
