# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779845065581773,START,307
1779845065782544,MOTION_PHASE_START,0
1779845065782587,TO_MAX,511
1779845066783282,TO_MIN,102
1779845067784003,TO_MAX,511
1779845068784715,TO_MIN,102
1779845069785438,TO_MAX,511
1779845070786183,STILL_PHASE_START,307
1779845075786916,MOTION_PHASE_START,0
1779845075786954,TO_MAX,511
1779845076787646,TO_MIN,102
1779845077788384,TO_MAX,511
1779845078789106,TO_MIN,102
1779845079789831,TO_MAX,511
1779845080790551,STILL_PHASE_START,307
1779845085791274,MOTION_PHASE_START,0
1779845085791307,TO_MAX,511
1779845086791997,TO_MIN,102
1779845087792716,TO_MAX,511
1779845088793437,TO_MIN,102
1779845089794148,TO_MAX,511
1779845090794857,STILL_PHASE_START,307
1779845095795568,MOTION_PHASE_START,0
1779845095795610,TO_MAX,511
1779845096796299,TO_MIN,102
1779845097797020,TO_MAX,511
1779845098797733,TO_MIN,102
1779845099798441,TO_MAX,511
1779845100799146,STILL_PHASE_START,307
1779845105799856,MOTION_PHASE_START,0
1779845105799901,TO_MAX,511
1779845106800592,TO_MIN,102
1779845107801318,TO_MAX,511
1779845108802044,TO_MIN,102
1779845109802769,TO_MAX,511
1779845110803497,STILL_PHASE_START,307
1779845115804230,MOTION_PHASE_START,0
1779845115804274,TO_MAX,511
1779845116804965,TO_MIN,102
1779845117805671,TO_MAX,511
1779845118806378,TO_MIN,102
1779845119807086,TO_MAX,511
1779845120807798,STILL_PHASE_START,307
1779845125808518,MOTION_PHASE_START,0
1779845125808555,TO_MAX,511
1779845126809247,TO_MIN,102
1779845127809952,TO_MAX,511
1779845128810669,TO_MIN,102
1779845129811400,TO_MAX,511
1779845130812127,STILL_PHASE_START,307
1779845135812851,MOTION_PHASE_START,0
1779845135812893,TO_MAX,511
1779845136813591,TO_MIN,102
1779845137814316,TO_MAX,511
1779845138815087,TO_MIN,102
1779845139815813,TO_MAX,511
1779845140816533,STILL_PHASE_START,307
1779845145817255,MOTION_PHASE_START,0
1779845145817290,TO_MAX,511
1779845146817982,TO_MIN,102
1779845147818696,TO_MAX,511
