# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779847286403310,START,307
1779847286604064,MOTION_PHASE_START,0
1779847286604117,TO_MAX,511
1779847287604840,TO_MIN,102
1779847288605574,TO_MAX,511
1779847289606303,TO_MIN,102
1779847290607402,TO_MAX,511
1779847291608162,STILL_PHASE_START,307
1779847296610301,MOTION_PHASE_START,0
1779847296614026,TO_MAX,511
1779847297614749,TO_MIN,102
1779847298615495,TO_MAX,511
1779847299616255,TO_MIN,102
1779847300616997,TO_MAX,511
1779847301617747,STILL_PHASE_START,307
1779847306621878,MOTION_PHASE_START,0
1779847306653101,TO_MAX,511
1779847307653813,TO_MIN,102
1779847308654572,TO_MAX,511
1779847309655311,TO_MIN,102
1779847310656037,TO_MAX,511
1779847311656776,STILL_PHASE_START,307
1779847316688877,MOTION_PHASE_START,0
1779847316720303,TO_MAX,511
1779847317721029,TO_MIN,102
1779847318721775,TO_MAX,511
1779847319722520,TO_MIN,102
1779847320723265,TO_MAX,511
1779847321724012,STILL_PHASE_START,307
1779847326756156,MOTION_PHASE_START,0
1779847326787065,TO_MAX,511
1779847327787783,TO_MIN,102
1779847328788523,TO_MAX,511
1779847329789271,TO_MIN,102
1779847330790013,TO_MAX,511
1779847331790761,STILL_PHASE_START,307
1779847336822663,MOTION_PHASE_START,0
1779847336854084,TO_MAX,511
1779847337854796,TO_MIN,102
1779847338855530,TO_MAX,511
1779847339856263,TO_MIN,102
1779847340856998,TO_MAX,511
1779847341857734,STILL_PHASE_START,307
1779847346889834,MOTION_PHASE_START,0
1779847346921107,TO_MAX,511
1779847347921820,TO_MIN,102
1779847348922559,TO_MAX,511
1779847349923312,TO_MIN,102
1779847350924055,TO_MAX,511
1779847351924798,STILL_PHASE_START,307
1779847356956952,MOTION_PHASE_START,0
1779847356988476,TO_MAX,511
1779847357989207,TO_MIN,102
1779847358989950,TO_MAX,511
1779847359990703,TO_MIN,102
1779847360991445,TO_MAX,511
1779847361992193,STILL_PHASE_START,307
1779847366993171,MOTION_PHASE_START,0
1779847367024377,TO_MAX,511
1779847368025092,TO_MIN,102
1779847369025854,TO_MAX,511
1779847370026598,TO_MIN,102
1779847371027341,TO_MAX,511
1779847372028088,STILL_PHASE_START,307
1779847377060080,MOTION_PHASE_START,0
1779847377071980,TO_MAX,511
1779847378072685,TO_MIN,102
1779847379073434,TO_MAX,511
1779847380074182,TO_MIN,102
1779847381074954,TO_MAX,511
1779847382075710,STILL_PHASE_START,307
1779847387107736,MOTION_PHASE_START,0
1779847387139052,TO_MAX,511
1779847388139811,TO_MIN,102
1779847389140553,TO_MAX,511
1779847390141296,TO_MIN,102
1779847391142045,TO_MAX,511
1779847392142797,STILL_PHASE_START,307
1779847397174920,MOTION_PHASE_START,0
1779847397178308,TO_MAX,511
1779847398179018,TO_MIN,102
1779847399179772,TO_MAX,511
1779847400180511,TO_MIN,102
1779847401181250,TO_MAX,511
1779847402181985,STILL_PHASE_START,307
1779847407186195,MOTION_PHASE_START,0
1779847407189614,TO_MAX,511
1779847408190548,TO_MIN,102
1779847409191284,TO_MAX,511
1779847410192023,TO_MIN,102
1779847411192771,TO_MAX,511
1779847412193520,STILL_PHASE_START,307
1779847417225455,MOTION_PHASE_START,0
1779847417256514,TO_MAX,511
1779847418257231,TO_MIN,102
1779847419257977,TO_MAX,511
1779847420258723,TO_MIN,102
1779847421259474,TO_MAX,511
1779847422260227,STILL_PHASE_START,307
1779847427292059,MOTION_PHASE_START,0
1779847427292128,TO_MAX,511
1779847428292828,TO_MIN,102
1779847429293578,TO_MAX,511
1779847430294319,TO_MIN,102
1779847431295065,TO_MAX,511
1779847432295804,STILL_PHASE_START,307
1779847437296547,MOTION_PHASE_START,0
1779847437296607,TO_MAX,511
1779847438297313,TO_MIN,102
1779847439298064,TO_MAX,511
1779847440298812,TO_MIN,102
1779847441299563,TO_MAX,511
1779847442303879,STILL_PHASE_START,307
1779847447304666,MOTION_PHASE_START,0
1779847447304732,TO_MAX,511
1779847448305478,TO_MIN,102
1779847449306239,TO_MAX,511
1779847450306988,TO_MIN,102
1779847451307725,TO_MAX,511
1779847452308467,STILL_PHASE_START,307
1779847457309209,MOTION_PHASE_START,0
1779847457309257,TO_MAX,511
1779847458309955,TO_MIN,102
1779847459310740,TO_MAX,511
1779847460311495,TO_MIN,102
1779847461312239,TO_MAX,511
1779847462312986,STILL_PHASE_START,307
1779847467313779,MOTION_PHASE_START,0
1779847467313843,TO_MAX,511
1779847468314546,TO_MIN,102
1779847469315303,TO_MAX,511
1779847470316062,TO_MIN,102
1779847471316815,TO_MAX,511
1779847472317564,STILL_PHASE_START,307
1779847477318320,MOTION_PHASE_START,0
1779847477318375,TO_MAX,511
1779847478319079,TO_MIN,102
1779847479319827,TO_MAX,511
1779847480320573,TO_MIN,102
1779847481321312,TO_MAX,511
1779847482322059,STILL_PHASE_START,307
1779847487322817,MOTION_PHASE_START,0
1779847487322879,TO_MAX,511
1779847488323580,TO_MIN,102
1779847489324342,TO_MAX,511
1779847490325095,TO_MIN,102
1779847491325837,TO_MAX,511
1779847492326584,STILL_PHASE_START,307
1779847497327335,MOTION_PHASE_START,0
1779847497327392,TO_MAX,511
1779847498328100,TO_MIN,102
1779847499328836,TO_MAX,511
1779847500329643,TO_MIN,102
1779847501330386,TO_MAX,511
1779847502331114,STILL_PHASE_START,307
1779847507331840,MOTION_PHASE_START,0
1779847507331902,TO_MAX,511
1779847508332627,TO_MIN,102
1779847509333374,TO_MAX,511
1779847510334178,TO_MIN,102
1779847511334945,TO_MAX,511
1779847512335700,STILL_PHASE_START,307
1779847517336446,MOTION_PHASE_START,0
1779847517336517,TO_MAX,511
1779847518337222,TO_MIN,102
1779847519337965,TO_MAX,511
1779847520338712,TO_MIN,102
1779847521339456,TO_MAX,511
1779847522340207,STILL_PHASE_START,307
1779847527340946,MOTION_PHASE_START,0
1779847527341004,TO_MAX,511
1779847528341705,TO_MIN,102
1779847529342457,TO_MAX,511
1779847530343202,TO_MIN,102
1779847531343949,TO_MAX,511
1779847532344692,STILL_PHASE_START,307
1779847537345598,MOTION_PHASE_START,0
1779847537345651,TO_MAX,511
1779847538346352,TO_MIN,102
1779847539347110,TO_MAX,511
1779847540347853,TO_MIN,102
1779847541348582,TO_MAX,511
1779847542349333,STILL_PHASE_START,307
1779847547350074,MOTION_PHASE_START,0
1779847547350128,TO_MAX,511
1779847548350832,TO_MIN,102
1779847549351573,TO_MAX,511
1779847550352375,TO_MIN,102
1779847551353117,TO_MAX,511
1779847552353861,STILL_PHASE_START,307
1779847557354633,MOTION_PHASE_START,0
1779847557354974,TO_MAX,511
1779847558355686,TO_MIN,102
1779847559356440,TO_MAX,511
1779847560357201,TO_MIN,102
1779847561357943,TO_MAX,511
1779847562358691,STILL_PHASE_START,307
1779847567359435,MOTION_PHASE_START,0
1779847567359492,TO_MAX,511
1779847568360194,TO_MIN,102
1779847569360915,TO_MAX,511
1779847570361672,TO_MIN,102
1779847571362425,TO_MAX,511
1779847572363172,STILL_PHASE_START,307
1779847577363917,MOTION_PHASE_START,0
1779847577363976,TO_MAX,511
1779847578364678,TO_MIN,102
1779847579365416,TO_MAX,511
1779847580366157,TO_MIN,102
1779847581366900,TO_MAX,511
1779847582367641,STILL_PHASE_START,307
1779847587372203,END,307
