# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1779847921325433,START,307
1779847921526200,MOTION_PHASE_START,0
1779847921526253,TO_MAX,511
1779847922526968,TO_MIN,102
1779847923527905,TO_MAX,511
1779847924528821,TO_MIN,102
1779847925529605,TO_MAX,511
1779847926530334,STILL_PHASE_START,307
1779847931531066,MOTION_PHASE_START,0
1779847931531103,TO_MAX,511
1779847932531807,TO_MIN,102
1779847933532548,TO_MAX,511
1779847934533265,TO_MIN,102
1779847935533987,TO_MAX,511
1779847936534711,STILL_PHASE_START,307
1779847941535435,MOTION_PHASE_START,0
1779847941535465,TO_MAX,511
1779847942536158,TO_MIN,102
1779847943536859,TO_MAX,511
1779847944537558,TO_MIN,102
1779847945538277,TO_MAX,511
1779847946539000,STILL_PHASE_START,307
1779847951539727,MOTION_PHASE_START,0
1779847951539825,TO_MAX,511
1779847952540519,TO_MIN,102
1779847953541237,TO_MAX,511
1779847954541952,TO_MIN,102
1779847955542667,TO_MAX,511
1779847956543381,STILL_PHASE_START,307
1779847961544112,MOTION_PHASE_START,0
1779847961544153,TO_MAX,511
1779847962544854,TO_MIN,102
1779847963545575,TO_MAX,511
1779847964546299,TO_MIN,102
1779847965547016,TO_MAX,511
1779847966547731,STILL_PHASE_START,307
1779847971548449,MOTION_PHASE_START,0
1779847971548488,TO_MAX,511
1779847972549182,TO_MIN,102
1779847973549897,TO_MAX,511
1779847974550612,TO_MIN,102
1779847975551327,TO_MAX,511
1779847976552044,STILL_PHASE_START,307
1779847981552759,MOTION_PHASE_START,0
1779847981552799,TO_MAX,511
1779847982553497,TO_MIN,102
1779847983554219,TO_MAX,511
1779847984554949,TO_MIN,102
1779847985555668,TO_MAX,511
1779847986556348,STILL_PHASE_START,307
1779847991557074,MOTION_PHASE_START,0
1779847991557115,TO_MAX,511
1779847992557818,TO_MIN,102
1779847993558538,TO_MAX,511
1779847994559255,TO_MIN,102
1779847995559976,TO_MAX,511
1779847996560693,STILL_PHASE_START,307
1779848001561414,MOTION_PHASE_START,0
1779848001561453,TO_MAX,511
1779848002562154,TO_MIN,102
1779848003562884,TO_MAX,511
1779848004563602,TO_MIN,102
1779848005564327,TO_MAX,511
1779848006565060,STILL_PHASE_START,307
1779848011565785,MOTION_PHASE_START,0
1779848011565825,TO_MAX,511
1779848012566529,TO_MIN,102
1779848013567248,TO_MAX,511
1779848014567963,TO_MIN,102
1779848015568675,TO_MAX,511
1779848016569392,STILL_PHASE_START,307
1779848021570108,MOTION_PHASE_START,0
1779848021570176,TO_MAX,511
1779848022570868,TO_MIN,102
1779848023571574,TO_MAX,511
1779848024572285,TO_MIN,102
1779848025573008,TO_MAX,511
1779848026573730,STILL_PHASE_START,307
1779848031574449,MOTION_PHASE_START,0
1779848031574491,TO_MAX,511
1779848032575189,TO_MIN,102
1779848033575913,TO_MAX,511
1779848034576626,TO_MIN,102
1779848035577339,TO_MAX,511
1779848036578048,STILL_PHASE_START,307
1779848041578777,MOTION_PHASE_START,0
1779848041578821,TO_MAX,511
1779848042579526,TO_MIN,102
1779848043580253,TO_MAX,511
1779848044580976,TO_MIN,102
1779848045581701,TO_MAX,511
1779848046582422,STILL_PHASE_START,307
1779848051583162,MOTION_PHASE_START,0
1779848051583204,TO_MAX,511
1779848052583907,TO_MIN,102
