trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.7504569,2.99724552,2.99795446,708.9399999999912,True,
1,motion_to_still,7.77080822,9.35261676,9.35399124,1374.4799999990676,True,
2,still_to_motion,12.77271908,12.8833302,12.88467174,1341.5400000003074,True,
3,motion_to_still,17.77464852,19.23845808,19.23978818,1330.1000000005558,True,
4,still_to_motion,22.77655282,23.4750737,23.47641664,1342.9400000006808,True,
5,motion_to_still,27.7784873,29.82987,29.8312173,1347.299999999052,True,
6,still_to_motion,32.78046214,33.359868,33.36127998,1411.9800000003124,True,
7,motion_to_still,37.7824159,39.71579142,39.71719278,1401.3599999955773,True,
8,still_to_motion,42.7845094,43.24605806,43.24784426,1786.1999999979616,True,
9,motion_to_still,47.7863719,49.60096424,49.602308,1343.7599999974736,True,
10,still_to_motion,52.78813548,53.13149836,53.13289962,1401.260000001514,True,
11,motion_to_still,57.79015286,59.48628904,59.48755832,1269.2799999953763,True,
12,still_to_motion,62.79212432,63.01644044,63.01778152,1341.0800000031031,True,
13,motion_to_still,67.79414138,69.37113914,69.37249774,1358.6000000032072,True,
14,still_to_motion,72.79627434,72.90191042,72.90325228,1341.8600000107972,True,
15,motion_to_still,77.79843744,79.2565168,79.25779254,1275.739999996972,True,
16,still_to_motion,82.80050618,83.49282124,83.49410104,1279.8000000060483,True,
17,motion_to_still,87.80261926,89.84784576,89.8490989,1253.1400000028725,True,
18,still_to_motion,92.80468628,93.37891596,93.38082074,1904.780000003825,True,
19,motion_to_still,97.80681486,99.73385662,99.73524586,1389.24000000884,True,
20,still_to_motion,102.80900564,103.26511022,103.26654872,1438.5000000061154,True,
21,motion_to_still,107.8110682,109.62017428,109.62173816,1563.8800000061792,True,
22,still_to_motion,112.81322878,113.15085014,113.15231044,1460.2999999908661,True,
23,motion_to_still,117.81561588,119.50575684,119.50709614,1339.2999999979338,True,
24,still_to_motion,122.81780372,123.03658046,123.03793622,1355.7600000098091,True,
25,motion_to_still,127.81990968,129.39147176,129.39283852,1366.7599999962476,True,
26,still_to_motion,132.82176028,132.9222274,132.92348442,1257.0199999970555,True,
27,motion_to_still,137.82382286,139.27625444,139.2775813,1326.860000006036,True,
28,still_to_motion,142.82584246,143.5125867,143.51396652,1379.819999982601,True,
29,motion_to_still,147.82783176,149.86686546,149.86819556,1330.0999999898977,True,
30,still_to_motion,152.82987366,153.39712568,153.39836952,1243.8400000007732,True,
31,motion_to_still,157.83207798,159.04533118,159.04665724,1326.059999996687,True,
32,still_to_motion,162.83439514,163.28123544,163.28251708,1281.6400000019712,True,
33,motion_to_still,167.83668992,169.63547982,169.6367315,1251.6799999957584,True,
34,still_to_motion,172.83887546,173.16534968,173.16677226,1422.5799999962874,True,
35,motion_to_still,177.84108428,179.51946602,179.52097272,1506.6999999930886,True,
36,still_to_motion,182.84337406,183.0500399,183.05132384,1283.940000007533,True,
37,motion_to_still,187.84570636,189.40457184,189.40630034,1728.5000000129003,True,
38,still_to_motion,192.84783958,192.934741,192.93620534,1464.3399999840767,True,
39,motion_to_still,197.84989574,199.99557302,199.99689596,1322.9399999943325,True,
40,still_to_motion,202.85210488,203.52591212,203.5272471,1334.9800000241885,True,
41,motion_to_still,207.85444878,209.88052558,209.88180188,1276.3000000006741,True,
42,still_to_motion,212.85684948,213.41082452,213.4120846,1260.0799999802348,True,
43,motion_to_still,217.8593683,219.7662163,219.76755428,1337.9800000166142,True,
44,still_to_motion,222.86189182,223.29649974,223.2977656,1265.859999989516,True,
45,motion_to_still,227.86450528,229.65114252,229.65243554,1293.0199999914294,True,
46,still_to_motion,232.8669416,233.18153092,233.18280936,1278.4399999929974,True,
47,motion_to_still,237.86912324,239.53646774,239.53784236,1374.6200000070985,True,
48,still_to_motion,242.8715375,243.06687364,243.06815446,1280.8199999767567,True,
49,motion_to_still,247.87413716,249.42125536,249.42257758,1322.219999991603,True,
50,still_to_motion,252.87679042,252.95146692,252.9528104,1343.480000002728,True,
51,motion_to_still,257.87938624,259.30597206,259.3073105,1338.440000040464,True,
52,still_to_motion,262.88214364,263.5420127,263.54330522,1292.5199999926917,True,
53,motion_to_still,267.88488182,269.19066842,269.19198666,1318.2399999891459,True,
54,still_to_motion,272.8878253,273.42707808,273.42834906,,False,multiple_d0_before_d1
55,motion_to_still,277.89076876,279.78226604,279.78362118,1355.1399999869318,True,
56,still_to_motion,282.8935513,283.31316044,283.31452232,1361.8799999903786,True,
57,motion_to_still,287.89639206,289.66873132,289.66999074,1259.4199999966804,True,
58,still_to_motion,292.89920066,293.19935628,293.20062896,1272.679999999582,True,
59,motion_to_still,297.90182574,299.55509554,299.55645764,1362.0999999943706,True,
