trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.53565668,2.78562364,2.7856836,59.96000000019208,True,
1,motion_to_still,7.54265938,9.14170582,9.14176556,59.73999999930868,True,
2,still_to_motion,12.54956576,12.67243614,12.67249274,56.59999999885201,True,
3,motion_to_still,17.5563047,19.02778712,19.02784518,58.06000000063705,True,
4,still_to_motion,22.54477584,23.26517286,23.26522354,50.68000000107986,True,
5,motion_to_still,27.55173038,29.62094266,29.6209911,48.44000000048254,True,
6,still_to_motion,32.55872162,33.15160064,33.15164964,49.000000004184585,True,
7,motion_to_still,37.56568174,38.8006998,38.800756,56.20000000305936,True,
8,still_to_motion,42.55430088,43.03739722,43.03745118,53.95999999535661,True,
9,motion_to_still,47.56126094,49.392368,49.39263706,269.0600000008203,True,
10,still_to_motion,52.56815782,52.92306374,52.92311774,53.999999998666226,True,
11,motion_to_still,57.5749698,59.2805152,59.28079262,277.41999999619793,True,
12,still_to_motion,62.56352996,62.8112274,62.81128184,54.43999999954485,True,
13,motion_to_still,67.57030454,69.16679054,69.16684368,53.14000000566921,True,
14,still_to_motion,72.57689186,72.69779926,72.69784722,47.96000000339973,True,
15,motion_to_still,77.58355424,79.0534629,79.05351516,52.260000003911955,True,
16,still_to_motion,82.57196258,83.29060336,83.29064698,43.619999999577885,True,
17,motion_to_still,87.57883572,89.64609572,89.64634854,252.82000000004246,True,
18,still_to_motion,92.58570568,93.17688624,93.17693498,48.73999999688294,True,
19,motion_to_still,97.59258648,99.53244098,99.53248852,47.53999999707048,True,
20,still_to_motion,102.58112048,103.06352426,103.06357454,50.28000001061628,True,
21,motion_to_still,107.5878826,109.41863114,109.41867884,47.699999996098086,True,
22,still_to_motion,112.5946632,112.94942334,112.94947396,50.620000010326294,True,
23,motion_to_still,117.60148488,119.30535388,119.30540242,48.539999994545724,True,
24,still_to_motion,122.5897555,122.8367891,122.83684162,52.51999999700274,True,
25,motion_to_still,127.59660596,129.19264666,129.19269832,51.6599999969003,True,
26,still_to_motion,132.60362528,132.72344016,132.7234915,51.33999999884509,True,
27,motion_to_still,137.61073016,139.07912532,139.07917106,45.73999999024636,True,
28,still_to_motion,142.59944456,143.3165831,143.31663712,54.019999993215606,True,
29,motion_to_still,147.60647468,149.67253574,149.67258214,46.40000000222244,True,
30,still_to_motion,152.6135154,153.20337794,153.20342964,51.70000000020991,True,
31,motion_to_still,157.6021108,159.55924154,159.5592909,49.360000019760264,True,
32,still_to_motion,162.60912258,163.0899214,163.0899685,47.09999998908643,True,
33,motion_to_still,167.61613988,169.44619104,169.44624152,50.47999999874264,True,
34,still_to_motion,172.62319036,172.97691056,172.97695994,49.38000000720422,True,
35,motion_to_still,177.61190314,179.33340606,179.33345484,48.78000001440341,True,
36,still_to_motion,182.61896544,182.86445306,182.86450328,50.22000001986271,True,
37,motion_to_still,187.6260079,189.2206271,189.22067692,49.81999998676656,True,
38,still_to_motion,192.63306358,192.75168534,192.75173264,47.3000000056345,True,
39,motion_to_still,197.62166698,199.107508,199.10755704,49.039999993283345,True,
40,still_to_motion,202.62882198,203.34465434,203.3449224,268.05999999623964,True,
41,motion_to_still,207.63590148,208.99446966,208.9945219,52.24000000225715,True,
42,still_to_motion,212.62462254,213.23138378,213.23165278,,False,multiple_d0_before_d1
43,motion_to_still,217.63149934,219.58685542,219.5869068,,False,multiple_d0_before_d1
44,still_to_motion,222.63845052,223.11765584,223.11770338,47.53999999707048,True,
45,motion_to_still,227.64544054,229.47233466,229.47238572,51.06000000409949,True,
46,still_to_motion,232.63384188,233.00300184,233.00305892,57.08000000481661,True,
47,motion_to_still,237.64068318,239.35808882,239.35813412,45.29999998226231,True,
48,still_to_motion,242.64756468,242.88867512,242.88872326,48.140000018292994,True,
49,motion_to_still,247.65452184,249.2443708,249.24441654,45.73999999024636,True,
50,still_to_motion,252.64300472,252.77517882,252.77522932,50.499999986186594,True,
51,motion_to_still,257.64971696,259.13009718,259.1301457,48.52000000710177,True,
52,still_to_motion,262.65647996,263.3668697,263.36692264,52.939999989121134,True,
53,motion_to_still,267.66327734,269.01622702,269.01628018,53.16000004995658,True,
54,still_to_motion,272.65160588,273.25271706,273.25276972,,False,multiple_d0_before_d1
55,motion_to_still,277.65831528,279.6076819,279.60773516,53.26000001559805,True,
56,still_to_motion,282.6651592,283.1380543,283.13810308,48.7799999859817,True,
57,motion_to_still,287.67213008,289.4929099,289.49317608,266.1800000396397,True,
58,still_to_motion,292.66067106,293.0231399,293.02319164,,False,multiple_d0_before_d1
59,motion_to_still,297.66747256,299.3778988,299.3779504,51.59999994930331,True,
