# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790290415462743,START,307
1790290415663558,MOTION_PHASE_START,0
1790290415663606,TO_MAX,511
1790290416664348,TO_MIN,102
1790290417665758,TO_MAX,511
1790290418667019,TO_MIN,102
1790290419668041,TO_MAX,511
1790290420668871,STILL_PHASE_START,307
1790290425669662,MOTION_PHASE_START,0
1790290425669731,TO_MAX,511
1790290426670912,TO_MIN,102
1790290427671961,TO_MAX,511
1790290428672952,TO_MIN,102
1790290429673771,TO_MAX,511
1790290430674786,STILL_PHASE_START,307
1790290435675590,MOTION_PHASE_START,0
1790290435675637,TO_MAX,511
1790290436676372,TO_MIN,102
1790290437677349,TO_MAX,511
1790290438678120,TO_MIN,102
1790290439678885,TO_MAX,511
1790290440679689,STILL_PHASE_START,307
1790290445680678,MOTION_PHASE_START,0
1790290445680753,TO_MAX,511
1790290446681923,TO_MIN,102
1790290447683381,TO_MAX,511
1790290448684401,TO_MIN,102
1790290449685640,TO_MAX,511
1790290450686443,STILL_PHASE_START,307
1790290455687505,MOTION_PHASE_START,0
1790290455687579,TO_MAX,511
1790290456688533,TO_MIN,102
1790290457689783,TO_MAX,511
1790290458690615,TO_MIN,102
1790290459691586,TO_MAX,511
1790290460693071,STILL_PHASE_START,307
1790290465694077,MOTION_PHASE_START,0
1790290465694138,TO_MAX,511
1790290466695122,TO_MIN,102
1790290467696147,TO_MAX,511
1790290468697168,TO_MIN,102
1790290469698463,TO_MAX,511
1790290470699706,STILL_PHASE_START,307
1790290475701162,MOTION_PHASE_START,0
1790290475701237,TO_MAX,511
1790290476702433,TO_MIN,102
1790290477703198,TO_MAX,511
1790290478704699,TO_MIN,102
1790290479705710,TO_MAX,511
1790290480706953,STILL_PHASE_START,307
1790290485708209,MOTION_PHASE_START,0
1790290485708282,TO_MAX,511
1790290486709479,TO_MIN,102
1790290487710747,TO_MAX,511
1790290488712201,TO_MIN,102
1790290489713018,TO_MAX,511
1790290490714025,STILL_PHASE_START,307
1790290495715044,MOTION_PHASE_START,0
1790290495715115,TO_MAX,511
1790290496716089,TO_MIN,102
1790290497717337,TO_MAX,511
1790290498718827,TO_MIN,102
1790290499720060,TO_MAX,511
1790290500721326,STILL_PHASE_START,307
1790290505722561,MOTION_PHASE_START,0
1790290505722628,TO_MAX,511
1790290506723603,TO_MIN,102
1790290507724597,TO_MAX,511
1790290508725841,TO_MIN,102
1790290509726859,TO_MAX,511
1790290510728399,STILL_PHASE_START,307
1790290515729421,MOTION_PHASE_START,0
1790290515729495,TO_MAX,511
1790290516730486,TO_MIN,102
1790290517731562,TO_MAX,511
1790290518732762,TO_MIN,102
1790290519733986,TO_MAX,511
1790290520735208,STILL_PHASE_START,307
1790290525736219,MOTION_PHASE_START,0
1790290525736293,TO_MAX,511
1790290526737769,TO_MIN,102
1790290527739258,TO_MAX,511
1790290528740476,TO_MIN,102
1790290529741275,TO_MAX,511
1790290530742507,STILL_PHASE_START,307
1790290535743727,MOTION_PHASE_START,0
1790290535743793,TO_MAX,511
1790290536744777,TO_MIN,102
1790290537746062,TO_MAX,511
1790290538747285,TO_MIN,102
1790290539748712,TO_MAX,511
1790290540749945,STILL_PHASE_START,307
1790290545751513,MOTION_PHASE_START,0
1790290545751572,TO_MAX,511
1790290546752685,TO_MIN,102
1790290547753696,TO_MAX,511
1790290548755005,TO_MIN,102
1790290549755790,TO_MAX,511
1790290550756995,STILL_PHASE_START,307
1790290555758234,MOTION_PHASE_START,0
1790290555758309,TO_MAX,511
1790290556759809,TO_MIN,102
1790290557761320,TO_MAX,511
1790290558762771,TO_MIN,102
1790290559763990,TO_MAX,511
1790290560765033,STILL_PHASE_START,307
1790290565766062,MOTION_PHASE_START,0
1790290565766125,TO_MAX,511
1790290566767365,TO_MIN,102
1790290567768571,TO_MAX,511
1790290568769531,TO_MIN,102
1790290569771036,TO_MAX,511
1790290570772052,STILL_PHASE_START,307
1790290575773290,MOTION_PHASE_START,0
1790290575773348,TO_MAX,511
1790290576774546,TO_MIN,102
1790290577775370,TO_MAX,511
1790290578776408,TO_MIN,102
1790290579777926,TO_MAX,511
1790290580779140,STILL_PHASE_START,307
1790290585780149,MOTION_PHASE_START,0
1790290585780210,TO_MAX,511
1790290586780965,TO_MIN,102
1790290587782007,TO_MAX,511
1790290588782779,TO_MIN,102
1790290589783781,TO_MAX,511
1790290590784783,STILL_PHASE_START,307
1790290595785615,MOTION_PHASE_START,0
1790290595785674,TO_MAX,511
1790290596786415,TO_MIN,102
1790290597787623,TO_MAX,511
1790290598789114,TO_MIN,102
1790290599790141,TO_MAX,511
1790290600790950,STILL_PHASE_START,307
1790290605792437,MOTION_PHASE_START,0
1790290605792508,TO_MAX,511
1790290606793651,TO_MIN,102
1790290607795142,TO_MAX,511
1790290608796447,TO_MIN,102
1790290609797468,TO_MAX,511
1790290610798699,STILL_PHASE_START,307
1790290615799910,MOTION_PHASE_START,0
1790290615799983,TO_MAX,511
1790290616800716,TO_MIN,102
1790290617801933,TO_MAX,511
1790290618803256,TO_MIN,102
1790290619804586,TO_MAX,511
1790290620805621,STILL_PHASE_START,307
1790290625806622,MOTION_PHASE_START,0
1790290625806684,TO_MAX,511
1790290626807531,TO_MIN,102
1790290627809029,TO_MAX,511
1790290628810221,TO_MIN,102
1790290629811540,TO_MAX,511
1790290630812552,STILL_PHASE_START,307
1790290635813763,MOTION_PHASE_START,0
1790290635813824,TO_MAX,511
1790290636815002,TO_MIN,102
1790290637816248,TO_MAX,511
1790290638817450,TO_MIN,102
1790290639818244,TO_MAX,511
1790290640819250,STILL_PHASE_START,307
1790290645820459,MOTION_PHASE_START,0
1790290645820532,TO_MAX,511
1790290646821988,TO_MIN,102
1790290647823395,TO_MAX,511
1790290648824634,TO_MIN,102
1790290649825642,TO_MAX,511
1790290650826872,STILL_PHASE_START,307
1790290655828329,MOTION_PHASE_START,0
1790290655828399,TO_MAX,511
1790290656829862,TO_MIN,102
1790290657831224,TO_MAX,511
1790290658832431,TO_MIN,102
1790290659833700,TO_MAX,511
1790290660834712,STILL_PHASE_START,307
1790290665835966,MOTION_PHASE_START,0
1790290665836031,TO_MAX,511
1790290666837020,TO_MIN,102
1790290667838307,TO_MAX,511
1790290668839578,TO_MIN,102
1790290669840917,TO_MAX,511
1790290670842148,STILL_PHASE_START,307
1790290675843378,MOTION_PHASE_START,0
1790290675843439,TO_MAX,511
1790290676844191,TO_MIN,102
1790290677845194,TO_MAX,511
1790290678846216,TO_MIN,102
1790290679847189,TO_MAX,511
1790290680848447,STILL_PHASE_START,307
1790290685849492,MOTION_PHASE_START,0
1790290685849553,TO_MAX,511
1790290686850764,TO_MIN,102
1790290687851970,TO_MAX,511
1790290688853208,TO_MIN,102
1790290689854238,TO_MAX,511
1790290690855464,STILL_PHASE_START,307
1790290695856713,MOTION_PHASE_START,0
1790290695856766,TO_MAX,511
1790290696857957,TO_MIN,102
1790290697859204,TO_MAX,511
1790290698860231,TO_MIN,102
1790290699861570,TO_MAX,511
1790290700863081,STILL_PHASE_START,307
1790290705864101,MOTION_PHASE_START,0
1790290705864172,TO_MAX,511
1790290706865207,TO_MIN,102
1790290707866164,TO_MAX,511
1790290708867663,TO_MIN,102
1790290709868485,TO_MAX,511
1790290710869276,STILL_PHASE_START,307
1790290715870280,END,307
