Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
2.557872180,1,0,0,1,1
2.558445980,1,0,0,0,1
2.558447320,1,0,0,0,0
2.558447780,1,0,0,1,0
2.558448680,1,0,0,1,1
2.558450000,1,0,0,1,0
2.558451380,1,0,0,1,1
2.558452700,1,0,0,1,0
2.558453140,1,0,0,0,0
2.558454080,1,0,0,0,1
2.558455380,1,0,0,0,0
2.558455860,1,0,0,1,0
2.558456780,1,0,0,1,1
2.558458080,1,0,0,1,0
2.558458520,1,0,0,0,0
2.558459460,1,0,0,0,1
2.558460760,1,0,0,0,0
2.558461260,1,0,0,1,0
2.558462160,1,0,0,1,1
2.558463460,1,0,0,1,0
2.558463900,1,0,0,0,0
2.558464860,1,0,0,0,1
2.558466160,1,0,0,0,0
2.558467540,1,0,0,0,1
2.558468840,1,0,0,0,0
2.558470240,1,0,0,0,1
2.558471520,1,0,0,0,0
2.558471720,1,0,0,1,0
2.558472420,1,0,0,0,0
2.558473840,1,0,0,0,1
2.558475120,1,0,0,0,0
2.558476520,1,0,0,0,1
2.558477800,1,0,0,0,0
2.558479220,1,0,0,0,1
2.558480500,1,0,0,0,0
2.558481900,1,0,0,0,1
2.558483200,1,0,0,0,0
2.558484600,1,0,0,0,1
2.558485880,1,0,0,0,0
2.558487280,1,0,0,0,1
2.558488580,1,0,0,0,0
2.558489980,1,0,0,0,1
2.558491260,1,0,0,0,0
2.558491800,1,0,0,1,0
2.558492660,1,0,0,1,1
2.558493960,1,0,0,1,0
2.558494040,1,0,0,0,0
2.558495360,1,0,0,0,1
2.558496640,1,0,0,0,0
2.558496860,1,0,0,1,0
2.558498960,1,0,0,1,1
2.558500240,1,0,0,1,0
2.558500680,1,0,0,0,0
2.558501640,1,0,0,0,1
2.558502920,1,0,0,0,0
2.558504340,1,0,0,0,1
2.558505620,1,0,0,0,0
2.558507020,1,0,0,0,1
2.558508300,1,0,0,0,0
2.558509720,1,0,0,0,1
2.558511000,1,0,0,0,0
2.558512400,1,0,0,0,1
2.558513680,1,0,0,0,0
2.558515100,1,0,0,0,1
2.558516380,1,0,0,0,0
2.558517780,1,0,0,0,1
2.558519080,1,0,0,0,0
2.558520480,1,0,0,0,1
2.558521760,1,0,0,0,0
2.558521980,1,0,0,1,0
2.558522660,1,0,0,0,0
2.558524080,1,0,0,0,1
2.558525880,1,0,0,1,1
2.558735480,1,0,0,0,1
2.558736820,1,0,0,0,0
2.558737280,1,0,0,1,0
2.558738180,1,0,0,1,1
2.558739520,1,0,0,1,0
2.558740880,1,0,0,1,1
2.558742200,1,0,0,1,0
2.558742660,1,0,0,0,0
2.558743580,1,0,0,0,1
2.558744900,1,0,0,0,0
2.558745380,1,0,0,1,0
2.558746280,1,0,0,1,1
2.558747580,1,0,0,1,0
2.558748040,1,0,0,0,0
2.558748980,1,0,0,0,1
2.558750280,1,0,0,0,0
2.558750760,1,0,0,1,0
2.558751660,1,0,0,1,1
2.558752960,1,0,0,1,0
2.558753420,1,0,0,0,0
2.558754360,1,0,0,0,1
2.558755660,1,0,0,0,0
2.558757060,1,0,0,0,1
2.558758340,1,0,0,0,0
2.558759760,1,0,0,0,1
2.558761020,1,0,0,0,0
2.558761240,1,0,0,1,0
2.558761920,1,0,0,0,0
2.558763340,1,0,0,0,1
2.558764620,1,0,0,0,0
2.558765140,1,0,0,1,0
2.558766020,1,0,0,1,1
2.558767320,1,0,0,1,0
2.558768720,1,0,0,1,1
2.558770000,1,0,0,1,0
2.558771420,1,0,0,1,1
2.558772700,1,0,0,1,0
2.558773140,1,0,0,0,0
2.558774100,1,0,0,0,1
2.558775380,1,0,0,0,0
2.558776800,1,0,0,0,1
2.558778080,1,0,0,0,0
2.558779480,1,0,0,0,1
2.558780760,1,0,0,0,0
2.558782180,1,0,0,0,1
2.558783460,1,0,0,0,0
2.558784860,1,0,0,0,1
2.558786140,1,0,0,0,0
2.558786360,1,0,0,1,0
2.558817180,1,0,0,1,1
2.558818460,1,0,0,0,1
2.558819780,1,0,0,0,0
2.558820280,1,0,0,1,0
2.558821200,1,0,0,1,1
2.558822480,1,0,0,1,0
2.558823900,1,0,0,1,1
2.558825160,1,0,0,1,0
2.558825620,1,0,0,0,0
2.558826600,1,0,0,0,1
2.558827860,1,0,0,0,0
2.558828360,1,0,0,1,0
2.558829280,1,0,0,1,1
2.558830560,1,0,0,1,0
