Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,0,0,0,1,1
0.903870120,0,1,0,1,1
0.913948640,0,0,0,1,1
2.557872180,1,0,0,1,1
2.559017480,1,1,0,1,1
2.559020600,1,0,0,1,1
2.566886840,0,0,1,1,1
8.915779680,1,0,0,1,0
8.917318620,1,1,0,1,1
8.917321600,1,0,0,1,1
8.924793060,0,0,0,0,1
12.447445280,1,0,0,1,1
12.449156900,1,1,0,1,1
12.449160960,1,0,0,1,1
12.456454620,0,0,0,1,1
18.803896620,1,0,0,0,1
18.805295580,1,1,0,1,1
18.805300800,1,0,0,1,1
18.812907620,0,0,0,1,1
23.041712800,1,0,0,1,0
23.043063740,1,1,0,1,1
23.043069100,1,0,0,0,1
23.050722220,0,0,0,1,1
28.692385040,1,0,0,1,1
28.693789840,1,1,0,1,1
28.693795000,1,0,0,0,1
28.701399020,0,0,0,0,0
32.930499340,1,0,0,0,0
32.931989600,1,1,0,1,1
32.931994280,1,0,0,1,1
32.939511160,0,0,0,1,1
38.580203060,1,0,0,0,0
38.581599680,1,1,0,1,1
38.581603800,1,0,0,1,1
38.589212460,0,0,0,1,1
42.817650000,1,0,0,1,1
42.819123100,1,1,0,1,1
42.819126580,1,0,0,1,1
42.826659280,0,0,0,1,1
49.173906580,1,0,0,1,1
49.175341360,1,1,0,1,1
49.175344860,1,0,0,1,1
49.182917300,0,0,0,0,1
52.705397560,1,0,0,1,1
52.705397640,0,0,0,1,1
52.705397660,1,0,0,1,1
52.707073260,1,1,0,1,1
52.707076640,1,0,0,1,1
52.714407140,0,0,0,0,1
59.062606960,1,0,0,1,1
59.064148880,1,1,0,1,1
59.064154460,1,0,0,1,0
59.071617260,0,0,0,0,1
62.594207160,1,0,0,1,1
62.595548720,1,1,0,1,1
62.595552280,1,0,0,1,1
62.603215400,0,0,0,1,1
68.950482960,1,0,0,0,1
68.952197660,1,1,0,1,1
68.952200520,1,0,0,1,1
68.959495860,0,0,0,1,1
72.482102040,1,0,0,1,1
72.483502400,1,1,0,1,1
72.483505320,1,0,0,1,1
72.491111020,0,0,0,1,0
78.839196620,1,0,0,1,0
78.840575160,1,1,0,1,1
78.840579480,1,0,0,1,1
78.848209000,0,0,0,1,1
83.077746800,1,0,1,1,0
83.079157760,1,1,0,1,1
83.079162280,1,0,0,0,1
83.086757620,0,0,0,1,1
88.728191080,1,0,0,1,0
88.729518060,1,1,0,1,1
88.729522700,1,0,0,1,1
88.737201440,0,0,0,0,1
92.966686020,1,0,1,1,1
92.966686260,0,0,1,1,1
92.966686280,1,0,1,1,1
92.966686360,0,0,1,1,1
92.966686380,1,0,1,1,1
92.966686620,0,0,1,1,1
92.966686640,1,0,1,1,1
92.968205520,1,1,0,1,1
92.968209600,1,0,0,1,1
92.975699440,0,0,0,1,1
98.617984460,1,0,0,0,1
98.619252620,1,1,0,1,1
98.619256060,1,0,0,1,1
98.626999300,0,0,0,1,1
102.856705240,1,0,0,1,1
102.858236760,1,1,0,1,1
102.858240860,1,0,0,1,1
102.865719600,0,0,0,1,0
109.214147920,1,0,0,1,1
109.215638360,1,1,0,1,1
109.215642540,1,0,0,1,1
109.223160480,0,0,0,1,1
112.745998220,1,0,0,0,0
112.747448360,1,1,0,1,1
112.747452900,1,0,0,1,1
112.755009460,0,0,0,0,1
119.102577380,1,0,0,0,1
119.104043700,1,1,0,1,1
119.104049500,1,0,0,0,0
119.111588220,0,0,0,1,1
122.635005740,1,0,0,1,1
122.636463420,1,1,0,1,1
122.636468060,1,0,0,1,0
122.644020880,0,0,0,1,1
128.992324100,1,0,0,0,0
128.993650280,1,1,0,1,1
128.993654820,1,0,0,1,1
129.001333940,0,0,0,1,1
132.523855480,1,0,0,1,0
132.525143420,1,1,0,1,1
132.525146560,1,0,0,1,1
132.532866500,0,0,0,0,0
138.880735840,1,0,0,1,1
138.882191280,1,1,0,1,1
138.882194780,1,0,0,1,1
138.889750540,0,0,0,0,1
143.118639240,1,0,0,1,1
143.120150840,1,1,0,1,1
143.120154640,1,0,0,1,1
143.127649880,0,0,0,1,1
148.768975780,1,0,0,0,1
148.770191640,1,1,0,1,1
148.770194560,1,0,0,1,1
148.777987320,0,0,0,1,1
153.006999400,1,0,0,1,1
153.008611500,1,1,0,1,1
153.008617020,1,0,0,1,1
153.016010740,0,0,0,1,0
158.657492800,1,0,0,1,1
158.658952580,1,1,0,1,1
158.658955600,1,0,0,1,1
158.666503980,0,0,1,1,1
162.895331380,1,0,0,0,0
162.896644900,1,1,0,1,1
162.896648960,1,0,0,0,1
162.904341160,0,0,0,1,1
169.252473400,1,0,0,1,0
169.253895440,1,1,0,1,1
169.253898660,1,0,0,1,1
169.261485560,0,0,0,1,1
