# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790290729717004,START,307
1790290729917759,MOTION_PHASE_START,0
1790290729917799,TO_MAX,511
1790290730918542,TO_MIN,102
1790290731925591,TO_MAX,511
1790290732926614,TO_MIN,102
1790290733927417,TO_MAX,511
1790290734928192,STILL_PHASE_START,307
1790290739928961,MOTION_PHASE_START,0
1790290739929021,TO_MAX,511
1790290740929766,TO_MIN,102
1790290741930646,TO_MAX,511
1790290742931414,TO_MIN,102
1790290743932157,TO_MAX,511
1790290744932976,STILL_PHASE_START,307
1790290749933809,MOTION_PHASE_START,0
1790290749933864,TO_MAX,511
1790290750934622,TO_MIN,102
1790290751935434,TO_MAX,511
1790290752936197,TO_MIN,102
1790290753936910,TO_MAX,511
1790290754937618,STILL_PHASE_START,307
1790290759938371,MOTION_PHASE_START,0
1790290759938477,TO_MAX,511
1790290760939235,TO_MIN,102
1790290761940013,TO_MAX,511
1790290762940720,TO_MIN,102
1790290763941458,TO_MAX,511
1790290764942228,STILL_PHASE_START,307
1790290769942973,MOTION_PHASE_START,0
1790290769943088,TO_MAX,511
1790290770943838,TO_MIN,102
1790290771944588,TO_MAX,511
1790290772945332,TO_MIN,102
1790290773946040,TO_MAX,511
1790290774946765,STILL_PHASE_START,307
1790290779947545,MOTION_PHASE_START,0
1790290779947609,TO_MAX,511
1790290780948341,TO_MIN,102
1790290781949046,TO_MAX,511
1790290782949767,TO_MIN,102
1790290783950541,TO_MAX,511
1790290784951302,STILL_PHASE_START,307
1790290789952008,MOTION_PHASE_START,0
1790290789952056,TO_MAX,511
1790290790952749,TO_MIN,102
1790290791953491,TO_MAX,511
1790290792954276,TO_MIN,102
1790290793955037,TO_MAX,511
1790290794955745,STILL_PHASE_START,307
1790290799956460,MOTION_PHASE_START,0
1790290799956500,TO_MAX,511
1790290800957196,TO_MIN,102
1790290801957968,TO_MAX,511
1790290802958740,TO_MIN,102
1790290803959521,TO_MAX,511
1790290804960237,STILL_PHASE_START,307
1790290809960966,MOTION_PHASE_START,0
1790290809961039,TO_MAX,511
1790290810961780,TO_MIN,102
1790290811962520,TO_MAX,511
1790290812963242,TO_MIN,102
1790290813964014,TO_MAX,511
1790290814964772,STILL_PHASE_START,307
1790290819965536,MOTION_PHASE_START,0
1790290819965605,TO_MAX,511
1790290820966304,TO_MIN,102
1790290821967022,TO_MAX,511
1790290822967784,TO_MIN,102
1790290823968549,TO_MAX,511
1790290824969309,STILL_PHASE_START,307
1790290829970043,MOTION_PHASE_START,0
1790290829970106,TO_MAX,511
1790290830970821,TO_MIN,102
1790290831971553,TO_MAX,511
1790290832972275,TO_MIN,102
1790290833973020,TO_MAX,511
1790290834973779,STILL_PHASE_START,307
1790290839974534,MOTION_PHASE_START,0
1790290839974574,TO_MAX,511
1790290840975287,TO_MIN,102
1790290841976016,TO_MAX,511
1790290842976779,TO_MIN,102
1790290843977502,TO_MAX,511
1790290844978281,STILL_PHASE_START,307
1790290849979015,MOTION_PHASE_START,0
1790290849979051,TO_MAX,511
1790290850979742,TO_MIN,102
1790290851980497,TO_MAX,511
1790290852981242,TO_MIN,102
1790290853981949,TO_MAX,511
1790290854982659,STILL_PHASE_START,307
1790290859983396,MOTION_PHASE_START,0
1790290859983448,TO_MAX,511
1790290860984171,TO_MIN,102
1790290861985200,TO_MAX,511
1790290862986006,TO_MIN,102
1790290863986814,TO_MAX,511
1790290864987533,STILL_PHASE_START,307
1790290869988258,MOTION_PHASE_START,0
1790290869988318,TO_MAX,511
1790290870989060,TO_MIN,102
1790290871989825,TO_MAX,511
1790290872990587,TO_MIN,102
1790290873991335,TO_MAX,511
1790290874992118,STILL_PHASE_START,307
1790290879992844,MOTION_PHASE_START,0
1790290879992914,TO_MAX,511
1790290880993635,TO_MIN,102
1790290881994393,TO_MAX,511
1790290882995138,TO_MIN,102
1790290883995902,TO_MAX,511
1790290884996640,STILL_PHASE_START,307
1790290889997358,MOTION_PHASE_START,0
1790290889997404,TO_MAX,511
1790290890998125,TO_MIN,102
1790290891998839,TO_MAX,511
1790290892999559,TO_MIN,102
1790290894000294,TO_MAX,511
1790290895001013,STILL_PHASE_START,307
1790290900001795,MOTION_PHASE_START,0
1790290900001870,TO_MAX,511
1790290901002628,TO_MIN,102
1790290902003415,TO_MAX,511
1790290903004144,TO_MIN,102
1790290904004905,TO_MAX,511
1790290905005653,STILL_PHASE_START,307
