# servo_sweep log
# mode=burst duration=300 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790291045544247,START,307
1790291045745027,MOTION_PHASE_START,0
1790291045745077,TO_MAX,511
1790291046745802,TO_MIN,102
1790291047746781,TO_MAX,511
1790291048747762,TO_MIN,102
1790291049748531,TO_MAX,511
1790291050749390,STILL_PHASE_START,307
1790291055750195,MOTION_PHASE_START,0
1790291055750258,TO_MAX,511
1790291056750996,TO_MIN,102
1790291057751776,TO_MAX,511
1790291058752557,TO_MIN,102
1790291059753323,TO_MAX,511
1790291060754094,STILL_PHASE_START,307
1790291065754863,MOTION_PHASE_START,0
1790291065754919,TO_MAX,511
1790291066755647,TO_MIN,102
1790291067756411,TO_MAX,511
1790291068757167,TO_MIN,102
1790291069757919,TO_MAX,511
1790291070758675,STILL_PHASE_START,307
1790291075759423,MOTION_PHASE_START,0
1790291075759484,TO_MAX,511
1790291076760222,TO_MIN,102
1790291077761000,TO_MAX,511
1790291078761793,TO_MIN,102
1790291079762587,TO_MAX,511
1790291080763358,STILL_PHASE_START,307
1790291085764127,MOTION_PHASE_START,0
1790291085764178,TO_MAX,511
1790291086764902,TO_MIN,102
1790291087765656,TO_MAX,511
1790291088766409,TO_MIN,102
1790291089767161,TO_MAX,511
1790291090767915,STILL_PHASE_START,307
1790291095768663,MOTION_PHASE_START,0
1790291095768723,TO_MAX,511
1790291096769463,TO_MIN,102
1790291097770234,TO_MAX,511
1790291098770997,TO_MIN,102
1790291099771764,TO_MAX,511
1790291100772534,STILL_PHASE_START,307
1790291105773309,MOTION_PHASE_START,0
1790291105773360,TO_MAX,511
1790291106774091,TO_MIN,102
1790291107774854,TO_MAX,511
1790291108775616,TO_MIN,102
1790291109776373,TO_MAX,511
1790291110777122,STILL_PHASE_START,307
1790291115777872,MOTION_PHASE_START,0
1790291115781234,TO_MAX,511
1790291116781986,TO_MIN,102
1790291117782763,TO_MAX,511
1790291118783537,TO_MIN,102
1790291119784306,TO_MAX,511
1790291120785094,STILL_PHASE_START,307
1790291125817185,MOTION_PHASE_START,0
1790291125848558,TO_MAX,511
1790291126849309,TO_MIN,102
1790291127850074,TO_MAX,511
1790291128850841,TO_MIN,102
1790291129851604,TO_MAX,511
1790291130852368,STILL_PHASE_START,307
1790291135884525,MOTION_PHASE_START,0
1790291135885909,TO_MAX,511
1790291136886722,TO_MIN,102
1790291137887459,TO_MAX,511
1790291138888190,TO_MIN,102
1790291139888924,TO_MAX,511
1790291140889688,STILL_PHASE_START,307
1790291145921764,MOTION_PHASE_START,0
1790291145952832,TO_MAX,511
1790291146953575,TO_MIN,102
1790291147954352,TO_MAX,511
1790291148955128,TO_MIN,102
1790291149955905,TO_MAX,511
1790291150956697,STILL_PHASE_START,307
1790291155988506,MOTION_PHASE_START,0
1790291156019777,TO_MAX,511
1790291157020519,TO_MIN,102
1790291158021293,TO_MAX,511
1790291159022067,TO_MIN,102
1790291160022833,TO_MAX,511
1790291161023609,STILL_PHASE_START,307
1790291166055580,MOTION_PHASE_START,0
1790291166087009,TO_MAX,511
1790291167087751,TO_MIN,102
1790291168088517,TO_MAX,511
1790291169089286,TO_MIN,102
1790291170090035,TO_MAX,511
1790291171090781,STILL_PHASE_START,307
1790291176118738,MOTION_PHASE_START,0
1790291176122181,TO_MAX,511
1790291177122916,TO_MIN,102
1790291178123701,TO_MAX,511
1790291179124477,TO_MIN,102
1790291180125256,TO_MAX,511
1790291181126027,STILL_PHASE_START,307
1790291186130275,MOTION_PHASE_START,0
1790291186133624,TO_MAX,511
1790291187134374,TO_MIN,102
1790291188135138,TO_MAX,511
1790291189135903,TO_MIN,102
1790291190136671,TO_MAX,511
1790291191137439,STILL_PHASE_START,307
1790291196139518,MOTION_PHASE_START,0
1790291196170753,TO_MAX,511
1790291197171491,TO_MIN,102
1790291198172246,TO_MAX,511
1790291199172991,TO_MIN,102
1790291200173735,TO_MAX,511
1790291201174475,STILL_PHASE_START,307
1790291206206526,MOTION_PHASE_START,0
1790291206237777,TO_MAX,511
1790291207238528,TO_MIN,102
1790291208239312,TO_MAX,511
1790291209240081,TO_MIN,102
1790291210240853,TO_MAX,511
1790291211241633,STILL_PHASE_START,307
1790291216273431,MOTION_PHASE_START,0
1790291216304836,TO_MAX,511
1790291217305583,TO_MIN,102
1790291218306397,TO_MAX,511
1790291219307164,TO_MIN,102
1790291220307930,TO_MAX,511
1790291221308706,STILL_PHASE_START,307
1790291226309471,MOTION_PHASE_START,0
1790291226309518,TO_MAX,511
1790291227310237,TO_MIN,102
1790291228310979,TO_MAX,511
1790291229311703,TO_MIN,102
1790291230316263,TO_MAX,511
1790291231317039,STILL_PHASE_START,307
1790291236317822,MOTION_PHASE_START,0
1790291236317882,TO_MAX,511
1790291237318630,TO_MIN,102
1790291238319404,TO_MAX,511
1790291239320182,TO_MIN,102
1790291240320962,TO_MAX,511
1790291241321732,STILL_PHASE_START,307
1790291246322495,MOTION_PHASE_START,0
1790291246322560,TO_MAX,511
1790291247323283,TO_MIN,102
1790291248324037,TO_MAX,511
1790291249324785,TO_MIN,102
1790291250325523,TO_MAX,511
1790291251326414,STILL_PHASE_START,307
1790291256327183,MOTION_PHASE_START,0
1790291256327242,TO_MAX,511
1790291257327977,TO_MIN,102
1790291258328745,TO_MAX,511
1790291259329513,TO_MIN,102
1790291260330277,TO_MAX,511
1790291261331052,STILL_PHASE_START,307
1790291266331830,MOTION_PHASE_START,0
1790291266331889,TO_MAX,511
1790291267332621,TO_MIN,102
1790291268333387,TO_MAX,511
1790291269334151,TO_MIN,102
1790291270334913,TO_MAX,511
1790291271335670,STILL_PHASE_START,307
1790291276336415,MOTION_PHASE_START,0
1790291276336474,TO_MAX,511
1790291277337209,TO_MIN,102
1790291278337969,TO_MAX,511
1790291279338730,TO_MIN,102
1790291280339502,TO_MAX,511
1790291281340289,STILL_PHASE_START,307
1790291286341056,MOTION_PHASE_START,0
1790291286341114,TO_MAX,511
1790291287341845,TO_MIN,102
1790291288342618,TO_MAX,511
1790291289343393,TO_MIN,102
1790291290344162,TO_MAX,511
1790291291344927,STILL_PHASE_START,307
1790291296345693,MOTION_PHASE_START,0
1790291296345734,TO_MAX,511
1790291297346438,TO_MIN,102
1790291298347159,TO_MAX,511
1790291299347935,TO_MIN,102
1790291300348709,TO_MAX,511
1790291301349495,STILL_PHASE_START,307
1790291306350288,MOTION_PHASE_START,0
1790291306350359,TO_MAX,511
1790291307351094,TO_MIN,102
1790291308351887,TO_MAX,511
1790291309352667,TO_MIN,102
1790291310353438,TO_MAX,511
1790291311354208,STILL_PHASE_START,307
1790291316354989,MOTION_PHASE_START,0
1790291316355047,TO_MAX,511
1790291317355772,TO_MIN,102
1790291318356519,TO_MAX,511
1790291319357272,TO_MIN,102
1790291320358022,TO_MAX,511
1790291321358765,STILL_PHASE_START,307
1790291326362702,MOTION_PHASE_START,0
1790291326393772,TO_MAX,511
1790291327394534,TO_MIN,102
1790291328395459,TO_MAX,511
1790291329396240,TO_MIN,102
1790291330397018,TO_MAX,511
1790291331397793,STILL_PHASE_START,307
1790291336429839,MOTION_PHASE_START,0
1790291336461266,TO_MAX,511
1790291337462003,TO_MIN,102
1790291338462774,TO_MAX,511
1790291339463544,TO_MIN,102
1790291340464305,TO_MAX,511
1790291341465071,STILL_PHASE_START,307
1790291346496941,END,307
