09-24-2026 16:04:03 RAM 959/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [7%@1535,11%@729,16%@729,8%@729,30%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.625C soc2@47.437C soc0@47.156C gpu@48.406C tj@49.343C soc1@49.343C VDD_IN 5023mW/5023mW VDD_CPU_GPU_CV 837mW/837mW VDD_SOC 1435mW/1435mW
09-24-2026 16:04:03 RAM 959/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.812C soc2@47.375C soc0@47.25C gpu@48.312C tj@49.218C soc1@49.218C VDD_IN 4647mW/4835mW VDD_CPU_GPU_CV 600mW/719mW VDD_SOC 1442mW/1439mW
09-24-2026 16:04:04 RAM 960/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [5%@1588,3%@729,5%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@47.281C soc0@47.312C gpu@48.312C tj@49.218C soc1@49.218C VDD_IN 4567mW/4746mW VDD_CPU_GPU_CV 520mW/652mW VDD_SOC 1442mW/1440mW
09-24-2026 16:04:04 RAM 962/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [12%@806,21%@806,12%@806,15%@806,28%@729,38%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.812C soc2@47.406C soc0@47.156C gpu@48.343C tj@49.218C soc1@49.218C VDD_IN 4984mW/4805mW VDD_CPU_GPU_CV 837mW/699mW VDD_SOC 1435mW/1439mW
09-24-2026 16:04:05 RAM 960/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [29%@1518,32%@883,24%@883,22%@883,41%@1728,55%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.187C soc2@47.437C soc0@47.218C gpu@48.375C tj@49.218C soc1@49.218C VDD_IN 5555mW/4955mW VDD_CPU_GPU_CV 1269mW/813mW VDD_SOC 1470mW/1445mW
09-24-2026 16:04:05 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [14%@729,23%@729,19%@729,22%@729,50%@1497,50%@1497] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.031C soc2@47.468C soc0@47.156C gpu@48.468C tj@49.312C soc1@49.312C VDD_IN 5793mW/5095mW VDD_CPU_GPU_CV 1426mW/915mW VDD_SOC 1468mW/1449mW
09-24-2026 16:04:06 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,2%@1728,0%@1728,2%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.656C soc2@47.437C soc0@47.312C gpu@48.75C tj@49.218C soc1@49.218C VDD_IN 4912mW/5069mW VDD_CPU_GPU_CV 798mW/898mW VDD_SOC 1437mW/1447mW
09-24-2026 16:04:06 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.625C soc2@47.312C soc0@47.156C gpu@48.468C tj@49.156C soc1@49.156C VDD_IN 4607mW/5011mW VDD_CPU_GPU_CV 560mW/856mW VDD_SOC 1442mW/1446mW
09-24-2026 16:04:07 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1728,0%@1728,1%@1728,0%@1198,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@47.281C soc0@47.343C gpu@48.406C tj@49.281C soc1@49.281C VDD_IN 4527mW/4957mW VDD_CPU_GPU_CV 480mW/814mW VDD_SOC 1442mW/1446mW
09-24-2026 16:04:07 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@47.281C soc0@47.312C gpu@48.25C tj@49.093C soc1@49.093C VDD_IN 4487mW/4910mW VDD_CPU_GPU_CV 480mW/781mW VDD_SOC 1442mW/1445mW
09-24-2026 16:04:08 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1201,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@47.281C soc0@47.281C gpu@48.25C tj@49.187C soc1@49.187C VDD_IN 4487mW/4872mW VDD_CPU_GPU_CV 480mW/753mW VDD_SOC 1442mW/1445mW
09-24-2026 16:04:08 RAM 961/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [5%@1728,0%@1728,0%@1728,3%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@47.312C soc0@47.281C gpu@48.375C tj@49.218C soc1@49.218C VDD_IN 4527mW/4843mW VDD_CPU_GPU_CV 480mW/731mW VDD_SOC 1442mW/1445mW
09-24-2026 16:04:09 RAM 962/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [25%@1036,22%@1036,21%@1036,32%@1420,21%@1344,56%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49C soc2@47.531C soc0@47.093C gpu@48.531C tj@49.187C soc1@49.187C VDD_IN 5214mW/4872mW VDD_CPU_GPU_CV 993mW/751mW VDD_SOC 1472mW/1447mW
09-24-2026 16:04:09 RAM 963/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [28%@1651,26%@1651,26%@1651,17%@1651,30%@1036,42%@1036] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.031C soc2@47.406C soc0@47.375C gpu@48.343C tj@49.281C soc1@49.281C VDD_IN 5524mW/4918mW VDD_CPU_GPU_CV 1230mW/785mW VDD_SOC 1470mW/1449mW
09-24-2026 16:04:10 RAM 981/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [36%@1728,45%@1728,34%@1728,44%@1728,46%@1728,64%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.656C soc0@47.187C gpu@48.406C tj@49.968C soc1@49.375C VDD_IN 6348mW/5013mW VDD_CPU_GPU_CV 2020mW/867mW VDD_SOC 1470mW/1450mW
