# servo_sweep log
# mode=burst duration=60 min_ticks=102 max_ticks=511 center_ticks=307
# motion_ms=5000 still_ms=5000 burst_period_ms=1000
# timestamp = CLOCK_REALTIME microseconds at host i2c_write call
# actual PWM wire edge appears ~100us after timestamp
# columns: timestamp_us,event,ticks
1790291361502003,START,307
1790291361702774,MOTION_PHASE_START,0
1790291361702807,TO_MAX,511
1790291362703732,TO_MIN,102
1790291363704940,TO_MAX,511
1790291364706012,TO_MIN,102
1790291365706827,TO_MAX,511
1790291366707656,STILL_PHASE_START,307
1790291371709215,MOTION_PHASE_START,0
1790291371709288,TO_MAX,511
1790291372710534,TO_MIN,102
1790291373711595,TO_MAX,511
1790291374712621,TO_MIN,102
1790291375713877,TO_MAX,511
1790291376715106,STILL_PHASE_START,307
1790291381715924,MOTION_PHASE_START,0
1790291381715972,TO_MAX,511
1790291382716712,TO_MIN,102
1790291383717741,TO_MAX,511
1790291384719028,TO_MIN,102
1790291385720896,TO_MAX,511
1790291386722129,STILL_PHASE_START,307
1790291391723383,MOTION_PHASE_START,0
1790291391723450,TO_MAX,511
1790291392724650,TO_MIN,102
1790291393725862,TO_MAX,511
1790291394727416,TO_MIN,102
1790291395728666,TO_MAX,511
1790291396729681,STILL_PHASE_START,307
1790291401730720,MOTION_PHASE_START,0
1790291401730801,TO_MAX,511
1790291402731794,TO_MIN,102
1790291403733323,TO_MAX,511
1790291404734581,TO_MIN,102
1790291405735944,TO_MAX,511
1790291406737291,STILL_PHASE_START,307
1790291411738305,MOTION_PHASE_START,0
1790291411738365,TO_MAX,511
1790291412739392,TO_MIN,102
1790291413740865,TO_MAX,511
1790291414742338,TO_MIN,102
1790291415743598,TO_MAX,511
1790291416744807,STILL_PHASE_START,307
1790291421745604,END,307
