09-24-2026 16:09:19 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@729,2%@729,5%@729,1%@729,25%@729,8%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@50.937C soc0@51.25C gpu@52.156C tj@52.625C soc1@52.625C VDD_IN 5063mW/5063mW VDD_CPU_GPU_CV 915mW/915mW VDD_SOC 1475mW/1475mW
09-24-2026 16:09:19 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@50.906C soc0@51.062C gpu@52.093C tj@52.718C soc1@52.718C VDD_IN 4680mW/4872mW VDD_CPU_GPU_CV 600mW/758mW VDD_SOC 1440mW/1458mW
09-24-2026 16:09:20 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,3%@729,1%@729,7%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@50.906C soc0@51.125C gpu@52.312C tj@52.593C soc1@52.593C VDD_IN 4600mW/4781mW VDD_CPU_GPU_CV 559mW/691mW VDD_SOC 1440mW/1452mW
09-24-2026 16:09:20 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [22%@729,17%@729,22%@729,20%@729,24%@729,43%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@50.875C soc0@51.031C gpu@52.062C tj@52.593C soc1@52.593C VDD_IN 4976mW/4830mW VDD_CPU_GPU_CV 794mW/717mW VDD_SOC 1472mW/1457mW
09-24-2026 16:09:21 RAM 963/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [29%@1728,20%@1728,21%@1728,21%@1728,59%@1420,29%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@50.875C soc0@51.218C gpu@51.906C tj@52.625C soc1@52.625C VDD_IN 5356mW/4935mW VDD_CPU_GPU_CV 1031mW/780mW VDD_SOC 1470mW/1459mW
09-24-2026 16:09:21 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [23%@1727,13%@729,17%@729,27%@729,46%@729,32%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@50.937C soc0@51C gpu@52.093C tj@52.437C soc1@52.437C VDD_IN 5713mW/5065mW VDD_CPU_GPU_CV 1386mW/881mW VDD_SOC 1507mW/1467mW
09-24-2026 16:09:22 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@50.781C soc0@51.031C gpu@52.062C tj@52.531C soc1@52.531C VDD_IN 4872mW/5037mW VDD_CPU_GPU_CV 758mW/863mW VDD_SOC 1437mW/1463mW
09-24-2026 16:09:22 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@50.781C soc0@50.937C gpu@52.125C tj@52.406C soc1@52.406C VDD_IN 4607mW/4983mW VDD_CPU_GPU_CV 560mW/825mW VDD_SOC 1442mW/1460mW
09-24-2026 16:09:23 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1585,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.125C soc2@50.625C soc0@51C gpu@51.875C tj@52.375C soc1@52.375C VDD_IN 4567mW/4937mW VDD_CPU_GPU_CV 520mW/791mW VDD_SOC 1442mW/1458mW
09-24-2026 16:09:23 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,3%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@50.625C soc0@50.843C gpu@52C tj@52.593C soc1@52.593C VDD_IN 4567mW/4900mW VDD_CPU_GPU_CV 480mW/760mW VDD_SOC 1442mW/1457mW
09-24-2026 16:09:24 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1544,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@50.625C soc0@50.843C gpu@51.687C tj@52.406C soc1@52.406C VDD_IN 4527mW/4866mW VDD_CPU_GPU_CV 480mW/735mW VDD_SOC 1442mW/1455mW
09-24-2026 16:09:24 RAM 964/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1726,1%@729,3%@729,3%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@50.531C soc0@50.843C gpu@51.656C tj@52.375C soc1@52.375C VDD_IN 4600mW/4844mW VDD_CPU_GPU_CV 520mW/717mW VDD_SOC 1440mW/1454mW
09-24-2026 16:09:25 RAM 965/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [24%@1656,21%@1036,22%@1036,28%@1036,30%@883,36%@883] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@50.625C soc0@50.843C gpu@51.687C tj@52.375C soc1@52.375C VDD_IN 5175mW/4869mW VDD_CPU_GPU_CV 953mW/735mW VDD_SOC 1472mW/1455mW
09-24-2026 16:09:25 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [24%@1344,22%@1344,16%@1344,17%@1344,38%@1497,50%@1497] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.218C soc2@50.687C soc0@50.75C gpu@51.593C tj@52.187C soc1@52.312C VDD_IN 5515mW/4916mW VDD_CPU_GPU_CV 1190mW/768mW VDD_SOC 1468mW/1456mW
09-24-2026 16:09:26 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [13%@1554,1%@729,1%@729,0%@729,15%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@50.5C soc0@50.875C gpu@51.906C tj@52.343C soc1@52.343C VDD_IN 4984mW/4920mW VDD_CPU_GPU_CV 837mW/772mW VDD_SOC 1475mW/1458mW
09-24-2026 16:09:26 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [3%@729,3%@729,1%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C soc2@50.468C soc0@50.718C gpu@52C tj@52.406C soc1@52.406C VDD_IN 4680mW/4905mW VDD_CPU_GPU_CV 600mW/761mW VDD_SOC 1440mW/1457mW
09-24-2026 16:09:27 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@50.531C soc0@50.718C gpu@51.687C tj@52.218C soc1@52.218C VDD_IN 4567mW/4885mW VDD_CPU_GPU_CV 520mW/747mW VDD_SOC 1442mW/1456mW
09-24-2026 16:09:27 RAM 966/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@50.406C soc0@50.718C gpu@51.5C tj@52.218C soc1@52.218C VDD_IN 4567mW/4868mW VDD_CPU_GPU_CV 480mW/732mW VDD_SOC 1442mW/1455mW
09-24-2026 16:09:28 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [41%@1531,23%@729,24%@729,30%@729,17%@729,12%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.843C soc2@50.468C soc0@50.812C gpu@51.5C tj@52.281C soc1@52.281C VDD_IN 5294mW/4890mW VDD_CPU_GPU_CV 1073mW/750mW VDD_SOC 1472mW/1456mW
09-24-2026 16:09:28 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@50.468C soc0@50.562C gpu@51.5C tj@52.062C soc1@52.062C VDD_IN 4800mW/4886mW VDD_CPU_GPU_CV 638mW/745mW VDD_SOC 1440mW/1455mW
09-24-2026 16:09:29 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@50.312C soc0@50.656C gpu@51.75C tj@52.156C soc1@52.156C VDD_IN 4607mW/4872mW VDD_CPU_GPU_CV 520mW/734mW VDD_SOC 1442mW/1454mW
09-24-2026 16:09:29 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1657,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@50.312C soc0@50.625C gpu@51.437C tj@52.187C soc1@52.187C VDD_IN 4527mW/4857mW VDD_CPU_GPU_CV 480mW/722mW VDD_SOC 1442mW/1454mW
09-24-2026 16:09:30 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1592,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@50.281C soc0@50.468C gpu@51.625C tj@52.218C soc1@52.125C VDD_IN 4527mW/4842mW VDD_CPU_GPU_CV 480mW/712mW VDD_SOC 1442mW/1453mW
09-24-2026 16:09:30 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@729,1%@729,1%@729,5%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.593C soc2@50.281C soc0@50.593C gpu@51.281C tj@52.062C soc1@52.062C VDD_IN 4567mW/4831mW VDD_CPU_GPU_CV 480mW/702mW VDD_SOC 1442mW/1453mW
09-24-2026 16:09:31 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [3%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@50.218C soc0@50.625C gpu@51.5C tj@52.125C soc1@52.125C VDD_IN 4527mW/4819mW VDD_CPU_GPU_CV 480mW/693mW VDD_SOC 1442mW/1452mW
09-24-2026 16:09:31 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@50.218C soc0@50.375C gpu@51.562C tj@52C soc1@52C VDD_IN 4527mW/4807mW VDD_CPU_GPU_CV 480mW/685mW VDD_SOC 1442mW/1452mW
09-24-2026 16:09:32 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@50.218C soc0@50.562C gpu@51.218C tj@51.968C soc1@52C VDD_IN 4527mW/4797mW VDD_CPU_GPU_CV 480mW/678mW VDD_SOC 1442mW/1452mW
09-24-2026 16:09:32 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.187C soc0@50.312C gpu@51.375C tj@51.843C soc1@51.843C VDD_IN 4527mW/4787mW VDD_CPU_GPU_CV 480mW/670mW VDD_SOC 1442mW/1451mW
09-24-2026 16:09:33 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,1%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@50.031C soc0@50.437C gpu@51.593C tj@52C soc1@52C VDD_IN 4527mW/4778mW VDD_CPU_GPU_CV 480mW/664mW VDD_SOC 1442mW/1451mW
09-24-2026 16:09:33 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@50.093C soc0@50.281C gpu@51.125C tj@52.062C soc1@52.062C VDD_IN 4567mW/4771mW VDD_CPU_GPU_CV 480mW/658mW VDD_SOC 1442mW/1451mW
09-24-2026 16:09:34 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.5C soc2@50.062C soc0@50.375C gpu@51.25C tj@51.875C soc1@51.875C VDD_IN 4567mW/4765mW VDD_CPU_GPU_CV 480mW/652mW VDD_SOC 1442mW/1450mW
09-24-2026 16:09:35 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.343C soc2@50.031C soc0@50.218C gpu@51.375C tj@51.906C soc1@51.906C VDD_IN 4527mW/4757mW VDD_CPU_GPU_CV 480mW/647mW VDD_SOC 1442mW/1450mW
09-24-2026 16:09:35 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1584,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@50.093C soc0@50.25C gpu@51.062C tj@51.718C soc1@51.718C VDD_IN 4527mW/4750mW VDD_CPU_GPU_CV 480mW/642mW VDD_SOC 1442mW/1450mW
09-24-2026 16:09:36 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@49.968C soc0@50.312C gpu@51.343C tj@51.812C soc1@51.812C VDD_IN 4527mW/4744mW VDD_CPU_GPU_CV 480mW/637mW VDD_SOC 1442mW/1450mW
09-24-2026 16:09:36 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [3%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@50.031C soc0@50.062C gpu@50.937C tj@51.812C soc1@51.812C VDD_IN 4527mW/4738mW VDD_CPU_GPU_CV 480mW/632mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:37 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,3%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@49.906C soc0@50.187C gpu@51.062C tj@51.75C soc1@51.75C VDD_IN 4527mW/4732mW VDD_CPU_GPU_CV 480mW/628mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:37 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@49.906C soc0@50.031C gpu@51.25C tj@51.781C soc1@51.75C VDD_IN 4487mW/4725mW VDD_CPU_GPU_CV 480mW/624mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:38 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1576,0%@729,0%@729,0%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.218C soc2@49.968C soc0@50.125C gpu@51.031C tj@51.656C soc1@51.656C VDD_IN 4527mW/4720mW VDD_CPU_GPU_CV 480mW/620mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:38 RAM 967/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1566,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C soc2@49.843C soc0@50.156C gpu@51.125C tj@51.687C soc1@51.687C VDD_IN 4527mW/4715mW VDD_CPU_GPU_CV 480mW/617mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:39 RAM 968/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.093C soc2@49.906C soc0@50C gpu@51.031C tj@51.593C soc1@51.593C VDD_IN 4487mW/4709mW VDD_CPU_GPU_CV 480mW/613mW VDD_SOC 1442mW/1449mW
09-24-2026 16:09:39 RAM 968/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.375C soc2@49.843C soc0@49.968C gpu@50.812C tj@51.593C soc1@51.593C VDD_IN 4487mW/4704mW VDD_CPU_GPU_CV 480mW/610mW VDD_SOC 1442mW/1448mW
09-24-2026 16:09:40 RAM 968/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [1%@1604,0%@729,0%@729,0%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@49.75C soc0@50C gpu@51.093C tj@51.656C soc1@51.656C VDD_IN 4487mW/4699mW VDD_CPU_GPU_CV 480mW/607mW VDD_SOC 1442mW/1448mW
09-24-2026 16:09:40 RAM 968/7607MB (lfb 5x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@49.843C soc0@49.937C gpu@50.75C tj@51.5C soc1@51.5C VDD_IN 4487mW/4694mW VDD_CPU_GPU_CV 480mW/604mW VDD_SOC 1442mW/1448mW
