block,d0_s,triple_ok,mlc0_src,sched_ms,triple_ms,strobe_ms,d0_d1_ms
b005-mlc-idle,2.4279878,1,0x04,0.0668,0.3848,0.0279,0.4796
b005-mlc-idle,8.7830556,1,0x00,0.0793,0.4059,0.0335,0.5187
b005-mlc-idle,12.3136245,1,0x04,0.0565,0.3825,0.0275,0.4665
b005-mlc-idle,18.6687558,1,0x00,0.0585,0.3823,0.0279,0.4687
b005-mlc-idle,22.9058295,1,0x04,0.0574,0.3834,0.0275,0.4683
b005-mlc-idle,28.5552715,1,0x00,0.0606,0.3782,0.0283,0.4671
b005-mlc-idle,32.7920509,1,0x04,0.0578,0.3794,0.0277,0.4649
b005-mlc-idle,38.4417781,1,0x00,0.0573,0.3865,0.0284,0.4722
b005-mlc-idle,42.6788998,1,0x04,0.0565,0.3927,0.0295,0.4787
b005-mlc-idle,48.3282842,1,0x00,0.0634,0.3955,0.0317,0.4906
b005-mlc-idle,52.5651651,1,0x04,0.0606,0.3871,0.0286,0.4763
b005-mlc-idle,58.9202966,1,0x00,0.0577,0.3976,0.0299,0.4852
b005-mlc-idle,62.4511215,1,0x04,0.0558,0.392,0.0297,0.4776
b005-mlc-idle,68.8060465,1,0x00,0.0643,0.3925,0.0294,0.4862
b005-mlc-idle,72.3365084,1,0x04,0.057,0.3889,0.0298,0.4758
b005-mlc-idle,78.6914827,1,0x00,0.0574,0.3992,0.03,0.4865
b005-mlc-idle,82.9280199,1,0x04,0.0528,0.3872,0.0295,0.4695
b005-mlc-idle,89.2831495,1,0x00,0.0599,0.3929,0.0285,0.4813
b005-mlc-idle,92.8139202,1,0x04,0.0648,0.3936,0.0307,0.4891
b005-mlc-idle,98.4627777,1,0x00,0.0558,0.3921,0.0295,0.4774
b005-mlc-idle,102.6993101,1,0x04,0.058,0.3994,0.0311,0.4885
b005-mlc-idle,109.0542472,1,0x00,0.055,0.4002,0.03,0.4852
b005-mlc-idle,112.5845436,1,0x04,0.0533,0.3889,0.0299,0.4721
b005-mlc-idle,118.9397885,1,0x00,0.055,0.4765,0.033,0.5646
b005-mlc-idle,122.4706768,1,0x04,0.0586,0.3804,0.027,0.466
b005-mlc-idle,128.82545,1,0x00,0.0606,0.3855,0.0292,0.4753
b005-mlc-idle,132.3558066,1,0x04,0.0572,0.3834,0.0305,0.4711
b005-mlc-idle,138.7111647,1,0x00,0.0571,0.3901,0.0294,0.4766
b005-mlc-idle,142.9478044,1,0x04,0.0594,0.3932,0.0314,0.484
b005-mlc-idle,148.5973525,1,0x00,0.0596,0.3885,0.0294,0.4776
b005-mlc-idle,152.8341434,1,0x04,0.0675,0.3943,0.0286,0.4903
b005-mlc-idle,158.4835368,1,0x00,0.0632,0.3992,0.0329,0.4953
b005-mlc-idle,162.7211204,1,0x04,0.0579,0.3867,0.03,0.4746
b005-mlc-idle,168.3703221,1,0x00,0.0608,0.3933,0.0312,0.4854
b005-mlc-idle,172.6071642,1,0x04,0.052,0.3856,0.0282,0.4658
b005-mlc-idle,178.9624839,1,0x00,0.0569,0.3995,0.0324,0.4888
b005-mlc-idle,182.4929688,1,0x04,0.0597,0.3951,0.0293,0.4841
b005-mlc-idle,188.8475659,1,0x00,0.0639,0.3953,0.0317,0.4909
b005-mlc-idle,192.3779775,1,0x04,0.0612,0.3914,0.0301,0.4828
b005-mlc-idle,198.7326084,1,0x00,0.0611,0.3925,0.0315,0.4851
b005-mlc-idle,202.969243,1,0x04,0.0599,0.3928,0.0318,0.4845
b005-mlc-idle,208.6178225,1,0x00,0.0665,0.3866,0.0291,0.4823
b005-mlc-idle,212.8544797,1,0x04,0.0592,0.3981,0.0293,0.4866
b005-mlc-idle,218.5035009,1,0x00,0.0631,0.3917,0.0309,0.4857
b005-mlc-idle,222.7406534,1,0x04,0.059,0.3899,0.0284,0.4773
b005-mlc-idle,228.3895892,1,0x00,0.066,0.3907,0.0275,0.4842
b005-mlc-idle,232.6262438,1,0x04,0.057,0.3904,0.031,0.4784
b005-mlc-idle,238.9811337,1,0x00,0.0587,0.3926,0.0337,0.4849
b005-mlc-idle,242.5116833,1,0x04,0.0601,0.3895,0.0298,0.4794
b005-mlc-idle,248.8677838,1,0x00,0.0558,0.3878,0.0274,0.4711
b005-mlc-idle,252.3988198,1,0x04,0.0586,0.3791,0.0262,0.464
b005-mlc-idle,258.7537723,1,0x00,0.0605,0.3826,0.0272,0.4704
b005-mlc-idle,262.9902385,1,0x04,0.0549,0.3778,0.0276,0.4604
b005-mlc-idle,268.6398903,1,0x00,0.0642,0.3948,0.0298,0.4887
b005-mlc-idle,272.8764859,1,0x04,0.0549,0.3919,0.0286,0.4755
b005-mlc-idle,279.2314851,1,0x00,0.0578,0.3906,0.0306,0.479
b005-mlc-idle,282.761935,1,0x04,0.0632,0.3995,0.0334,0.4962
b005-mlc-idle,289.11695,1,0x00,0.0583,0.3895,0.0285,0.4763
b005-mlc-idle,292.6472934,1,0x04,0.0564,0.3848,0.0287,0.4699
b005-mlc-idle,293.3534137,1,0x00,0.0519,0.3906,0.028,0.4706
b005-mlc-idle,294.0595614,1,0x04,0.0573,0.3889,0.0271,0.4734
b005-mlc-idle,299.0023254,1,0x00,0.0554,0.389,0.0287,0.4731
b006-mlc-i2c-contention,2.3830019,1,0x04,0.0669,0.3826,0.0272,0.4767
b006-mlc-i2c-contention,8.7393168,1,0x00,0.3274,0.9229,0.0294,1.2798
b006-mlc-i2c-contention,12.2704602,1,0x04,0.3116,0.9361,0.03,1.2778
b006-mlc-i2c-contention,18.6256111,1,0x00,0.2684,0.9994,0.0395,1.3073
b006-mlc-i2c-contention,22.8631553,1,0x04,0.2903,0.9469,0.0368,1.274
b006-mlc-i2c-contention,28.5125394,1,0x00,0.3307,0.9367,0.0318,1.2992
b006-mlc-i2c-contention,32.7493143,1,0x04,0.335,0.9432,0.031,1.3092
b006-mlc-i2c-contention,38.3984347,1,0x00,0.251,0.9438,0.031,1.2258
b006-mlc-i2c-contention,42.6354411,1,0x04,0.3104,0.9559,0.0317,1.298
b006-mlc-i2c-contention,48.9907109,1,0x00,0.2948,0.9373,0.0301,1.2622
b006-mlc-i2c-contention,52.5215033,1,0x04,0.3631,0.9686,0.035,1.3666
b006-mlc-i2c-contention,58.876886,1,0x00,0.2774,0.9493,0.0293,1.256
b006-mlc-i2c-contention,62.4075149,1,0x04,0.3075,0.9634,0.0361,1.307
b006-mlc-i2c-contention,68.7625291,1,0x00,0.3243,0.9678,0.0354,1.3275
b006-mlc-i2c-contention,72.2932892,1,0x04,0.3482,0.95,0.0288,1.327
b006-mlc-i2c-contention,78.6481181,1,0x00,0.2998,0.9423,0.03,1.2721
b006-mlc-i2c-contention,82.8847487,1,0x04,0.3352,0.9624,0.0345,1.3321
b006-mlc-i2c-contention,88.5331555,1,0x00,0.3068,0.9458,0.0302,1.2828
b006-mlc-i2c-contention,92.7703419,1,0x04,0.2521,0.9377,0.0313,1.2211
b006-mlc-i2c-contention,99.1253517,1,0x00,0.2792,0.9722,0.0352,1.2865
b006-mlc-i2c-contention,102.6562303,1,0x04,0.294,0.9693,0.0335,1.2967
b006-mlc-i2c-contention,109.0112254,1,0x00,0.2617,0.9523,0.0339,1.2479
b006-mlc-i2c-contention,112.542011,1,0x04,0.2994,1.0071,0.0316,1.3382
b006-mlc-i2c-contention,118.8978457,1,0x00,0.2838,1.0069,0.0311,1.3219
b006-mlc-i2c-contention,122.4284982,1,0x04,0.2829,1.0084,0.033,1.3244
b006-mlc-i2c-contention,128.7850882,1,0x00,0.2837,1.0087,0.0327,1.3252
b006-mlc-i2c-contention,132.3158322,1,0x04,0.3253,1.0128,0.0318,1.3699
b006-mlc-i2c-contention,138.6710215,1,0x00,0.3475,0.9404,0.0296,1.3175
b006-mlc-i2c-contention,142.9078016,1,0x04,0.2837,0.9369,0.032,1.2526
b006-mlc-i2c-contention,148.5554834,1,0x00,0.2548,0.9409,0.0308,1.2265
b006-mlc-i2c-contention,152.791307,1,0x04,0.275,0.9406,0.0307,1.2463
b006-mlc-i2c-contention,158.4387386,1,0x00,0.2763,0.9495,0.031,1.2567
b006-mlc-i2c-contention,162.6740916,1,0x04,0.3288,1.0025,0.0307,1.362
b006-mlc-i2c-contention,168.3219293,1,0x00,0.3291,1.0048,0.0311,1.3649
b006-mlc-i2c-contention,172.5577148,1,0x04,0.3269,0.9871,0.0315,1.3456
b006-mlc-i2c-contention,178.9111568,1,0x00,0.3069,0.9694,0.036,1.3122
b006-mlc-i2c-contention,182.4407165,1,0x04,0.2656,0.9395,0.0306,1.2357
b006-mlc-i2c-contention,188.7937468,1,0x00,0.3382,0.9564,0.0321,1.3267
b006-mlc-i2c-contention,192.3234972,1,0x04,0.26,0.9776,0.0359,1.2735
b006-mlc-i2c-contention,198.6782557,1,0x00,0.2951,0.9462,0.0313,1.2726
b006-mlc-i2c-contention,202.9137797,1,0x04,0.3389,0.9377,0.0301,1.3066
b006-mlc-i2c-contention,208.5616632,1,0x00,0.2618,0.9586,0.036,1.2564
b006-mlc-i2c-contention,212.7971956,1,0x04,0.2612,0.948,0.0329,1.2421
b006-mlc-i2c-contention,218.4451059,1,0x00,0.2805,0.9444,0.034,1.259
b006-mlc-i2c-contention,222.6809667,1,0x04,0.3095,1.0039,0.0304,1.3438
b006-mlc-i2c-contention,228.3287323,1,0x00,0.2825,1.009,0.0304,1.3219
b006-mlc-i2c-contention,232.5644892,1,0x04,0.2953,0.9486,0.0336,1.2775
b006-mlc-i2c-contention,238.9180851,1,0x00,0.2887,0.9653,0.0358,1.2898
b006-mlc-i2c-contention,242.44756,1,0x04,0.2651,0.9518,0.0305,1.2473
b006-mlc-i2c-contention,248.8008953,1,0x00,0.2774,0.9425,0.0314,1.2513
b006-mlc-i2c-contention,252.3307122,1,0x04,0.2847,0.9426,0.0359,1.2633
b006-mlc-i2c-contention,258.6842295,1,0x00,0.3116,1.0041,0.0309,1.3466
b006-mlc-i2c-contention,262.9196107,1,0x04,0.3377,1.0095,0.0316,1.3787
b006-mlc-i2c-contention,268.5663217,1,0x00,0.3379,0.9517,0.031,1.3206
b006-mlc-i2c-contention,272.8014152,1,0x04,0.2752,0.9615,0.0331,1.2698
b006-mlc-i2c-contention,278.4493162,1,0x00,0.2627,0.9426,0.0305,1.2359
b006-mlc-i2c-contention,282.6844893,1,0x04,0.2864,0.9648,0.0328,1.284
b006-mlc-i2c-contention,288.3316646,1,0x00,0.2496,0.9516,0.0309,1.2321
